ticker;timestamp;Open;High;Low;Close;Volume
RUAL;2024-10-01 04:00:00;34.5;34.295;34.145;34.15;3623
RUAL;2024-10-01 05:00:00;34.15;34.21;34.105;34.19;1625
RUAL;2024-10-01 06:00:00;34.155;34.155;33.985;33.985;7793
RUAL;2024-10-01 07:00:00;33.99;34.475;34.08;34.115;291190
RUAL;2024-10-01 08:00:00;34.13;34.21;34.08;34.07;170754
RUAL;2024-10-01 09:00:00;34.08;34.225;34.015;34.14;123339
RUAL;2024-10-01 10:00:00;34.145;34.475;34.11;34.4;141536
RUAL;2024-10-01 11:00:00;34.41;34.625;34.335;34.595;180302
RUAL;2024-10-01 12:00:00;34.625;34.635;34.425;34.41;104375
RUAL;2024-10-01 13:00:00;34.415;34.48;34.295;34.435;111966
RUAL;2024-10-01 14:00:00;34.44;34.47;34.23;34.31;95091
RUAL;2024-10-01 15:00:00;34.325;34.435;34.28;34.28;74036
RUAL;2024-10-01 16:00:00;34.31;34.445;34.295;34.42;31041
RUAL;2024-10-01 17:00:00;34.445;34.49;34.355;34.355;46593
RUAL;2024-10-01 18:00:00;34.355;34.375;34.275;34.345;18142
RUAL;2024-10-01 19:00:00;34.345;34.45;34.345;34.45;6371
RUAL;2024-10-01 20:00:00;34.45;34.485;34.435;34.47;6647
RUAL;2024-10-02 04:00:00;34.55;34.65;34.475;34.64;680
RUAL;2024-10-02 05:00:00;34.64;34.555;34.285;34.495;1255
RUAL;2024-10-02 06:00:00;34.545;34.545;34.365;34.54;1414
RUAL;2024-10-02 07:00:00;34.54;34.885;34.45;34.75;147246
RUAL;2024-10-02 08:00:00;34.755;34.815;34.54;34.565;85661
RUAL;2024-10-02 09:00:00;34.61;34.58;34.38;34.38;66930
RUAL;2024-10-02 10:00:00;34.38;34.465;34.31;34.355;111446
RUAL;2024-10-02 11:00:00;34.355;34.4;34.155;34.135;92238
RUAL;2024-10-02 12:00:00;34.14;34.1;33.925;34.005;206551
RUAL;2024-10-02 13:00:00;34.015;34.1;33.88;33.92;167626
RUAL;2024-10-02 14:00:00;33.925;34.005;33.615;33.6;245451
RUAL;2024-10-02 15:00:00;33.61;33.66;33.56;33.565;121431
RUAL;2024-10-02 16:00:00;33.55;33.66;33.55;33.62;57293
RUAL;2024-10-02 17:00:00;33.625;33.945;33.625;33.78;61816
RUAL;2024-10-02 18:00:00;33.78;33.835;33.77;33.83;21595
RUAL;2024-10-02 19:00:00;33.83;33.855;33.775;33.785;17293
RUAL;2024-10-02 20:00:00;33.785;33.785;33.76;33.785;8624
RUAL;2024-10-03 04:00:00;33.65;33.95;33.65;33.805;57
RUAL;2024-10-03 05:00:00;33.9;33.905;33.71;33.75;559
RUAL;2024-10-03 06:00:00;33.75;33.78;33.725;33.78;1101
RUAL;2024-10-03 07:00:00;33.755;33.845;33.615;33.665;155190
RUAL;2024-10-03 08:00:00;33.665;33.77;33.61;33.6;56298
RUAL;2024-10-03 09:00:00;33.6;33.62;33.445;33.41;177067
RUAL;2024-10-03 10:00:00;33.5;33.51;33.385;33.43;138096
RUAL;2024-10-03 11:00:00;33.44;33.555;33.405;33.425;83682
RUAL;2024-10-03 12:00:00;33.445;34.295;33.475;34.195;332251
RUAL;2024-10-03 13:00:00;34.2;34.585;34.1;34.515;286760
RUAL;2024-10-03 14:00:00;34.53;34.58;34.45;34.45;161940
RUAL;2024-10-03 15:00:00;34.45;34.43;34.23;34.25;101854
RUAL;2024-10-03 16:00:00;34.26;34.61;34.26;34.46;55726
RUAL;2024-10-03 17:00:00;34.47;34.5;34.38;34.445;28249
RUAL;2024-10-03 18:00:00;34.445;34.675;34.44;34.67;26195
RUAL;2024-10-03 19:00:00;34.675;34.845;34.715;34.715;105583
RUAL;2024-10-03 20:00:00;34.73;34.77;34.71;34.77;26865
RUAL;2024-10-04 04:00:00;34.85;34.89;34.575;34.795;6376
RUAL;2024-10-04 05:00:00;34.79;34.985;34.66;34.785;1303
RUAL;2024-10-04 06:00:00;34.97;34.97;34.765;34.8;2910
RUAL;2024-10-04 07:00:00;34.815;35.405;34.71;35.125;431009
RUAL;2024-10-04 08:00:00;35.14;35.105;34.745;34.975;212365
RUAL;2024-10-04 09:00:00;34.98;34.99;34.795;34.8;67895
RUAL;2024-10-04 10:00:00;34.815;34.91;34.755;34.855;73725
RUAL;2024-10-04 11:00:00;34.87;34.92;34.74;34.635;55675
RUAL;2024-10-04 12:00:00;34.645;34.645;34.505;34.525;96716
RUAL;2024-10-04 13:00:00;34.54;34.585;34.43;34.395;125123
RUAL;2024-10-04 14:00:00;34.4;34.555;34.365;34.435;79727
RUAL;2024-10-04 15:00:00;34.44;34.82;34.45;34.73;149950
RUAL;2024-10-04 16:00:00;34.73;34.81;34.73;34.775;13152
RUAL;2024-10-04 17:00:00;34.77;34.8;34.76;34.775;18493
RUAL;2024-10-04 18:00:00;34.785;34.8;34.72;34.73;24538
RUAL;2024-10-04 19:00:00;34.74;34.9;34.74;34.87;29546
RUAL;2024-10-04 20:00:00;34.89;35.0;34.81;34.965;58017
RUAL;2024-10-05 04:00:00;35.05;35.2;34.705;34.91;350
RUAL;2024-10-05 05:00:00;34.995;35.04;34.85;34.99;78
RUAL;2024-10-05 06:00:00;34.85;34.965;34.85;34.85;82
RUAL;2024-10-05 07:00:00;34.955;35.0;34.845;34.86;782
RUAL;2024-10-05 08:00:00;34.94;34.925;34.805;34.805;772
RUAL;2024-10-05 09:00:00;34.805;34.865;34.805;34.81;44
RUAL;2024-10-05 10:00:00;34.865;34.88;34.81;34.88;94
RUAL;2024-10-05 11:00:00;34.825;34.89;34.825;34.89;111
RUAL;2024-10-05 12:00:00;34.89;34.89;34.815;34.815;677
RUAL;2024-10-05 13:00:00;34.815;34.885;34.815;34.815;211
RUAL;2024-10-05 14:00:00;34.815;34.88;34.815;34.88;209
RUAL;2024-10-05 15:00:00;34.875;34.88;34.81;34.81;473
RUAL;2024-10-05 16:00:00;34.81;34.855;34.81;34.84;685
RUAL;2024-10-05 17:00:00;34.84;34.845;34.81;34.845;122
RUAL;2024-10-05 18:00:00;34.845;34.88;34.81;34.88;805
