ticker;timestamp;Open;High;Low;Close;Volume
UWGN;2024-10-01 04:00:00;54.15;54.4;53.75;53.75;66125
UWGN;2024-10-01 05:00:00;53.75;54.15;53.65;54.1;65773
UWGN;2024-10-01 06:00:00;54.1;54.2;53.6;53.6;21442
UWGN;2024-10-01 07:00:00;53.6;54.7;53.35;53.25;3934492
UWGN;2024-10-01 08:00:00;53.35;53.65;52.4;52.3;2523073
UWGN;2024-10-01 09:00:00;52.4;53.7;52.4;53.4;1219927
UWGN;2024-10-01 10:00:00;53.45;54.1;53.3;53.6;1060873
UWGN;2024-10-01 11:00:00;53.65;53.65;53.0;53.25;626049
UWGN;2024-10-01 12:00:00;53.25;53.3;53.15;53.15;83450
UWGN;2024-10-01 13:00:00;53.15;53.35;52.5;53.15;1355609
UWGN;2024-10-01 14:00:00;53.15;53.45;53.05;53.15;309993
UWGN;2024-10-01 15:00:00;53.35;53.35;52.9;52.9;125518
UWGN;2024-10-01 16:00:00;52.95;53.2;52.95;53.1;94305
UWGN;2024-10-01 17:00:00;53.1;53.3;52.65;52.65;379655
UWGN;2024-10-01 18:00:00;52.7;52.85;52.6;52.8;153022
UWGN;2024-10-01 19:00:00;52.85;52.85;52.55;52.45;206534
UWGN;2024-10-01 20:00:00;52.5;52.75;52.45;52.65;92280
UWGN;2024-10-02 04:00:00;52.55;53.4;52.55;53.3;14703
UWGN;2024-10-02 05:00:00;53.0;53.35;53.0;53.05;28893
UWGN;2024-10-02 06:00:00;53.2;53.35;52.85;52.85;18660
UWGN;2024-10-02 07:00:00;52.85;54.2;53.05;54.0;2470733
UWGN;2024-10-02 08:00:00;54.0;54.3;53.55;54.2;1596629
UWGN;2024-10-02 09:00:00;54.25;54.5;54.0;54.05;2025327
UWGN;2024-10-02 10:00:00;54.1;54.2;53.95;54.0;385917
UWGN;2024-10-02 11:00:00;54.0;54.05;53.8;53.8;441012
UWGN;2024-10-02 12:00:00;53.8;53.85;53.25;53.6;684400
UWGN;2024-10-02 13:00:00;53.5;53.6;53.2;53.3;330113
UWGN;2024-10-02 14:00:00;53.35;53.55;52.85;52.8;919013
UWGN;2024-10-02 15:00:00;52.85;52.9;52.0;52.05;1783318
UWGN;2024-10-02 16:00:00;52.05;52.55;51.55;52.3;853604
UWGN;2024-10-02 17:00:00;52.3;52.7;52.2;52.2;237117
UWGN;2024-10-02 18:00:00;52.2;52.4;51.85;52.35;258499
UWGN;2024-10-02 19:00:00;52.3;52.55;52.2;52.3;217892
UWGN;2024-10-02 20:00:00;52.35;52.45;52.3;52.25;248851
UWGN;2024-10-03 04:00:00;52.4;52.7;52.25;52.5;7795
UWGN;2024-10-03 05:00:00;52.5;52.95;51.9;52.65;117286
UWGN;2024-10-03 06:00:00;52.7;52.95;52.5;52.65;33710
UWGN;2024-10-03 07:00:00;52.6;53.2;52.4;52.35;1790078
UWGN;2024-10-03 08:00:00;52.4;52.5;52.15;52.3;439860
UWGN;2024-10-03 09:00:00;52.3;52.35;51.65;51.75;759274
UWGN;2024-10-03 10:00:00;51.75;51.65;50.85;51.15;1448696
UWGN;2024-10-03 11:00:00;51.2;51.3;50.9;50.95;346506
UWGN;2024-10-03 12:00:00;50.95;52.3;51.1;52.0;762614
UWGN;2024-10-03 13:00:00;52.0;52.2;51.65;52.05;428984
UWGN;2024-10-03 14:00:00;52.1;52.2;51.9;51.9;231939
UWGN;2024-10-03 15:00:00;52.0;52.0;51.7;51.8;220507
UWGN;2024-10-03 16:00:00;51.9;52.25;51.75;52.0;387436
UWGN;2024-10-03 17:00:00;52.0;52.2;52.0;52.15;90830
UWGN;2024-10-03 18:00:00;52.1;52.55;52.05;52.45;330824
UWGN;2024-10-03 19:00:00;52.55;52.55;52.35;52.35;73574
UWGN;2024-10-03 20:00:00;52.35;52.4;52.15;52.25;111408
UWGN;2024-10-04 04:00:00;52.4;52.9;52.4;52.75;57616
UWGN;2024-10-04 05:00:00;52.7;52.9;52.6;52.85;49600
UWGN;2024-10-04 06:00:00;52.85;52.9;52.6;52.7;26412
UWGN;2024-10-04 07:00:00;52.7;53.15;52.0;52.9;1475292
UWGN;2024-10-04 08:00:00;52.9;53.9;52.45;53.6;2135598
UWGN;2024-10-04 09:00:00;53.7;53.85;53.4;53.4;1056825
UWGN;2024-10-04 10:00:00;53.55;53.65;53.1;53.55;647196
UWGN;2024-10-04 11:00:00;53.55;53.55;53.2;53.3;393633
UWGN;2024-10-04 12:00:00;53.3;53.25;52.65;52.7;418510
UWGN;2024-10-04 13:00:00;52.65;52.75;52.45;52.65;241315
UWGN;2024-10-04 14:00:00;52.6;53.0;52.6;52.9;274385
UWGN;2024-10-04 15:00:00;52.9;53.2;52.9;53.0;166995
UWGN;2024-10-04 16:00:00;52.95;53.2;52.8;52.95;118501
UWGN;2024-10-04 17:00:00;52.95;52.95;52.75;52.85;58512
UWGN;2024-10-04 18:00:00;52.85;53.0;52.65;52.9;134767
UWGN;2024-10-04 19:00:00;52.9;52.95;52.85;52.9;35963
UWGN;2024-10-04 20:00:00;52.85;52.9;52.7;52.7;160449
UWGN;2024-10-05 04:00:00;52.85;52.9;52.75;52.85;2880
UWGN;2024-10-05 05:00:00;52.85;52.85;52.7;52.85;11728
UWGN;2024-10-05 06:00:00;52.85;52.9;52.7;52.9;21193
UWGN;2024-10-05 07:00:00;52.9;52.95;52.8;52.9;3264
UWGN;2024-10-05 08:00:00;52.9;52.9;52.75;52.75;16762
UWGN;2024-10-05 09:00:00;52.75;52.85;52.75;52.75;3103
UWGN;2024-10-05 10:00:00;52.85;52.9;52.7;52.75;29373
UWGN;2024-10-05 11:00:00;52.8;52.85;52.75;52.85;3064
UWGN;2024-10-05 12:00:00;52.85;52.9;52.75;52.75;18344
UWGN;2024-10-05 13:00:00;52.85;52.85;52.7;52.8;19058
UWGN;2024-10-05 14:00:00;52.85;52.85;52.7;52.8;43703
UWGN;2024-10-05 15:00:00;52.8;52.9;52.7;52.85;16720
UWGN;2024-10-05 16:00:00;52.9;52.85;52.7;52.7;61345
UWGN;2024-10-05 17:00:00;52.8;52.85;52.7;52.8;13823
UWGN;2024-10-05 18:00:00;52.7;52.8;52.7;52.8;6907
UWGN;2024-10-05 19:00:00;52.75;52.8;52.7;52.75;2071
UWGN;2024-10-05 20:00:00;52.7;52.85;52.7;52.7;4908
UWGN;2024-10-06 04:00:00;52.95;52.95;52.7;52.8;412
UWGN;2024-10-06 05:00:00;52.7;52.85;52.7;52.75;3898
UWGN;2024-10-06 06:00:00;52.85;52.85;52.75;52.8;2404
UWGN;2024-10-06 07:00:00;52.8;52.8;52.7;52.8;5978
UWGN;2024-10-06 08:00:00;52.75;52.85;52.75;52.85;8693
UWGN;2024-10-06 09:00:00;52.85;52.85;52.75;52.85;13473
UWGN;2024-10-06 10:00:00;52.8;52.85;52.75;52.85;937
UWGN;2024-10-06 11:00:00;52.85;52.85;52.75;52.75;1934
UWGN;2024-10-06 12:00:00;52.85;52.9;52.75;52.9;5501
UWGN;2024-10-06 13:00:00;52.9;52.9;52.8;52.85;22903
UWGN;2024-10-06 14:00:00;52.85;52.9;52.8;52.8;3235
UWGN;2024-10-06 15:00:00;52.9;53.2;52.8;53.1;70601
UWGN;2024-10-06 16:00:00;53.0;53.15;52.95;53.1;26106
UWGN;2024-10-06 17:00:00;53.1;53.1;53.0;53.1;7482
UWGN;2024-10-06 18:00:00;53.1;53.4;52.95;53.25;39992
UWGN;2024-10-06 19:00:00;53.35;53.35;53.0;53.0;8639
UWGN;2024-10-06 20:00:00;53.05;53.2;53.05;53.1;3016
UWGN;2024-10-07 04:00:00;53.15;53.8;53.05;53.35;90247
UWGN;2024-10-07 05:00:00;53.4;53.6;53.25;53.4;68444
UWGN;2024-10-07 06:00:00;53.35;53.55;53.3;53.5;67580
UWGN;2024-10-07 07:00:00;53.55;55.2;54.2;54.2;10366918
UWGN;2024-10-07 08:00:00;54.3;54.8;54.0;53.95;1923133
UWGN;2024-10-07 09:00:00;53.95;54.35;53.65;53.7;1225490
UWGN;2024-10-07 10:00:00;53.9;54.05;53.75;53.8;288066
UWGN;2024-10-07 11:00:00;53.8;54.3;53.85;54.0;398776
UWGN;2024-10-07 12:00:00;54.1;54.15;53.8;53.85;297867
UWGN;2024-10-07 13:00:00;53.9;55.35;53.7;55.15;2695443
UWGN;2024-10-07 14:00:00;55.35;55.95;55.05;55.8;4723110
UWGN;2024-10-07 15:00:00;55.85;57.0;55.75;57.0;7907139
UWGN;2024-10-07 16:00:00;57.0;58.15;57.0;58.1;9041581
UWGN;2024-10-07 17:00:00;58.15;58.15;57.55;57.9;6528329
UWGN;2024-10-07 18:00:00;57.95;58.05;57.8;57.75;1711201
UWGN;2024-10-07 19:00:00;57.8;58.1;57.8;58.05;1414119
UWGN;2024-10-07 20:00:00;58.1;58.15;58.15;58.15;1424876
UWGN;2024-10-08 04:00:00;59.15;59.15;58.6;58.65;673455
UWGN;2024-10-08 05:00:00;58.65;59.3;58.5;59.1;532100
UWGN;2024-10-08 06:00:00;59.1;59.2;58.8;58.95;744606
UWGN;2024-10-08 07:00:00;58.95;58.6;56.45;57.2;13265987
UWGN;2024-10-08 08:00:00;57.3;58.0;57.0;57.65;2134930
UWGN;2024-10-08 09:00:00;57.7;58.4;57.65;58.3;1525234
UWGN;2024-10-08 10:00:00;58.35;58.3;57.95;57.9;929235
UWGN;2024-10-08 11:00:00;57.9;57.95;57.55;57.5;791078
UWGN;2024-10-08 12:00:00;57.6;57.75;57.35;57.7;483532
UWGN;2024-10-08 13:00:00;57.7;58.6;57.45;58.45;1462362
UWGN;2024-10-08 14:00:00;58.6;61.9;58.4;61.25;17680314
UWGN;2024-10-08 15:00:00;61.4;61.65;60.25;60.3;7442247
UWGN;2024-10-08 16:00:00;60.45;61.35;60.4;60.7;2838965
UWGN;2024-10-08 17:00:00;60.75;61.05;60.55;61.0;1428794
UWGN;2024-10-08 18:00:00;61.05;61.1;60.55;60.55;1189749
UWGN;2024-10-08 19:00:00;60.6;60.7;59.65;59.65;2428696
UWGN;2024-10-08 20:00:00;59.7;59.55;58.2;57.95;4242366
UWGN;2024-10-09 04:00:00;58.35;59.1;58.25;59.0;483389
UWGN;2024-10-09 05:00:00;59.0;59.1;58.65;59.0;226566
UWGN;2024-10-09 06:00:00;59.05;59.05;58.45;58.45;204960
UWGN;2024-10-09 07:00:00;58.45;59.15;57.65;57.85;6547083
UWGN;2024-10-09 08:00:00;58.05;58.35;57.8;57.8;1132238
UWGN;2024-10-09 09:00:00;57.85;58.05;56.85;57.2;2128859
UWGN;2024-10-09 10:00:00;57.2;57.45;56.6;56.95;1388835
UWGN;2024-10-09 11:00:00;57.0;59.4;57.15;59.15;4504663
UWGN;2024-10-09 12:00:00;59.35;59.5;58.25;58.7;1804074
UWGN;2024-10-09 13:00:00;58.75;59.35;58.65;58.85;1731426
UWGN;2024-10-09 14:00:00;58.9;60.7;59.0;59.65;7469606
UWGN;2024-10-09 15:00:00;59.65;59.7;58.35;58.4;1677362
UWGN;2024-10-09 16:00:00;58.7;59.0;58.3;58.15;910488
UWGN;2024-10-09 17:00:00;58.2;58.75;58.3;58.6;489621
UWGN;2024-10-09 18:00:00;58.65;58.65;58.3;58.45;375932
UWGN;2024-10-09 19:00:00;58.5;59.45;58.6;58.95;972591
UWGN;2024-10-09 20:00:00;58.95;59.25;58.55;58.6;456760
UWGN;2024-10-10 04:00:00;58.95;59.15;58.55;58.65;55851
UWGN;2024-10-10 05:00:00;58.75;59.0;58.55;58.85;30591
UWGN;2024-10-10 06:00:00;58.8;59.05;58.7;58.95;107864
UWGN;2024-10-10 07:00:00;59.0;60.2;58.65;59.1;4193136
UWGN;2024-10-10 08:00:00;59.1;59.8;59.0;59.6;1052975
UWGN;2024-10-10 09:00:00;59.6;59.6;58.0;58.2;2781779
UWGN;2024-10-10 10:00:00;58.2;58.85;57.7;58.5;1333764
UWGN;2024-10-10 11:00:00;58.55;58.65;58.15;58.35;346692
UWGN;2024-10-10 12:00:00;58.3;58.65;58.1;58.3;427953
UWGN;2024-10-10 13:00:00;58.3;58.6;58.35;58.45;233027
UWGN;2024-10-10 14:00:00;58.5;58.5;58.0;57.9;415026
UWGN;2024-10-10 15:00:00;57.9;58.35;57.9;58.1;215511
UWGN;2024-10-10 16:00:00;58.25;58.3;58.0;58.3;152133
UWGN;2024-10-10 17:00:00;58.3;58.4;58.0;58.2;379997
UWGN;2024-10-10 18:00:00;58.25;58.3;58.05;58.1;138420
UWGN;2024-10-10 19:00:00;58.2;58.3;58.15;58.3;147291
UWGN;2024-10-10 20:00:00;58.25;58.4;58.05;58.4;252068
UWGN;2024-10-11 04:00:00;57.8;58.7;58.15;58.4;31048
UWGN;2024-10-11 05:00:00;58.4;58.45;58.25;58.25;27996
UWGN;2024-10-11 06:00:00;58.3;58.5;58.3;58.5;13098
UWGN;2024-10-11 07:00:00;58.45;59.7;58.25;59.55;7269572
UWGN;2024-10-11 08:00:00;59.6;59.55;58.9;58.95;1557984
UWGN;2024-10-11 09:00:00;58.95;59.2;58.7;59.05;1089280
UWGN;2024-10-11 10:00:00;59.05;59.5;58.9;59.25;1552258
UWGN;2024-10-11 11:00:00;59.2;60.3;59.05;59.8;4034841
UWGN;2024-10-11 12:00:00;59.9;60.35;59.7;59.6;2839836
UWGN;2024-10-11 13:00:00;59.65;59.75;59.6;59.75;502307
UWGN;2024-10-11 14:00:00;59.75;60.6;59.65;59.75;3139272
UWGN;2024-10-11 15:00:00;59.75;59.95;59.75;59.95;429384
UWGN;2024-10-11 16:00:00;59.95;60.1;59.8;59.95;661518
UWGN;2024-10-11 17:00:00;60.0;60.15;59.6;59.6;620693
UWGN;2024-10-11 18:00:00;59.65;59.95;59.65;59.75;218415
UWGN;2024-10-11 19:00:00;59.8;59.85;59.65;59.65;368206
UWGN;2024-10-11 20:00:00;59.7;59.8;59.55;59.55;328616
UWGN;2024-10-12 04:00:00;59.9;59.9;59.7;59.7;4845
UWGN;2024-10-12 05:00:00;59.75;59.95;59.7;59.8;9075
UWGN;2024-10-12 06:00:00;59.9;59.9;59.8;59.8;18094
UWGN;2024-10-12 07:00:00;59.8;60.0;59.8;60.0;29892
UWGN;2024-10-12 08:00:00;59.85;60.05;59.85;60.0;36844
UWGN;2024-10-12 09:00:00;60.0;60.0;59.8;59.9;16478
UWGN;2024-10-12 10:00:00;59.8;59.9;59.8;59.8;7121
UWGN;2024-10-12 11:00:00;59.9;59.95;59.8;59.9;7995
UWGN;2024-10-12 12:00:00;59.95;59.95;59.7;59.75;30981
UWGN;2024-10-12 13:00:00;59.75;59.85;59.7;59.7;19069
UWGN;2024-10-12 14:00:00;59.7;59.85;59.7;59.8;3042
UWGN;2024-10-12 15:00:00;59.85;59.85;59.75;59.75;13335
UWGN;2024-10-12 16:00:00;59.75;59.85;59.75;59.7;11198
UWGN;2024-10-12 17:00:00;59.7;59.8;59.7;59.8;33697
UWGN;2024-10-12 18:00:00;59.8;59.8;59.75;59.75;5488
UWGN;2024-10-12 19:00:00;59.8;59.85;59.75;59.75;9134
UWGN;2024-10-12 20:00:00;59.75;59.85;59.75;59.8;13075
UWGN;2024-10-13 04:00:00;59.9;59.9;59.75;59.9;879
UWGN;2024-10-13 05:00:00;59.85;59.9;59.75;59.8;1049
UWGN;2024-10-13 06:00:00;59.85;59.9;59.75;59.75;8179
UWGN;2024-10-13 07:00:00;59.75;60.0;59.75;60.0;81298
UWGN;2024-10-13 08:00:00;60.0;60.0;59.9;60.0;70493
UWGN;2024-10-13 09:00:00;60.0;60.0;59.9;60.0;19162
UWGN;2024-10-13 10:00:00;59.9;59.95;59.9;59.95;8732
UWGN;2024-10-13 11:00:00;59.95;59.95;59.9;59.95;3822
UWGN;2024-10-13 12:00:00;59.95;59.95;59.85;59.95;16839
UWGN;2024-10-13 13:00:00;59.9;60.0;59.85;60.0;12962
UWGN;2024-10-13 14:00:00;60.0;60.9;59.9;60.6;281076
UWGN;2024-10-13 15:00:00;60.4;60.75;60.1;60.4;37993
UWGN;2024-10-13 16:00:00;60.4;60.6;60.4;60.5;78594
UWGN;2024-10-13 17:00:00;60.45;60.95;60.4;60.7;217538
UWGN;2024-10-13 18:00:00;60.65;60.7;60.4;60.55;56530
UWGN;2024-10-13 19:00:00;60.65;60.65;60.55;60.65;36927
UWGN;2024-10-13 20:00:00;60.65;60.9;60.45;60.7;144776
UWGN;2024-10-14 04:00:00;60.45;60.9;60.4;60.75;117539
UWGN;2024-10-14 05:00:00;60.75;60.95;60.55;60.65;103375
UWGN;2024-10-14 06:00:00;60.65;60.6;60.4;60.55;128813
UWGN;2024-10-14 07:00:00;60.5;61.6;59.95;59.9;6891112
UWGN;2024-10-14 08:00:00;59.95;60.35;59.5;59.5;1582918
UWGN;2024-10-14 09:00:00;59.55;60.45;59.45;60.15;1770779
UWGN;2024-10-14 10:00:00;60.1;62.7;60.05;62.55;10790385
UWGN;2024-10-14 11:00:00;62.75;63.4;62.5;62.9;9484936
UWGN;2024-10-14 12:00:00;62.9;63.45;62.8;63.05;4638672
UWGN;2024-10-14 13:00:00;63.1;63.6;63.0;63.0;4789009
UWGN;2024-10-14 14:00:00;63.05;63.25;62.65;62.65;2224956
UWGN;2024-10-14 15:00:00;62.85;63.1;62.8;62.8;1039672
UWGN;2024-10-14 16:00:00;62.8;63.1;62.8;62.8;588128
UWGN;2024-10-14 17:00:00;62.85;62.9;62.5;62.65;1319044
UWGN;2024-10-14 18:00:00;62.7;63.05;62.65;62.85;951818
UWGN;2024-10-14 19:00:00;62.9;62.85;62.45;62.5;1056303
UWGN;2024-10-14 20:00:00;62.55;62.8;62.45;62.6;504426
UWGN;2024-10-15 04:00:00;63.0;63.9;62.8;63.3;540742
UWGN;2024-10-15 05:00:00;63.3;63.7;63.15;63.2;358049
UWGN;2024-10-15 06:00:00;63.25;63.3;63.1;63.1;133348
UWGN;2024-10-15 07:00:00;63.05;64.25;62.85;63.55;9276427
UWGN;2024-10-15 08:00:00;63.6;64.7;63.5;64.3;5109029
UWGN;2024-10-15 09:00:00;64.3;64.85;64.25;64.35;2570805
UWGN;2024-10-15 10:00:00;64.4;64.45;64.2;64.3;1114442
UWGN;2024-10-15 11:00:00;64.35;65.3;64.35;65.1;5296857
UWGN;2024-10-15 12:00:00;65.05;65.0;64.25;64.5;3098996
UWGN;2024-10-15 13:00:00;64.55;64.7;64.15;64.25;1170591
UWGN;2024-10-15 14:00:00;64.3;64.45;63.1;63.3;3223425
UWGN;2024-10-15 15:00:00;63.3;63.7;63.1;63.1;1236727
UWGN;2024-10-15 16:00:00;63.15;63.45;63.1;63.1;480778
UWGN;2024-10-15 17:00:00;63.1;63.15;62.75;62.9;925044
UWGN;2024-10-15 18:00:00;62.9;63.45;62.7;63.25;656064
UWGN;2024-10-15 19:00:00;63.25;63.35;63.15;63.2;170931
UWGN;2024-10-15 20:00:00;63.15;63.45;63.0;63.45;455487
UWGN;2024-10-16 04:00:00;63.45;63.9;63.45;63.65;144836
UWGN;2024-10-16 05:00:00;63.65;63.8;63.6;63.75;103841
UWGN;2024-10-16 06:00:00;63.75;63.75;63.55;63.6;85581
