ticker;timestamp;Open;High;Low;Close;Volume
VTBR;2024-10-01 04:00:00;89.3;89.44;89.26;89.24;52191
VTBR;2024-10-01 05:00:00;89.35;89.37;89.22;89.2;24161
VTBR;2024-10-01 06:00:00;89.22;89.25;89.0;89.05;126903
VTBR;2024-10-01 07:00:00;89.08;89.01;88.07;87.83;8536166
VTBR;2024-10-01 08:00:00;87.95;88.29;87.19;87.03;6423328
VTBR;2024-10-01 09:00:00;87.08;87.76;86.88;87.62;5952935
VTBR;2024-10-01 10:00:00;87.76;87.91;87.45;87.62;1656359
VTBR;2024-10-01 11:00:00;87.67;87.71;86.95;87.17;3587973
VTBR;2024-10-01 12:00:00;87.18;87.24;86.96;86.97;1339165
VTBR;2024-10-01 13:00:00;86.98;87.39;86.57;87.21;3268219
VTBR;2024-10-01 14:00:00;87.27;87.55;87.14;87.43;2056542
VTBR;2024-10-01 15:00:00;87.47;87.66;87.1;87.29;1900518
VTBR;2024-10-01 16:00:00;87.29;87.33;87.03;87.11;745732
VTBR;2024-10-01 17:00:00;87.12;87.54;87.21;87.29;1086868
VTBR;2024-10-01 18:00:00;87.3;87.39;87.16;87.35;430311
VTBR;2024-10-01 19:00:00;87.36;87.4;87.25;87.26;256828
VTBR;2024-10-01 20:00:00;87.29;87.52;87.31;87.43;716409
VTBR;2024-10-02 04:00:00;87.36;87.73;87.51;87.69;48025
VTBR;2024-10-02 05:00:00;87.68;87.8;87.56;87.79;38636
VTBR;2024-10-02 06:00:00;87.79;87.86;87.7;87.7;55084
VTBR;2024-10-02 07:00:00;87.7;88.07;87.44;87.9;3047156
VTBR;2024-10-02 08:00:00;87.9;87.93;87.63;87.66;1388698
VTBR;2024-10-02 09:00:00;87.7;87.73;87.25;87.37;1086651
VTBR;2024-10-02 10:00:00;87.38;87.39;87.17;87.02;1143469
VTBR;2024-10-02 11:00:00;87.08;87.49;87.1;87.22;1143514
VTBR;2024-10-02 12:00:00;87.24;87.29;86.94;86.94;1542887
VTBR;2024-10-02 13:00:00;86.95;87.12;86.71;87.0;1848385
VTBR;2024-10-02 14:00:00;87.06;87.13;86.27;86.22;3157852
VTBR;2024-10-02 15:00:00;86.25;86.27;85.63;85.63;4381875
VTBR;2024-10-02 16:00:00;85.63;85.79;85.09;85.54;3152227
VTBR;2024-10-02 17:00:00;85.63;86.0;85.65;85.9;1341960
VTBR;2024-10-02 18:00:00;85.95;86.19;85.52;86.13;1166624
VTBR;2024-10-02 19:00:00;86.17;86.24;85.92;85.95;338307
VTBR;2024-10-02 20:00:00;85.95;86.26;85.99;86.16;427442
VTBR;2024-10-03 04:00:00;86.2;86.76;86.15;86.34;18262
VTBR;2024-10-03 05:00:00;86.34;86.35;86.08;86.08;7070
VTBR;2024-10-03 06:00:00;86.08;86.12;85.8;85.9;36430
VTBR;2024-10-03 07:00:00;85.95;86.25;85.62;85.97;5205683
VTBR;2024-10-03 08:00:00;86.03;86.19;85.82;85.91;2600987
VTBR;2024-10-03 09:00:00;85.94;86.02;85.69;85.59;2213305
VTBR;2024-10-03 10:00:00;85.67;85.82;84.96;85.05;2159856
VTBR;2024-10-03 11:00:00;85.09;85.65;84.8;85.53;3160227
VTBR;2024-10-03 12:00:00;85.62;86.94;85.7;86.8;6052098
VTBR;2024-10-03 13:00:00;86.91;87.48;86.52;87.16;3999556
VTBR;2024-10-03 14:00:00;87.2;87.32;86.75;86.67;2035120
VTBR;2024-10-03 15:00:00;86.69;86.82;86.44;86.44;1035249
VTBR;2024-10-03 16:00:00;86.45;87.07;86.45;86.9;1077202
VTBR;2024-10-03 17:00:00;86.91;87.12;86.83;87.07;823008
VTBR;2024-10-03 18:00:00;87.09;87.28;87.13;87.21;777882
VTBR;2024-10-03 19:00:00;87.28;87.35;87.06;87.14;413742
VTBR;2024-10-03 20:00:00;87.16;87.25;86.98;87.11;492644
VTBR;2024-10-04 04:00:00;87.48;87.39;87.11;87.23;16756
VTBR;2024-10-04 05:00:00;87.33;87.33;87.2;87.21;24069
VTBR;2024-10-04 06:00:00;87.28;87.35;87.21;87.35;32889
VTBR;2024-10-04 07:00:00;87.3;87.63;86.8;87.43;4352154
VTBR;2024-10-04 08:00:00;87.46;87.64;87.29;87.4;1726072
VTBR;2024-10-04 09:00:00;87.43;87.47;86.69;86.68;2510249
VTBR;2024-10-04 10:00:00;86.78;86.95;86.41;86.82;1657712
VTBR;2024-10-04 11:00:00;86.89;87.14;86.7;86.69;930695
VTBR;2024-10-04 12:00:00;86.7;86.73;86.39;86.5;1457627
VTBR;2024-10-04 13:00:00;86.53;86.76;86.38;86.62;653346
VTBR;2024-10-04 14:00:00;86.64;86.87;86.55;86.65;562086
VTBR;2024-10-04 15:00:00;86.65;86.9;86.64;86.81;472596
VTBR;2024-10-04 16:00:00;86.81;86.81;86.64;86.62;189690
VTBR;2024-10-04 17:00:00;86.65;86.73;86.62;86.67;170032
VTBR;2024-10-04 18:00:00;86.67;86.68;86.52;86.59;277017
VTBR;2024-10-04 19:00:00;86.6;86.6;86.53;86.52;231614
VTBR;2024-10-04 20:00:00;86.52;86.77;86.51;86.63;596337
VTBR;2024-10-05 04:00:00;86.26;87.14;86.42;86.64;15167
VTBR;2024-10-05 05:00:00;86.75;86.79;86.67;86.67;2659
VTBR;2024-10-05 06:00:00;86.67;86.76;86.62;86.75;4516
VTBR;2024-10-05 07:00:00;86.75;86.79;86.65;86.67;10077
VTBR;2024-10-05 08:00:00;86.68;86.79;86.66;86.76;5276
VTBR;2024-10-05 09:00:00;86.76;86.8;86.66;86.77;4936
VTBR;2024-10-05 10:00:00;86.77;86.77;86.61;86.75;25781
VTBR;2024-10-05 11:00:00;86.61;86.77;86.61;86.61;8924
VTBR;2024-10-05 12:00:00;86.76;86.88;86.54;86.35;39819
VTBR;2024-10-05 13:00:00;86.6;86.76;86.54;86.58;6940
VTBR;2024-10-05 14:00:00;86.7;86.71;86.54;86.67;4753
VTBR;2024-10-05 15:00:00;86.68;86.69;86.55;86.61;5034
VTBR;2024-10-05 16:00:00;86.69;86.69;86.53;86.59;4865
VTBR;2024-10-05 17:00:00;86.51;86.6;86.51;86.6;6616
VTBR;2024-10-05 18:00:00;86.6;86.65;86.55;86.64;2029
VTBR;2024-10-05 19:00:00;86.55;86.8;86.55;86.75;12208
VTBR;2024-10-05 20:00:00;86.75;86.75;86.57;86.57;4665
VTBR;2024-10-06 04:00:00;86.91;86.93;86.56;86.57;3520
VTBR;2024-10-06 05:00:00;86.57;86.73;86.57;86.63;1551
VTBR;2024-10-06 06:00:00;86.71;86.99;86.5;86.59;23436
VTBR;2024-10-06 07:00:00;86.59;86.8;86.59;86.77;8781
