ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
30,10,0.05,-1373.776862100767,-0.00024051591786767554,1.7427458455212705,7,1,6,-5.442307138289914,-4.070303195386179
30,13,0.05,-1388.7851512555956,-0.00024334258062172815,1.774295703506325,7,1,6,-5.422788678052575,-3.828027044933661
30,16,0.05,-1277.4698936507411,-0.00021850752883235359,1.5478427862426922,7,1,6,-5.381700918047356,-2.7267441748055803
30,19,0.05,-1220.9014990805213,-0.00020877199908852923,1.3454346166988407,7,1,6,-5.25014070623531,-2.5064166948786415
30,22,0.05,-1264.200815612371,-0.00021622339430647848,1.3886793447705348,7,1,6,-5.257625295957099,-2.536506214273001
35,10,0.05,-1373.776862100767,-0.00024051591786767554,1.7427458455212705,7,1,6,-5.442307138289914,-4.070303195386179
35,13,0.05,-1388.7851512555956,-0.00024334258062172815,1.774295703506325,7,1,6,-5.422788678052575,-3.828027044933661
35,16,0.05,-1277.4698936507411,-0.00021850752883235359,1.5478427862426922,7,1,6,-5.381700918047356,-2.7267441748055803
35,19,0.05,-1220.9014990805213,-0.00020877199908852923,1.3454346166988407,7,1,6,-5.25014070623531,-2.5064166948786415
35,22,0.05,-1264.200815612371,-0.00021622339430647848,1.3886793447705348,7,1,6,-5.257625295957099,-2.536506214273001
40,10,0.05,-1373.776862100767,-0.00024051591786767554,1.7427458455212705,7,1,6,-5.442307138289914,-4.070303195386179
40,13,0.05,-1388.7851512555956,-0.00024334258062172815,1.774295703506325,7,1,6,-5.422788678052575,-3.828027044933661
40,16,0.05,-1277.4698936507411,-0.00021850752883235359,1.5478427862426922,7,1,6,-5.381700918047356,-2.7267441748055803
40,19,0.05,-1238.0743335434368,-0.0002117268876176181,1.3625858009680973,7,1,6,-5.254852253240505,-2.518248769420226
40,22,0.05,-1264.200815612371,-0.00021622339430647848,1.3886793447705348,7,1,6,-5.257625295957099,-2.536506214273001
45,10,0.05,-1372.6727329302153,-0.0002403256561810051,1.7416458469906655,7,1,6,-5.442874130110957,-4.071024784228886
45,13,0.05,-1388.7851512555956,-0.00024334258062172815,1.774295703506325,7,1,6,-5.422788678052575,-3.828027044933661
45,16,0.05,-1277.4698936507411,-0.00021850752883235359,1.5478427862426922,7,1,6,-5.381700918047356,-2.7267441748055803
45,19,0.05,-1238.0743335434368,-0.0002117268876176181,1.3625858009680973,7,1,6,-5.254852253240505,-2.518248769420226
45,22,0.05,-1264.200815612371,-0.00021622339430647848,1.3886793447705348,7,1,6,-5.257625295957099,-2.536506214273001
50,10,0.05,-1372.6727329302153,-0.0002403256561810051,1.7416458469906655,7,1,6,-5.442874130110957,-4.071024784228886
50,13,0.05,-1388.7851512555956,-0.00024334258062172815,1.774295703506325,7,1,6,-5.422788678052575,-3.828027044933661
50,16,0.05,-1277.4698936507411,-0.00021850752883235359,1.5478427862426922,7,1,6,-5.381700918047356,-2.7267441748055803
50,19,0.05,-1238.0743335434368,-0.0002117268876176181,1.3625858009680973,7,1,6,-5.254852253240505,-2.518248769420226
50,22,0.05,-1264.200815612371,-0.00021622339430647848,1.3886793447705348,7,1,6,-5.257625295957099,-2.536506214273001
