ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
10,10,0.05,-6121.917801575058,-0.0010779853523547424,6.428548230174929,62,14,48,-1.6176771548942408,-4.7460021110943895
10,15,0.05,-5605.262980393744,-0.0009869862755722374,5.769275469892212,59,10,49,-1.584393040171161,-4.149190139883329
10,20,0.05,-5489.298606689013,-0.0009374316317023971,5.5159594940383165,55,11,44,-1.5554161269018698,-4.519854289598945
10,25,0.05,-5072.8874390507735,-0.0008610352344986306,5.488701426261933,51,11,40,-1.6300963827652424,-4.253155472484789
10,30,0.05,-5080.939383668789,-0.0008443768983057031,5.256077939089028,50,10,40,-1.7016919692497878,-4.246305267911814
10,35,0.05,-4527.656558917222,-0.0007513699825647366,5.2678006371836394,46,10,36,-1.7751150743224267,-3.89636756142937
10,40,0.05,-4630.61364989643,-0.0007668751926993115,5.355733809231765,44,8,36,-1.8676307703503972,-4.0415191661853385
10,45,0.05,-4145.040707410688,-0.0006809143740716743,5.157821815088399,42,7,35,-1.8454758284365766,-3.6686666995951467
15,10,0.05,-6143.224932492358,-0.0010886641095485996,6.431906117258477,62,14,48,-1.6097142934661033,-4.7904228072699695
15,15,0.05,-5337.712117986847,-0.000945666730730826,5.617781466404612,58,10,48,-1.600646008504158,-3.966088551887985
15,20,0.05,-5228.247123056498,-0.0009064276513318784,5.499103334559001,54,11,43,-1.5767745408185976,-4.36140012219491
15,25,0.05,-4796.920666148325,-0.0008453698754865169,5.469460160731271,50,11,39,-1.6497975547838026,-4.108052523510262
15,30,0.05,-4793.133962049951,-0.0008280842358369298,5.261117355684365,49,10,39,-1.7211186556599625,-4.067448923043822
15,35,0.05,-4223.284433124209,-0.0007324731288468919,5.258564320123975,45,10,35,-1.796727215743089,-3.6952644962547803
15,40,0.05,-4303.28690386869,-0.0007428874844986339,5.316403334181013,43,8,35,-1.891844143130342,-3.832043822386239
15,45,0.05,-3828.698479371617,-0.0006590205874082779,5.132092934999506,41,7,34,-1.8711649949689304,-3.461501099638147
20,10,0.05,-6221.063750282633,-0.0011051167841977722,6.509439899047895,62,13,49,-1.6125687185525426,-4.879933677984284
20,15,0.05,-5542.382087188231,-0.000988886956300801,5.711487066019465,58,10,48,-1.619874703531711,-4.254316554773853
20,20,0.05,-5279.861546108096,-0.0009174142603664878,5.5319280357484075,54,11,43,-1.5773034651611777,-4.427733986458529
20,25,0.05,-4812.1019469530875,-0.0008498501510556381,5.498529512996827,50,11,39,-1.6470216740664192,-4.127581129190797
20,30,0.05,-4805.25914052026,-0.0008319614285024839,5.2929387089441535,49,10,39,-1.7194011469940107,-4.090717370411371
20,35,0.05,-4220.790539689059,-0.0007337701303388431,5.265744130836523,45,10,35,-1.7978009792979468,-3.694775883473622
20,40,0.05,-4371.693124357971,-0.0007577917906950976,5.399702577522015,43,8,35,-1.8860795860604196,-3.8750581942195117
20,45,0.05,-3860.9940979761263,-0.0006676903423562239,5.180623651449594,41,7,34,-1.8695975383994805,-3.47636122111432
