ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
5,30,0.03,1520.2531112470763,0.00020648133690634348,4.935864904775325,116,46,70,-1.1122861372193993,0.7415517792962772
5,35,0.03,1521.6942257995072,0.0002068182570420891,4.9486882955717615,111,45,66,-1.0851170164548891,0.7291852893901521
5,40,0.03,300.43089321264415,-1.1487652534556095e-06,4.876287450410186,104,43,61,-1.1590429487609768,0.1604052326950509
5,45,0.03,2029.2732681589434,0.0002907647595192836,4.699929841141427,91,38,53,-1.1734464092196208,1.102092939549999
5,50,0.03,1165.4526512148911,0.00014822806440849167,5.198921475668951,90,35,55,-1.133904207079386,0.64537096930345
5,55,0.03,875.0105013523532,9.9961659455323e-05,5.298230643513879,91,34,57,-1.2214708329585586,0.49044953224498067
15,30,0.03,959.0696326350707,9.513771110350901e-05,4.648595192096989,113,45,68,-1.1621603732297225,0.49066344602377093
15,35,0.03,1448.3102554009681,0.00017694059839156487,4.698599097433024,110,45,65,-1.0820717585697235,0.6793510142597792
15,40,0.03,253.05523597960672,-1.0785960335965903e-05,4.658530211101016,103,42,61,-1.1432857406519072,0.13123760066712586
15,45,0.03,1602.6560933288868,0.00021621883675225007,4.522985619045345,91,38,53,-1.1756091549719756,0.8492680484899295
15,50,0.03,918.667493160687,0.0001029532141681432,5.048127238490896,89,34,55,-1.157909370353555,0.48759901877628425
15,55,0.03,373.8058228576211,3.3995504967496687e-05,5.188189187573522,89,33,56,-1.2392959367022751,0.20126731528898167
25,30,0.03,395.6840175953464,4.270792490979288e-06,4.6085396912003915,110,40,70,-1.1867390819558334,0.20477635664107263
25,35,0.03,227.29421311975355,-2.4096783595586297e-05,4.4952686646531514,107,40,67,-1.1636758847358104,0.12048062461872733
25,40,0.03,-302.08829631357,-0.00010085256361889997,4.4319555302793106,103,39,64,-1.1768386043471306,-0.15999502679966374
25,45,0.03,1022.3183676492625,0.00012251605228437657,4.391121683431358,90,35,55,-1.2249266940278796,0.5607724847207584
25,50,0.03,461.24121381381025,2.8143531457687708e-05,4.959259280502742,88,32,56,-1.174643299080314,0.25272432537030587
25,55,0.03,-64.364464995426,-5.835221655282342e-05,4.974516306931395,88,30,58,-1.3003777988468848,-0.035793502829560765
35,30,0.03,768.9917100258183,3.4620242909266226e-05,4.4766400614837725,103,40,63,-1.1986198727620359,0.4111486234563233
35,35,0.03,928.7020927447461,5.7858620120839784e-05,4.377992312406173,101,41,60,-1.144398531542565,0.49089326932015337
35,40,0.03,-461.79204971453726,-0.00016575801326519911,4.428521343532434,96,38,58,-1.2150470106572986,-0.28275970346345985
35,45,0.03,220.55196672742704,-4.942493337342426e-05,4.6295202185668,84,33,51,-1.315966744206463,0.14459891802934874
35,50,0.03,346.66962990981807,-3.968729246461008e-05,4.885284157696837,82,31,51,-1.2291926168925404,0.21590797726067976
35,55,0.03,-188.25637941777504,-0.00012758221985590388,4.879956191841629,82,29,53,-1.3927353081545866,-0.11929279663487313
45,30,0.03,311.2991612891474,-1.405436263979677e-05,4.511730947583684,102,39,63,-1.2276827115084763,0.17235946093129526
45,35,0.03,884.4769197580121,7.646950479271497e-05,4.4050012756810215,99,41,58,-1.1692935359965109,0.4570931780362371
45,40,0.03,-843.5503150746198,-0.00020278130327709682,4.482384005798545,95,38,57,-1.2322131212851686,-0.5255390295311387
45,45,0.03,-134.00219463515344,-8.172693947647143e-05,4.641532800255158,83,33,50,-1.3385084541215506,-0.09007284613018014
45,50,0.03,-96.00389749383373,-7.856403076872141e-05,4.682897995483613,81,31,50,-1.305701252870746,-0.061212539555118226
45,55,0.03,-422.326464943885,-0.0001324920192099985,4.761334910337014,80,29,51,-1.4317793955661688,-0.27033118528558203
55,30,0.03,761.0816002859511,3.931093047948562e-05,4.375956571010436,97,38,59,-1.2272042809731454,0.42485051000525254
55,35,0.03,85.9234361639321,-7.879803527548433e-05,4.29809767467335,94,40,54,-1.2646112149674722,0.052668061514139185
55,40,0.03,-914.7841695926498,-0.0002368507856891232,4.398973082874074,91,37,54,-1.2714059229613754,-0.5738403913854442
55,45,0.03,-97.36275331453595,-9.749639249485352e-05,4.348796036664394,80,33,47,-1.3777227804315435,-0.0666003867039318
55,50,0.03,-44.274896188301625,-8.995663568245312e-05,4.425980809206474,78,30,48,-1.3292271565167504,-0.028534853044547042
55,55,0.03,-644.1787052797806,-0.00018997105571904268,4.534989530125353,76,27,49,-1.5023549840478254,-0.4230520836726367
