ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
10,28,0.05,-1671.4424993261382,-0.00033666360334093034,3.9794601643583323,26,5,21,-2.4121741346767127,-1.8251481452281688
10,30,0.05,-1708.8971265681282,-0.00034155016524082377,3.921207602780361,26,5,21,-2.4194628064774606,-1.8453954282765854
10,32,0.05,-1720.1025567696438,-0.00032162463523820135,3.773404760647891,26,5,21,-2.415521331997428,-1.8077795217966828
10,34,0.05,-1778.2315114524997,-0.0003340153088138071,3.775565511264686,26,5,21,-2.4291958764307378,-1.9055163043969516
10,36,0.05,-1984.2858416727897,-0.00038527521744699577,3.9994990744961583,27,5,22,-2.374556295351877,-2.078931406815934
10,38,0.05,-1960.643077923576,-0.0003767777638883024,3.9853847024416647,27,6,21,-2.3960721965138694,-2.031130730622807
10,40,0.05,-1994.693470408128,-0.0003848257107662594,4.019882343429486,27,6,21,-2.4003433204328686,-2.0547114350301663
20,28,0.05,-1464.8284212520753,-0.0002864101805616809,3.7600701400961993,25,5,20,-2.4657544056548133,-1.63714568978429
20,30,0.05,-1485.371974428519,-0.0002879736077457281,3.693822509067455,25,5,20,-2.4704875198659146,-1.642843549336523
20,32,0.05,-1477.117849574219,-0.00025920364564722704,3.5399749456796137,25,5,20,-2.4610767633056327,-1.5740070119961986
20,34,0.05,-1561.1653298658484,-0.00027664770355689003,3.5511265760553585,25,5,20,-2.477184576477469,-1.7086940590345676
20,36,0.05,-1618.8493205046911,-0.00030633043406347543,3.620890759972812,25,5,20,-2.5067532692489976,-1.7295524726964395
20,38,0.05,-1570.6188881392716,-0.0002922726262377009,3.595356066919609,25,6,19,-2.5299176338445957,-1.659259084409742
20,40,0.05,-1595.8605112625416,-0.0002984224499347858,3.6204787244340433,25,6,19,-2.5335145869739826,-1.6771003527801884
30,28,0.05,-1485.0010834165607,-0.0002931749531479009,3.777354624212445,25,5,20,-2.45970483076989,-1.6527972602234824
30,30,0.05,-1504.35922624739,-0.0002917981338702542,3.6936335061814733,25,5,20,-2.4673563021998195,-1.659065730585841
30,32,0.05,-1520.5806194459562,-0.0002692470439528589,3.5553667657025243,25,5,20,-2.4639568564122336,-1.61874843639122
30,34,0.05,-1604.9215761526975,-0.0002867674100764413,3.56668883403961,25,5,20,-2.480285376402785,-1.755185434337992
30,36,0.05,-1631.3190762790377,-0.0003096563345373132,3.6208802215978615,25,5,20,-2.499743549416499,-1.7398512973534577
30,38,0.05,-1594.4253069105293,-0.0002983541048955027,3.6040596473031,25,6,19,-2.5270271296958837,-1.6821243895263154
30,40,0.05,-1619.497732446818,-0.00030446951324080443,3.629058983925031,25,6,19,-2.530673793208984,-1.6997289368892898
40,28,0.05,-1451.2063553524083,-0.00028415532833725535,3.769894357065118,25,5,20,-2.452422772165716,-1.597933336088142
40,30,0.05,-1470.7100666093743,-0.0002854980375718928,3.694478879547572,25,5,20,-2.459768367727757,-1.6048415118493664
40,32,0.05,-1502.036382309365,-0.0002648585819985498,3.559644430689471,25,5,20,-2.4566423756387974,-1.594363349587161
40,34,0.05,-1560.633356121004,-0.00027731703540417646,3.5621309009306144,25,5,20,-2.4706717149843493,-1.6890188605351586
40,36,0.05,-1586.603583397469,-0.0003001013273242262,3.6162525123732325,25,5,20,-2.490940809008154,-1.6751705203089569
40,38,0.05,-1552.8391954519666,-0.00028947314572892724,3.5995735955471893,25,6,19,-2.518705084924101,-1.6223234174114984
40,40,0.05,-1583.3689043888858,-0.00029675206925764867,3.629890722155489,25,6,19,-2.5230182390696543,-1.6452281632363486
50,28,0.05,-1332.3249154642322,-0.00025867047154224494,3.7724423548217163,25,5,20,-2.417832770837194,-1.416505626704087
50,30,0.05,-1354.7298335647897,-0.00026061422974342686,3.700002012947232,25,5,20,-2.4254617509239482,-1.4278487136044615
50,32,0.05,-1382.4328647837253,-0.0002392104698040764,3.5638559740646816,25,5,20,-2.420430682141064,-1.417294771972354
50,34,0.05,-1476.4683249102682,-0.00025876623454700124,3.5675681047120493,25,5,20,-2.44218898430617,-1.5634150744652264
50,36,0.05,-1504.3391890145247,-0.00028193614378726984,3.6254090733406885,25,5,20,-2.461996039305132,-1.5545774386584141
50,38,0.05,-1470.6101564106204,-0.0002713251320287517,3.6087374055220685,25,6,19,-2.4878111303032733,-1.5046364149749396
50,40,0.05,-1500.2186268987925,-0.0002783881321089287,3.638043335888781,25,6,19,-2.492054696863036,-1.5263043428396805
60,28,0.05,-1400.8786981107444,-0.0002747834383166218,3.779528433008895,25,5,20,-2.452245527705482,-1.5220525345846125
60,30,0.05,-1426.6900730340005,-0.00027477274620912574,3.701957763461282,25,5,20,-2.460804034470963,-1.5357462667846462
60,32,0.05,-1454.7031410112947,-0.0002542852456467888,3.5659618207064447,25,5,20,-2.455000293772883,-1.5216336748066939
60,34,0.05,-1549.9447943737434,-0.0002741114136225034,3.570343598190627,25,5,20,-2.4757622755436217,-1.6776201629356489
60,36,0.05,-1578.0086139672462,-0.00029746378700339706,3.627703104105273,25,5,20,-2.495900892060997,-1.666137973476269
60,38,0.05,-1544.0568122707532,-0.00028677951183562914,3.6109226687110967,25,6,19,-2.522669579172593,-1.6133479978803535
60,40,0.05,-1573.6084330453969,-0.0002938353951657584,3.640277507302468,25,6,19,-2.52664069505498,-1.6347748443830445
