momentum_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
1,0.03,-5693.980554574918,-0.0012266378036990668,6.334290308532033,105,23,82,-1.8360447842056615,-4.1689823752899215
1,0.05,-4188.650355370308,-0.0007852773863491602,5.212426564361088,44,7,37,-1.8864870530431432,-3.7416209633023105
1,0.07,-2206.733563060383,-0.000590449186609762,4.849961002303058,22,4,18,-1.8428117927990095,-1.8830799919518562
4,0.03,-4914.580013001038,-0.001053810083203266,5.856588493922404,92,21,71,-1.9200072815538143,-4.1229457884945635
4,0.05,-3573.5482737401526,-0.000682745804156403,4.41431606314816,38,6,32,-1.9614187035712856,-3.3375621954857455
4,0.07,-1361.5709520701052,-0.00033419398528005664,4.105443081867965,17,4,13,-1.7313923265929854,-1.0652738303688407
7,0.03,-5189.635230983002,-0.0011271561682868936,5.838455195312091,86,20,66,-2.132233243779453,-4.494849212741908
7,0.05,-3441.1112058936505,-0.0006959894534428176,4.223287065608128,35,5,30,-2.076217474575143,-3.4111631638060764
7,0.07,-1702.5561971228485,-0.00041450992954635463,3.9651365052489087,17,3,14,-1.8657520719995284,-1.505280504254901
10,0.03,-4086.196295717306,-0.0008882682557303386,4.764657635665651,75,18,57,-2.279435973789728,-3.4442830908988067
10,0.05,-3226.677495769422,-0.0006306124558954566,4.245207567268928,33,5,28,-2.1123150184169193,-3.1870282277364446
10,0.07,-1610.409849314253,-0.000403501730927382,4.024916382096845,16,3,13,-1.9253968667168682,-1.3448178618957296
13,0.03,-4206.779984268611,-0.0009404448322458162,4.662535316147486,74,16,58,-2.1212262763959187,-3.7045624676544002
13,0.05,-3324.896144997074,-0.0006753112540267753,3.9552135049202737,32,4,28,-2.109143845983789,-3.58361038490666
13,0.07,-1647.015253846861,-0.0004017586084925798,3.862074563309773,16,3,13,-1.8803979739390246,-1.5474767157835054
16,0.03,-4342.977567517524,-0.0009796668926548423,4.740865398975389,73,15,58,-2.160151664234022,-3.853325667356671
16,0.05,-3571.619088881069,-0.0007377560619164448,4.06463890999766,32,4,28,-2.0624437013920818,-3.7304603585191
16,0.07,-1984.1849191168876,-0.0004919610908719011,3.9450858991352926,16,4,12,-1.909634908883944,-1.9974383820882942
19,0.03,-3894.1826742641597,-0.0008629892377014504,4.082023232712868,69,16,53,-2.28990768392607,-3.4800210018637516
19,0.05,-3191.9310475667585,-0.000625226764784179,3.865232117678601,30,4,26,-2.1255172637773025,-3.0499536732476646
19,0.07,-1494.9879341506235,-0.0003624743934927517,3.917461505924697,15,4,11,-1.908876387792321,-1.2215330403407119
22,0.03,-3735.7725819194084,-0.0008176708261540807,3.922070820871086,65,13,52,-2.4330113414747094,-3.2871854241226277
22,0.05,-3213.2998937462003,-0.0006232334565669361,3.7442694999680253,28,4,24,-2.360579311698973,-3.150903637158132
22,0.07,-1493.112643257488,-0.00036263632179669086,3.7922627230092067,15,4,11,-2.0277862655808234,-1.104943748054803
25,0.03,-2949.4267777120504,-0.000643701457025409,3.584689715837508,60,13,47,-2.4842654775783926,-2.601084525119096
25,0.05,-2196.2678544799887,-0.0004027622039559675,3.8581805914096297,26,5,21,-2.434338328233955,-2.283019454442483
25,0.07,-1006.2188179220875,-0.00024574791314654367,3.897229770628658,14,3,11,-2.0778288424792426,-0.8184865512431224
28,0.03,-2692.07960264459,-0.0005983681452323354,3.5062151899655882,58,12,46,-2.608011630416574,-2.61304971268783
28,0.05,-2025.12685805684,-0.00037027370029683697,3.7485406408152455,26,6,20,-2.4993517461295585,-2.277720149474407
28,0.07,-527.7560083259156,-0.00012950801519326504,3.6329197287925994,13,3,10,-2.088590833972059,-0.4297660435962516
31,0.03,-2458.0571915376795,-0.0005391557117893963,3.3607148211590916,58,14,44,-2.6262520340212396,-2.3032752414392808
31,0.05,-1654.9274869564742,-0.00029195100977512866,3.7001723441632257,26,6,20,-2.442987387015658,-1.5965276853841606
31,0.07,-421.30871940937936,-8.627711697495186e-05,3.5988402408375717,13,3,10,-2.1207861771249803,-0.3365410187784348
34,0.03,-2267.1487596035527,-0.0005045613182715704,3.66881507248342,56,14,42,-2.492335629441276,-2.1112341945963995
34,0.05,-1567.8157656105102,-0.0002509107917804194,3.4434480838437196,24,6,18,-2.4180558756025534,-1.70727539678451
34,0.07,-789.6203180595369,-0.00014980766850832358,3.4669530730930864,13,3,10,-2.28166743678331,-0.761985452814326
37,0.03,-2728.082054246003,-0.0005880838214808908,3.862184705413844,59,13,46,-2.4174135719195093,-2.518878171412541
37,0.05,-1710.6571751805723,-0.00028127513374008215,3.6405181370346926,26,6,20,-2.3568062696244336,-1.7137837951775483
37,0.07,-725.3236147842117,-0.00011783601094691471,3.8380798827309413,14,4,10,-2.010160308620834,-0.5532659962630069
40,0.03,-2995.0126102696104,-0.000646781547752088,4.198274947904942,61,14,47,-2.34580520520038,-2.7235743763006535
40,0.05,-1914.765659433237,-0.0003354315520601898,3.9761661395397585,27,6,21,-2.328533424135964,-1.889146142336039
40,0.07,-844.8129540547752,-0.0001528442586626812,3.8589344234861964,14,3,11,-2.083186977618149,-0.685901472119988
43,0.03,-3215.0919100489223,-0.000700119558200756,4.262484101237265,60,13,47,-2.4171150352636923,-2.9922775229410656
43,0.05,-2214.104638425828,-0.00040220251097695237,4.096111120389836,27,6,21,-2.401725149169056,-2.2475652791626173
43,0.07,-688.9438219297272,-0.0001368137953301088,3.982380851451465,14,3,11,-1.9914290676594026,-0.5012276260080545
46,0.03,-2893.5767214986295,-0.0006247456459564655,4.141797632758038,60,13,47,-2.3669535934798605,-2.6329865503176655
46,0.05,-2231.1538443373906,-0.00039813390986416053,4.085678635219959,27,6,21,-2.3861136231345346,-2.2814902969527173
46,0.07,-818.2595188756322,-0.00016467694242342025,4.000237683795088,14,3,11,-2.0115077241366977,-0.6119259283862752
49,0.03,-3233.430746396817,-0.0006986969332454145,4.24634337433678,59,12,47,-2.3781561551476638,-2.8698690186687523
49,0.05,-2338.492721803502,-0.000421390885578146,4.019619680861971,26,5,21,-2.3788487071111204,-2.2354121557676487
49,0.07,-1045.2475604203546,-0.0002194231989585002,3.9149410854827345,14,3,11,-2.03170476896731,-0.7694535274752218
52,0.03,-2957.901534582623,-0.0006387123502171302,4.185865323005821,57,13,44,-2.350854309168197,-2.6690717846642036
52,0.05,-2337.5399698923975,-0.0004195931382478913,3.982226740275304,26,5,21,-2.370553842658271,-2.2762734153074566
52,0.07,-1063.82428879385,-0.00021599987860301557,3.790887338680527,14,3,11,-2.0714513386620865,-0.8218443130993143
55,0.03,-3116.247532441287,-0.0006731657411822914,4.078327312337132,56,12,44,-2.4393867079806943,-2.782405322346275
55,0.05,-2414.337456644185,-0.0004299884289648961,3.9637354291441933,25,6,19,-2.4798880591226595,-2.2744883507548623
55,0.07,-900.896882034893,-0.00022674017440223318,3.72306426323845,13,3,10,-2.0682552639070333,-0.6472894228671519
58,0.03,-2424.307668587306,-0.0005230267363487567,3.6389639410420176,52,13,39,-2.527467903797078,-2.1403948621271534
58,0.05,-1788.8206074060622,-0.00029478970910466084,3.4682063861805243,23,6,17,-2.476306659106528,-1.7089397293210495
58,0.07,-837.0541789672917,-0.00016525055084043943,3.503829225787193,13,3,10,-2.064760648281858,-0.60114173673059
