momentum_period,vwma_period,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
3,3,0.06,-5523.195157444313,-0.0009477306259550243,7.217925447364913,47,8,39,-1.857723624342545,-3.6501366109114617
3,61,0.06,-5833.368481404717,-0.0010191633019345282,7.627205261351995,47,7,40,-1.8584728791666503,-3.8599800156879946
3,3,0.06,-5523.195157444313,-0.0009477306259550243,7.217925447364913,47,8,39,-1.857723624342545,-3.6501366109114617
6,3,0.06,-5398.434459450771,-0.0008890037291144936,6.990898625541537,45,7,38,-1.8944115150768408,-3.890660827120464
6,61,0.06,-5446.14405027935,-0.0009020951279421985,7.020309234947159,45,7,38,-1.9017651365508184,-3.884004624988006
6,3,0.06,-5398.434459450771,-0.0008890037291144936,6.990898625541537,45,7,38,-1.8944115150768408,-3.890660827120464
9,3,0.06,-4745.705493800359,-0.0007953671849816153,6.39980852340441,41,7,34,-2.0260436072958217,-3.339103608933145
9,61,0.06,-4898.448347353584,-0.0008225139021725955,6.471835232910068,41,7,34,-2.0361432179932653,-3.4671168435562776
9,3,0.06,-4745.705493800359,-0.0007953671849816153,6.39980852340441,41,7,34,-2.0260436072958217,-3.339103608933145
12,3,0.06,-4692.658635795997,-0.0007718852285352314,6.396996574687631,41,7,34,-2.0053812334296297,-3.4796181080174327
12,61,0.06,-4735.264893079077,-0.0007837340957001463,6.399453719644422,41,7,34,-2.009602137698983,-3.475563548525907
12,3,0.06,-4692.658635795997,-0.0007718852285352314,6.396996574687631,41,7,34,-2.0053812334296297,-3.4796181080174327
15,3,0.06,-5084.487136643736,-0.000861209294566071,6.618371509517022,41,6,35,-2.09789100712841,-3.782103013114164
15,61,0.06,-5061.25419385845,-0.0008595523530800518,6.736240095495063,41,6,35,-2.0492646162075197,-3.6623046417930625
15,3,0.06,-5084.487136643736,-0.000861209294566071,6.618371509517022,41,6,35,-2.09789100712841,-3.782103013114164
18,3,0.06,-5410.624616230878,-0.0009332338569460011,6.683152642382137,40,6,34,-2.1057471811276027,-4.2007184983645995
18,61,0.06,-5243.640734448772,-0.0008974376153581312,6.671831644699357,40,6,34,-2.0853465207142112,-4.067413081341404
18,3,0.06,-5410.624616230878,-0.0009332338569460011,6.683152642382137,40,6,34,-2.1057471811276027,-4.2007184983645995
21,3,0.06,-4597.859887112415,-0.000832843387815998,6.537666035360821,38,6,32,-2.088768195592718,-3.2882373085828367
21,61,0.06,-4548.4918418056195,-0.0008232562611686801,6.427701148066476,37,6,31,-2.016597642107051,-2.9123809431115064
21,3,0.06,-4597.859887112415,-0.000832843387815998,6.537666035360821,38,6,32,-2.088768195592718,-3.2882373085828367
24,3,0.06,-3888.1573885918147,-0.0006978305108643715,6.587277409605667,35,6,29,-2.052864064638742,-2.323503682566829
24,61,0.06,-4043.417836659707,-0.0007432787448643171,6.251367221271442,34,6,28,-2.156035648117313,-2.44973923749931
24,3,0.06,-3888.1573885918147,-0.0006978305108643715,6.587277409605667,35,6,29,-2.052864064638742,-2.323503682566829
27,3,0.06,-3463.7290753920925,-0.0006234535470028417,6.677212241781392,35,7,28,-2.176430095468021,-2.2359542934412273
27,61,0.06,-3461.29835830281,-0.0006207991430048096,6.522222939492523,34,6,28,-2.18430256881373,-2.2419172073815243
27,3,0.06,-3463.7290753920925,-0.0006234535470028417,6.677212241781392,35,7,28,-2.176430095468021,-2.2359542934412273
30,3,0.06,-3052.1928339349342,-0.0005742427030178427,6.421751715020635,33,6,27,-2.211101716830645,-1.9553937440180769
30,61,0.06,-2906.2365783538567,-0.0005537973732613842,6.328999700569942,32,6,26,-2.2411657912905407,-1.9012154982478562
30,3,0.06,-3052.1928339349342,-0.0005742427030178427,6.421751715020635,33,6,27,-2.211101716830645,-1.9553937440180769
33,3,0.06,-3123.5564566668263,-0.0005793736812147543,6.36842501729394,33,7,26,-2.3130757257008954,-2.2844819950425714
33,61,0.06,-2829.2187340776563,-0.0005384981290648051,6.316459822732244,32,6,26,-2.2238030485965967,-1.8616870551696665
33,3,0.06,-3123.5564566668263,-0.0005793736812147543,6.36842501729394,33,7,26,-2.3130757257008954,-2.2844819950425714
36,3,0.06,-3602.7315993646894,-0.0006746962661044148,6.916930334226051,35,7,28,-2.121669325523932,-2.291081702457486
36,61,0.06,-3291.129999774914,-0.0006265301375233891,6.6362595311313,33,6,27,-2.1602479569343584,-2.1081171819116333
36,3,0.06,-3602.7315993646894,-0.0006746962661044148,6.916930334226051,35,7,28,-2.121669325523932,-2.291081702457486
39,3,0.06,-2708.101421397248,-0.0005134739407876925,6.202870603293082,32,7,25,-2.1914130736473987,-1.8236336807198918
39,61,0.06,-2680.5780156949677,-0.0005187638475665791,6.15560837558979,31,7,24,-2.209753715011136,-1.8026865041054658
39,3,0.06,-2708.101421397248,-0.0005134739407876925,6.202870603293082,32,7,25,-2.1914130736473987,-1.8236336807198918
42,3,0.06,-2400.2796688266494,-0.0004369796577713822,5.735491834802126,31,6,25,-2.134344048551523,-1.6086082800571861
42,61,0.06,-2292.688100789133,-0.00043305874634785987,5.723405319642752,30,6,24,-2.1636375860758674,-1.5463666451103997
42,3,0.06,-2400.2796688266494,-0.0004369796577713822,5.735491834802126,31,6,25,-2.134344048551523,-1.6086082800571861
45,3,0.06,-2404.3087694417104,-0.00043375022893303307,5.531709704821703,30,6,24,-2.2637897405884653,-1.6342737424426252
45,61,0.06,-2132.550767675415,-0.0003933000870007133,5.487653319235767,29,6,23,-2.200150110998201,-1.3299086074652011
45,3,0.06,-2404.3087694417104,-0.00043375022893303307,5.531709704821703,30,6,24,-2.2637897405884653,-1.6342737424426252
48,3,0.06,-2676.5389805735504,-0.0004911564866544323,5.768814648347762,30,6,24,-2.2390004032115436,-1.7916877203604284
48,61,0.06,-2318.8870912087455,-0.00042479453139371824,5.6429918440390185,29,6,23,-2.1454734728752927,-1.4063079949423662
48,3,0.06,-2676.5389805735504,-0.0004911564866544323,5.768814648347762,30,6,24,-2.2390004032115436,-1.7916877203604284
51,3,0.06,-2470.5773491988098,-0.0004090228930831094,5.2909437766287795,29,6,23,-2.1659815561524858,-1.5964472715869797
51,61,0.06,-2423.304089744988,-0.00039581631867817077,5.146877634425213,28,6,22,-2.1732837349872374,-1.5570208789511817
51,3,0.06,-2470.5773491988098,-0.0004090228930831094,5.2909437766287795,29,6,23,-2.1659815561524858,-1.5964472715869797
54,3,0.06,-2116.53063927076,-0.0003684792943504415,4.998793880489763,28,6,22,-2.1815427404716163,-1.3657330757215604
54,61,0.06,-1980.8104373092756,-0.0003482568963679161,4.741960022711754,27,6,21,-2.1861538380128795,-1.2087370004227613
54,3,0.06,-2116.53063927076,-0.0003684792943504415,4.998793880489763,28,6,22,-2.1815427404716163,-1.3657330757215604
57,3,0.06,-2025.3507743776904,-0.00033022190275196634,4.749931873969068,28,6,22,-2.2171721896243444,-1.2807110480151978
57,61,0.06,-1870.1066094059095,-0.000306797942292562,4.662603390258095,27,6,21,-2.184947734932028,-1.1306427079975263
57,3,0.06,-2025.3507743776904,-0.00033022190275196634,4.749931873969068,28,6,22,-2.2171721896243444,-1.2807110480151978
60,3,0.06,-1730.7098629417449,-0.0003168487661450854,4.861975358652479,27,6,21,-2.152242145910583,-1.0177327736718738
60,61,0.06,-1349.7328688608925,-0.0002567768002358604,4.485445452537975,25,6,19,-2.175311925246604,-0.790357293340518
60,3,0.06,-1730.7098629417449,-0.0003168487661450854,4.861975358652479,27,6,21,-2.152242145910583,-1.0177327736718738
