datetime	open	high	low	close	volume
07.03.2018 00:00	10.3	10.3	9.08	9.68	30360
09.03.2018 00:00	9.74	10.08	9.56	9.9	6720
12.03.2018 00:00	9.8	10.08	9.74	9.96	4800
13.03.2018 00:00	9.84	10.18	9.68	9.98	3450
14.03.2018 00:00	10.06	10.14	9.9	9.98	3690
15.03.2018 00:00	10.08	10.08	9.64	9.96	6300
16.03.2018 00:00	9.84	10.14	9.68	9.68	6210
19.03.2018 00:00	9.68	9.68	9.08	9.34	17700
20.03.2018 00:00	9.3	9.3	8.9	9.08	52170
21.03.2018 00:00	9.08	9.08	8.64	8.84	22470
22.03.2018 00:00	8.74	8.74	8.3	8.56	45300
23.03.2018 00:00	8.56	8.74	8.46	8.68	10110
26.03.2018 00:00	8.64	9.08	8.64	8.98	20520
27.03.2018 00:00	9.08	9.18	8.48	8.74	18330
28.03.2018 00:00	8.84	9.24	8.84	9.06	4890
29.03.2018 00:00	9.06	9.3	8.9	9.24	5100
30.03.2018 00:00	9.18	9.3	9.06	9.24	2040
02.04.2018 00:00	9.08	9.14	9.06	9.06	390
03.04.2018 00:00	9.08	9.14	8.84	9.14	1350
04.04.2018 00:00	8.98	9.14	8.96	8.96	3210
05.04.2018 00:00	8.96	9.06	8.64	8.96	6300
06.04.2018 00:00	8.8	8.96	8.8	8.96	1500
09.04.2018 00:00	8.96	8.96	8.18	8.34	14070
10.04.2018 00:00	8.46	8.9	8.08	8.48	9390
11.04.2018 00:00	8.48	8.98	8.48	8.64	1800
12.04.2018 00:00	8.58	8.84	8.56	8.84	5670
13.04.2018 00:00	8.9	8.98	8.64	8.64	1020
16.04.2018 00:00	8.4	8.48	8.14	8.34	1380
17.04.2018 00:00	8.3	8.56	8.3	8.48	4470
18.04.2018 00:00	8.46	8.9	8.3	8.48	12450
19.04.2018 00:00	8.48	9.08	8.4	8.4	18360
20.04.2018 00:00	8.68	9.08	8.56	9.06	10560
23.04.2018 00:00	9.06	9.06	8.58	8.8	1560
24.04.2018 00:00	8.64	9.08	8.46	8.9	4560
25.04.2018 00:00	8.9	9.24	8.74	8.74	8100
26.04.2018 00:00	8.98	9.14	8.68	8.98	21570
27.04.2018 00:00	9.08	9.24	8.98	8.98	4680
28.04.2018 00:00	9.14	9.24	8.98	9.08	5040
30.04.2018 00:00	9.08	9.08	9.08	9.08	30
02.05.2018 00:00	9.14	9.48	9.08	9.34	4860
03.05.2018 00:00	9.14	9.46	8.9	9.34	750
04.05.2018 00:00	9.24	9.48	9.08	9.24	6450
07.05.2018 00:00	9.46	9.46	9.34	9.46	60
08.05.2018 00:00	9.46	9.46	8.96	9.24	2640
10.05.2018 00:00	9.14	9.4	9.08	9.18	9630
11.05.2018 00:00	9.3	9.4	9.24	9.3	360
14.05.2018 00:00	9.14	9.96	9.14	9.34	19380
15.05.2018 00:00	9.34	9.68	9.34	9.58	13650
16.05.2018 00:00	9.58	9.58	9.34	9.4	24510
17.05.2018 00:00	9.24	9.48	9.24	9.48	900
18.05.2018 00:00	9.4	9.4	9.4	9.4	420
21.05.2018 00:00	9.58	9.74	9.34	9.48	1680
22.05.2018 00:00	9.48	9.74	9.46	9.56	33870
23.05.2018 00:00	9.64	9.64	9.4	9.48	2940
24.05.2018 00:00	9.56	9.56	9.08	9.3	43860
25.05.2018 00:00	9.3	9.34	9.24	9.34	2580
28.05.2018 00:00	9.34	9.48	9.34	9.46	5850
29.05.2018 00:00	9.34	9.48	9.3	9.48	34860
30.05.2018 00:00	9.4	9.4	8.96	9.18	22680
31.05.2018 00:00	9.14	9.14	8.68	9.08	3810
01.06.2018 00:00	9.06	9.06	8.68	8.96	3660
05.06.2018 00:00	8.98	9.3	8.98	9.3	14010
06.06.2018 00:00	9.3	9.3	9.24	9.24	39030
07.06.2018 00:00	9.34	9.34	9.24	9.24	900
