datetime	open	high	low	close	volume
04.01.2000 00:00	5.4	5.4	4.99	4.99	160
05.01.2000 00:00	6.99	6.99	6.87	6.9	1109
06.01.2000 00:00	6.99	6.99	6.87	6.9	1109
07.01.2000 00:00	6.99	6.99	6.87	6.9	1109
10.01.2000 00:00	6.99	6.99	6.49	6.49	4534
11.01.2000 00:00	6.99	6.99	5.4	5.4	1907
12.01.2000 00:00	6.59	6.59	6.59	6.59	0
13.01.2000 00:00	6.59	6.74	5.99	6.59	513
14.01.2000 00:00	6.59	6.59	6.45	6.57	2612
17.01.2000 00:00	6.59	6.59	6.49	6.49	1510
18.01.2000 00:00	6.29	6.4	5.99	5.99	3000
19.01.2000 00:00	5.99	5.99	5.99	5.99	700
20.01.2000 00:00	5.9	5.99	5.9	5.99	2064
21.01.2000 00:00	5.99	6.09	5.99	6.09	203
24.01.2000 00:00	5.99	6.09	5.99	6.09	203
25.01.2000 00:00	5.99	6.09	5.99	6.09	203
26.01.2000 00:00	5.99	6.09	5.99	6.09	203
27.01.2000 00:00	5.92	6.09	5.92	6.09	3722
28.01.2000 00:00	5.92	6.09	5.92	6.09	3722
31.01.2000 00:00	5.92	6.09	5.92	6.09	3722
01.02.2000 00:00	4.99	4.99	4.99	4.99	930
02.02.2000 00:00	5.7	5.7	5.7	5.7	415
03.02.2000 00:00	5.7	5.7	5.7	5.7	415
04.02.2000 00:00	5.7	5.7	5.7	5.7	415
07.02.2000 00:00	5.7	5.7	5.7	5.7	415
08.02.2000 00:00	5.45	5.45	5.45	5.45	2500
09.02.2000 00:00	5.79	5.79	5.79	5.79	2
10.02.2000 00:00	5.45	5.45	5.45	5.45	3900
11.02.2000 00:00	5.59	5.59	5.59	5.59	871
14.02.2000 00:00	5.59	5.59	5.59	5.59	871
15.02.2000 00:00	5.59	5.59	5.59	5.59	871
16.02.2000 00:00	5.49	5.49	5.49	5.49	110
17.02.2000 00:00	5.45	5.45	5.45	5.45	200
18.02.2000 00:00	5.34	5.34	5.03	5.03	80
21.02.2000 00:00	4.99	4.99	4.99	4.99	10
22.02.2000 00:00	4.99	4.99	4.99	4.99	49
23.02.2000 00:00	5.2	5.21	5.2	5.21	2070
24.02.2000 00:00	5.58	5.58	5.58	5.58	31
25.02.2000 00:00	5.58	5.58	5.58	5.58	31
28.02.2000 00:00	5.58	5.58	5.58	5.58	31
29.02.2000 00:00	5.58	5.58	5.58	5.58	31
01.03.2000 00:00	5.58	5.58	5.58	5.58	31
02.03.2000 00:00	4.79	4.79	4.79	4.79	140
03.03.2000 00:00	4.79	4.79	4.79	4.79	140
06.03.2000 00:00	4.99	4.99	4.99	4.99	200
07.03.2000 00:00	4.99	4.99	4.99	4.99	300
08.03.2000 00:00	4.99	4.99	4.99	4.99	300
09.03.2000 00:00	5.12	5.23	5.09	5.23	4348
10.03.2000 00:00	5.23	5.29	5.23	5.29	2600
13.03.2000 00:00	4.99	4.99	4.99	4.99	535
14.03.2000 00:00	5.09	5.15	4.95	5.15	2627
15.03.2000 00:00	4.99	5.09	4.99	5.09	11394
16.03.2000 00:00	5.29	5.29	5.29	5.29	2280
17.03.2000 00:00	5.38	5.38	5.0	5.0	2768
20.03.2000 00:00	5.04	5.04	4.87	5.03	3615
21.03.2000 00:00	5.15	5.15	4.95	4.95	5250
22.03.2000 00:00	5.2	5.29	5.09	5.11	14375
23.03.2000 00:00	5.2	5.2	4.99	4.99	1444
24.03.2000 00:00	5.09	5.2	4.96	4.96	11579
27.03.2000 00:00	5.09	5.2	4.96	4.96	11579
28.03.2000 00:00	5.2	5.2	5.09	5.19	3688
29.03.2000 00:00	5.29	5.4	5.28	5.34	12196
30.03.2000 00:00	5.34	5.34	5.16	5.16	4944
31.03.2000 00:00	5.24	5.24	4.99	4.99	403
03.04.2000 00:00	5.19	5.4	5.16	5.4	14635
04.04.2000 00:00	5.2	5.58	5.2	5.58	6080
05.04.2000 00:00	5.4	5.4	5.4	5.4	100
06.04.2000 00:00	5.29	5.4	5.29	5.4	1329
07.04.2000 00:00	5.49	5.58	5.49	5.58	637
10.04.2000 00:00	5.45	5.84	5.45	5.84	4049
11.04.2000 00:00	5.99	6.08	5.59	5.99	1910
12.04.2000 00:00	5.92	5.95	5.65	5.65	3932
13.04.2000 00:00	5.92	5.95	5.65	5.65	3932
14.04.2000 00:00	5.7	5.78	5.61	5.65	2522
17.04.2000 00:00	5.15	5.15	5.01	5.01	300
18.04.2000 00:00	5.59	5.62	5.15	5.57	9501
19.04.2000 00:00	5.59	5.59	5.4	5.53	5096
20.04.2000 00:00	5.45	5.49	5.45	5.49	30705
21.04.2000 00:00	5.65	5.65	5.65	5.65	151
24.04.2000 00:00	5.49	5.49	5.2	5.2	10500
25.04.2000 00:00	5.4	5.45	5.24	5.24	910
26.04.2000 00:00	5.4	5.59	5.4	5.59	3744
27.04.2000 00:00	5.4	5.45	5.05	5.45	2966
28.04.2000 00:00	5.54	5.58	5.54	5.54	4510
01.05.2000 00:00	5.54	5.58	5.54	5.54	4510
02.05.2000 00:00	5.54	5.58	5.54	5.54	4510
03.05.2000 00:00	5.59	5.99	5.59	5.99	47
04.05.2000 00:00	5.59	5.99	5.59	5.99	47
05.05.2000 00:00	5.59	5.59	5.49	5.49	110
08.05.2000 00:00	5.59	5.59	5.53	5.5600000000000005	1426
09.05.2000 00:00	5.59	5.59	5.53	5.5600000000000005	1426
10.05.2000 00:00	5.5	5.68	5.5	5.68	2100
11.05.2000 00:00	5.45	5.51	5.4	5.51	1884
12.05.2000 00:00	6.21	6.21	5.25	5.45	1520
15.05.2000 00:00	5.25	5.28	5.2	5.2	4154
16.05.2000 00:00	5.25	5.28	5.2	5.2	4154
17.05.2000 00:00	5.2	5.2	4.99	4.99	1410
18.05.2000 00:00	4.99	4.99	4.99	4.99	1100
19.05.2000 00:00	4.54	4.54	4.54	4.54	290
22.05.2000 00:00	4.54	4.54	4.54	4.54	290
23.05.2000 00:00	4.54	4.54	4.54	4.54	290
24.05.2000 00:00	4.54	4.54	4.54	4.54	290
25.05.2000 00:00	4.54	4.54	4.54	4.54	290
26.05.2000 00:00	4.29	5.0	4.29	4.99	3310
29.05.2000 00:00	4.29	5.0	4.29	4.99	3310
30.05.2000 00:00	4.29	5.0	4.29	4.99	3310
31.05.2000 00:00	4.29	5.0	4.29	4.99	3310
01.06.2000 00:00	4.29	5.0	4.29	4.99	3310
02.06.2000 00:00	4.15	5.49	4.15	5.4	12158
05.06.2000 00:00	4.15	5.49	4.15	5.4	12158
06.06.2000 00:00	4.15	5.49	4.15	5.4	12158
07.06.2000 00:00	4.15	5.49	4.15	5.4	12158
08.06.2000 00:00	4.8100000000000005	4.99	4.8100000000000005	4.99	5400
09.06.2000 00:00	4.8100000000000005	4.99	4.8100000000000005	4.99	5400
12.06.2000 00:00	4.8100000000000005	4.99	4.8100000000000005	4.99	5400
13.06.2000 00:00	5.32	5.32	5.32	5.32	0
14.06.2000 00:00	3.99	5.34	3.99	5.34	2606
15.06.2000 00:00	4.99	4.99	4.95	4.95	18
16.06.2000 00:00	4.99	4.99	4.95	4.95	18
19.06.2000 00:00	4.99	4.99	4.95	4.95	18
20.06.2000 00:00	4.49	4.87	4.49	4.87	559
21.06.2000 00:00	4.34	4.34	4.34	4.34	2415
22.06.2000 00:00	4.34	4.34	4.34	4.34	2415
23.06.2000 00:00	4.34	4.34	4.34	4.34	2415
26.06.2000 00:00	4.34	4.34	4.34	4.34	2415
27.06.2000 00:00	4.49	4.59	4.49	4.49	2460
28.06.2000 00:00	4.15	4.15	4.15	4.15	800
29.06.2000 00:00	4.45	4.45	4.45	4.45	110
30.06.2000 00:00	4.49	4.49	4.44	4.44	110
03.07.2000 00:00	4.45	4.45	4.45	4.45	5
04.07.2000 00:00	4.36	4.36	4.36	4.36	500
05.07.2000 00:00	4.36	4.36	4.36	4.36	500
06.07.2000 00:00	4.54	4.84	4.54	4.76	2025
07.07.2000 00:00	4.84	4.84	4.61	4.61	610
10.07.2000 00:00	4.8100000000000005	4.8100000000000005	4.66	4.66	1525
11.07.2000 00:00	4.41	4.7	4.41	4.7	2200
12.07.2000 00:00	4.95	4.95	4.95	4.95	800
13.07.2000 00:00	4.9	4.9	4.9	4.9	490
14.07.2000 00:00	4.9	4.9	4.9	4.9	203
17.07.2000 00:00	4.66	4.66	4.66	4.66	2855
18.07.2000 00:00	4.7	4.7	4.7	4.7	1855
19.07.2000 00:00	4.7	4.76	4.7	4.76	2357
20.07.2000 00:00	4.7	4.7	4.7	4.7	1307
21.07.2000 00:00	4.76	4.76	4.76	4.76	3400
24.07.2000 00:00	4.7	4.7	4.7	4.7	1580
25.07.2000 00:00	4.7	4.7	4.7	4.7	1580
26.07.2000 00:00	4.7	4.7	4.7	4.7	1580
27.07.2000 00:00	4.65	4.66	4.65	4.66	180
28.07.2000 00:00	4.65	4.66	4.65	4.66	180
31.07.2000 00:00	4.7	4.7	4.7	4.7	2800
01.08.2000 00:00	5.4	5.4	4.59	4.9	4030
02.08.2000 00:00	4.9	4.99	4.9	4.99	38680
03.08.2000 00:00	4.99	5.04	4.99	5.0	10290
04.08.2000 00:00	5.29	5.29	5.09	5.09	531
07.08.2000 00:00	5.29	5.29	5.09	5.09	531
08.08.2000 00:00	5.29	5.29	5.09	5.09	531
09.08.2000 00:00	4.99	5.19	4.99	5.19	470
10.08.2000 00:00	4.99	4.99	4.99	4.99	2800
11.08.2000 00:00	4.99	5.04	4.9	4.93	10280
14.08.2000 00:00	5.28	5.29	5.28	5.29	4656
15.08.2000 00:00	5.09	5.34	5.09	5.34	375
16.08.2000 00:00	5.4	5.49	5.4	5.41	6992
17.08.2000 00:00	5.45	5.45	5.4	5.4	9285
18.08.2000 00:00	5.49	5.49	5.0	5.4	251
21.08.2000 00:00	5.49	5.49	5.0	5.4	251
22.08.2000 00:00	5.45	5.49	5.45	5.49	12403
23.08.2000 00:00	5.49	5.58	5.49	5.58	3030
24.08.2000 00:00	5.49	5.76	5.45	5.65	9284
25.08.2000 00:00	5.67	5.67	5.61	5.61	230
28.08.2000 00:00	5.5	5.5	5.5	5.5	1500
29.08.2000 00:00	5.88	5.9	5.74	5.82	4697
30.08.2000 00:00	5.91	5.91	5.7	5.7	515
31.08.2000 00:00	5.91	5.91	5.7	5.7	515
01.09.2000 00:00	5.5	5.74	5.5	5.7	9232
04.09.2000 00:00	5.11	5.11	5.11	5.11	20
05.09.2000 00:00	5.5	5.5	5.5	5.5	40
06.09.2000 00:00	5.61	5.9	5.61	5.9	3085
07.09.2000 00:00	6.03	6.03	5.59	5.61	3749
08.09.2000 00:00	5.7	5.74	5.7	5.74	2570
11.09.2000 00:00	5.7	5.74	5.7	5.74	2570
12.09.2000 00:00	5.7	5.7	5.7	5.7	1000
13.09.2000 00:00	5.79	5.79	5.61	5.61	386
14.09.2000 00:00	5.79	5.79	5.61	5.61	386
15.09.2000 00:00	5.49	5.54	5.49	5.49	3384
18.09.2000 00:00	5.49	5.54	5.49	5.49	3384
19.09.2000 00:00	5.49	5.54	5.49	5.49	3384
20.09.2000 00:00	5.49	5.54	5.49	5.49	3384
21.09.2000 00:00	5.09	5.09	4.99	4.99	600
22.09.2000 00:00	4.99	4.99	4.99	4.99	2500
25.09.2000 00:00	4.99	4.99	4.99	4.99	2500
26.09.2000 00:00	5.29	5.4	5.29	5.4	3000
27.09.2000 00:00	5.83	5.83	5.83	5.83	100
28.09.2000 00:00	5.96	6.24	5.96	6.16	10321
29.09.2000 00:00	6.49	6.99	6.49	6.99	5641
02.10.2000 00:00	6.99	6.99	6.99	6.99	2000
03.10.2000 00:00	6.65	7.49	6.65	7.49	13878
04.10.2000 00:00	7.59	7.59	6.9	6.9	3144
05.10.2000 00:00	6.95	6.95	6.95	6.95	10
06.10.2000 00:00	6.95	6.95	6.95	6.95	10
09.10.2000 00:00	6.74	6.74	6.74	6.74	1239
10.10.2000 00:00	6.78	6.79	6.61	6.61	1751
11.10.2000 00:00	6.99	6.99	6.59	6.59	616
12.10.2000 00:00	6.99	6.99	6.59	6.59	616
13.10.2000 00:00	5.7	5.7	5.7	5.7	1000
16.10.2000 00:00	5.7	5.7	5.7	5.7	1000
17.10.2000 00:00	6.15	6.15	6.15	6.15	2755
18.10.2000 00:00	6.34	6.34	6.29	6.29	3090
19.10.2000 00:00	6.49	6.99	6.49	6.99	1622
20.10.2000 00:00	6.99	7.24	6.99	7.15	18183
23.10.2000 00:00	6.99	7.09	6.99	7.09	2000
24.10.2000 00:00	6.99	7.09	6.99	7.09	2000
25.10.2000 00:00	6.95	6.99	6.95	6.99	900
26.10.2000 00:00	6.99	6.99	6.9	6.9	1000
27.10.2000 00:00	6.99	6.99	6.9	6.9	1000
30.10.2000 00:00	6.79	6.95	6.79	6.95	2555
31.10.2000 00:00	6.79	6.95	6.79	6.95	2555
01.11.2000 00:00	6.7	6.7	6.7	6.7	101
02.11.2000 00:00	6.7	6.7	6.7	6.7	101
03.11.2000 00:00	6.7	6.7	6.7	6.7	101
06.11.2000 00:00	6.7	6.7	6.7	6.7	101
07.11.2000 00:00	6.7	6.7	6.7	6.7	101
08.11.2000 00:00	6.73	6.73	6.7	6.7	1700
09.11.2000 00:00	6.7	6.7	6.7	6.7	1250
10.11.2000 00:00	6.76	6.76	6.68	6.68	662
13.11.2000 00:00	6.78	6.78	6.78	6.78	52
14.11.2000 00:00	6.99	6.99	6.88	6.88	80
15.11.2000 00:00	6.59	6.59	6.59	6.59	1533
16.11.2000 00:00	6.59	6.59	6.59	6.59	1533
17.11.2000 00:00	6.62	6.79	6.62	6.79	1100
20.11.2000 00:00	5.9	5.9	5.9	5.9	2
21.11.2000 00:00	6.71	6.71	6.59	6.59	1052
22.11.2000 00:00	6.71	6.71	6.59	6.59	1052
23.11.2000 00:00	6.32	6.32	6.32	6.32	400
24.11.2000 00:00	6.78	6.78	6.29	6.41	2450
27.11.2000 00:00	6.7	6.7	6.7	6.7	469
28.11.2000 00:00	6.7	6.7	6.7	6.7	469
29.11.2000 00:00	6.29	6.29	6.29	6.29	35
30.11.2000 00:00	6.29	6.29	6.29	6.29	35
01.12.2000 00:00	6.29	6.29	6.29	6.29	35
04.12.2000 00:00	6.29	6.29	6.29	6.29	35
05.12.2000 00:00	5.59	5.59	5.59	5.59	120
06.12.2000 00:00	6.4	6.7	6.4	6.7	1500
07.12.2000 00:00	6.7	6.7	6.68	6.68	92
08.12.2000 00:00	6.7	6.7	6.68	6.68	92
11.12.2000 00:00	6.54	6.54	6.29	6.29	500
12.12.2000 00:00	6.54	6.54	6.29	6.29	500
13.12.2000 00:00	6.29	6.54	6.29	6.54	1090
14.12.2000 00:00	6.59	6.65	6.59	6.65	624
15.12.2000 00:00	6.2	6.23	5.99	5.99	3952
18.12.2000 00:00	6.2	6.23	5.99	5.99	3952
19.12.2000 00:00	6.2	6.23	5.99	5.99	3952
20.12.2000 00:00	5.7	5.7	5.7	5.7	805
21.12.2000 00:00	5.5	5.5	5.3	5.45	3915
22.12.2000 00:00	5.7	5.7	5.7	5.7	600
25.12.2000 00:00	5.79	5.99	5.79	5.87	5405
26.12.2000 00:00	6.2	6.2	5.79	5.79	830
27.12.2000 00:00	5.59	5.59	5.59	5.59	400
28.12.2000 00:00	5.66	5.7	5.5600000000000005	5.7	2777
29.12.2000 00:00	5.66	5.7	5.5600000000000005	5.7	2777
01.01.2001 00:00	5.66	5.7	5.5600000000000005	5.7	2777
02.01.2001 00:00	5.66	5.7	5.5600000000000005	5.7	2777
03.01.2001 00:00	5.66	5.7	5.5600000000000005	5.7	2777
04.01.2001 00:00	5.9	5.9	5.9	5.9	1000
05.01.2001 00:00	5.9	5.9	5.9	5.9	1000
08.01.2001 00:00	5.9	5.9	5.9	5.9	1000
09.01.2001 00:00	5.99	5.99	5.99	5.99	1000
10.01.2001 00:00	6.24	6.24	6.24	6.24	561
11.01.2001 00:00	6.24	6.24	6.24	6.24	314
12.01.2001 00:00	6.2	6.2	6.2	6.2	209
15.01.2001 00:00	6.4	6.4	6.4	6.4	360
16.01.2001 00:00	6.15	6.15	6.15	6.15	50
17.01.2001 00:00	6.29	6.49	6.29	6.46	2180
18.01.2001 00:00	6.2	6.2	6.09	6.09	270
19.01.2001 00:00	6.34	6.34	6.25	6.25	1680
22.01.2001 00:00	6.15	6.15	6.09	6.09	750
23.01.2001 00:00	6.49	6.49	5.95	6.28	1391
24.01.2001 00:00	6.3	6.3	6.29	6.29	0
25.01.2001 00:00	6.29	6.29	6.21	6.24	1001
26.01.2001 00:00	6.25	6.34	6.24	6.34	200
29.01.2001 00:00	6.25	6.34	6.24	6.34	200
30.01.2001 00:00	5.99	6.29	5.99	6.29	17
31.01.2001 00:00	6.15	6.15	6.15	6.15	876
01.02.2001 00:00	6.05	6.05	6.05	6.05	2330
02.02.2001 00:00	6.09	6.09	6.09	6.09	50
05.02.2001 00:00	6.08	6.24	6.08	6.24	4087
06.02.2001 00:00	6.28	6.38	6.2	6.38	3950
07.02.2001 00:00	6.54	6.7	6.45	6.57	4223
08.02.2001 00:00	6.67	7.99	6.67	7.95	37180
09.02.2001 00:00	7.95	8.19	7.7	8.14	19315
12.02.2001 00:00	8.3	8.39	8.24	8.24	10442
13.02.2001 00:00	8.49	8.59	8.41	8.42	8396
14.02.2001 00:00	8.57	8.58	8.39	8.49	18902
15.02.2001 00:00	8.55	8.59	8.55	8.58	155
16.02.2001 00:00	8.59	8.59	8.36	8.53	3549
19.02.2001 00:00	8.49	8.49	8.3	8.3	12940
20.02.2001 00:00	8.25	8.26	8.25	8.26	210
21.02.2001 00:00	7.99	7.99	7.99	7.99	400
22.02.2001 00:00	7.99	7.99	7.99	7.99	400
23.02.2001 00:00	7.99	7.99	7.99	7.99	400
26.02.2001 00:00	7.99	7.99	7.99	7.99	400
27.02.2001 00:00	7.99	7.99	7.99	7.99	400
28.02.2001 00:00	7.98	7.98	7.98	7.98	2415
01.03.2001 00:00	7.98	7.98	7.98	7.98	2415
02.03.2001 00:00	8.4	8.49	8.4	8.4	3475
05.03.2001 00:00	8.99	8.99	8.99	8.99	11
06.03.2001 00:00	8.94	9.09	8.85	9.09	4180
07.03.2001 00:00	9.02	9.18	8.59	8.59	7680
08.03.2001 00:00	9.02	9.18	8.59	8.59	7680
09.03.2001 00:00	9.02	9.18	8.59	8.59	7680
12.03.2001 00:00	8.99	9.09	8.8	8.99	10515
13.03.2001 00:00	9.0	9.05	8.74	8.74	9224
14.03.2001 00:00	9.0	9.05	8.74	8.74	9224
15.03.2001 00:00	8.94	8.99	8.94	8.99	300
16.03.2001 00:00	8.8	8.94	8.51	8.59	3410
19.03.2001 00:00	8.8	8.94	8.51	8.59	3410
20.03.2001 00:00	8.9	9.49	8.9	9.34	20634
21.03.2001 00:00	9.3	9.32	8.69	8.99	4976
22.03.2001 00:00	8.59	9.19	8.5	8.69	2720
23.03.2001 00:00	8.99	9.18	8.59	8.84	22928
26.03.2001 00:00	8.91	8.99	8.84	8.84	5325
27.03.2001 00:00	8.69	8.69	8.69	8.69	300
28.03.2001 00:00	8.85	8.85	8.8	8.8	450
29.03.2001 00:00	8.74	8.74	8.71	8.71	4385
30.03.2001 00:00	9.05	9.3	9.0	9.19	9710
02.04.2001 00:00	9.24	9.41	9.21	9.24	2595
03.04.2001 00:00	9.43	9.44	9.31	9.32	2745
04.04.2001 00:00	9.43	9.44	9.31	9.32	2745
05.04.2001 00:00	9.49	9.74	9.49	9.74	6705
06.04.2001 00:00	9.8	10.49	9.8	9.98	7672
09.04.2001 00:00	10.4	10.4	10.4	10.4	200
10.04.2001 00:00	9.99	10.28	9.99	10.24	2505
11.04.2001 00:00	10.3	10.3	10.08	10.08	6054
12.04.2001 00:00	10.44	10.44	9.82	10.24	14434
13.04.2001 00:00	10.24	10.44	10.24	10.44	2270
16.04.2001 00:00	9.71	9.71	9.71	9.71	5
17.04.2001 00:00	9.64	9.64	9.64	9.64	2
18.04.2001 00:00	9.91	10.3	9.91	10.3	1270
19.04.2001 00:00	10.43	10.58	10.31	10.33	4187
20.04.2001 00:00	10.31	10.48	10.28	10.32	4977
23.04.2001 00:00	10.49	10.49	10.19	10.19	2605
24.04.2001 00:00	10.19	10.4	10.05	10.4	8700
25.04.2001 00:00	10.05	10.05	10.05	10.05	0
26.04.2001 00:00	10.44	10.44	10.25	10.42	1115
27.04.2001 00:00	10.4	10.49	10.06	10.06	10010
30.04.2001 00:00	10.07	10.15	10.07	10.07	40
01.05.2001 00:00	10.07	10.15	10.07	10.07	40
02.05.2001 00:00	10.07	10.15	10.07	10.07	40
03.05.2001 00:00	10.06	10.06	9.99	9.99	205
04.05.2001 00:00	10.06	10.06	10.06	10.06	40
07.05.2001 00:00	10.13	10.22	10.13	10.22	1614
08.05.2001 00:00	10.18	10.38	10.18	10.38	5516
09.05.2001 00:00	10.18	10.38	10.18	10.38	5516
10.05.2001 00:00	10.39	10.74	10.39	10.51	8261
11.05.2001 00:00	10.65	10.65	10.36	10.36	2801
14.05.2001 00:00	10.53	10.53	10.32	10.32	460
