datetime	open	high	low	close	volume
25.04.2007 00:00	12.61	12.61	12.61	12.61	300
26.04.2007 00:00	12.61	12.76	12.49	12.66	1400
27.04.2007 00:00	12.61	14.43	11.99	12.39	4400
28.04.2007 00:00	12.61	12.61	12.24	12.5	1700
02.05.2007 00:00	11.99	11.99	9.34	9.39	30100
03.05.2007 00:00	9.55	11.98	9.44	9.49	8200
04.05.2007 00:00	9.4	9.55	9.32	9.35	2500
07.05.2007 00:00	9.32	9.34	9.3	9.3	2400
08.05.2007 00:00	9.32	9.32	9.32	9.32	500
10.05.2007 00:00	9.32	9.32	9.32	9.32	500
17.05.2007 00:00	9.32	9.32	9.32	9.32	1100
18.05.2007 00:00	9.32	9.32	9.32	9.32	100
21.05.2007 00:00	9.32	9.32	9.32	9.32	100
24.05.2007 00:00	9.32	9.32	9.32	9.32	100
25.05.2007 00:00	9.32	9.32	8.99	9.25	2000
28.05.2007 00:00	9.99	10.4	9.1	9.1	21900
29.05.2007 00:00	9.32	9.32	8.99	9.26	1400
30.05.2007 00:00	10.4	10.4	8.99	10.13	25200
31.05.2007 00:00	9.32	9.32	9.32	9.32	1000
01.06.2007 00:00	9.32	10.39	9.32	10.32	21500
04.06.2007 00:00	9.32	9.32	9.32	9.32	1000
05.06.2007 00:00	9.59	10.4	9.16	9.18	29500
06.06.2007 00:00	9.19	9.84	9.19	9.72	19200
07.06.2007 00:00	8.99	9.18	8.99	9.15	700
08.06.2007 00:00	9.19	9.19	9.19	9.19	100
09.06.2007 00:00	8.99	8.99	8.99	8.99	200
13.06.2007 00:00	9.09	9.09	8.99	9.05	200
15.06.2007 00:00	8.99	9.24	8.99	9.11	200
18.06.2007 00:00	9.3	9.3	9.3	9.3	500
19.06.2007 00:00	9.23	9.23	9.23	9.23	200
20.06.2007 00:00	9.19	9.19	8.99	9.19	800
21.06.2007 00:00	9.22	9.22	9.22	9.22	100
26.06.2007 00:00	9.17	9.89	9.17	9.21	2100
27.06.2007 00:00	9.16	9.4	9.16	9.24	21000
28.06.2007 00:00	9.33	9.4	9.33	9.4	15400
29.06.2007 00:00	9.35	9.61	9.35	9.49	10800
02.07.2007 00:00	9.46	9.59	9.46	9.59	3100
03.07.2007 00:00	9.88	9.88	9.0	9.86	506400
04.07.2007 00:00	9.4	9.69	9.05	9.69	71100
05.07.2007 00:00	9.88	9.88	9.69	9.77	35100
06.07.2007 00:00	9.8	9.99	9.69	9.81	51400
09.07.2007 00:00	9.69	9.69	9.69	9.69	200
10.07.2007 00:00	9.99	9.99	9.69	9.85	67500
11.07.2007 00:00	9.99	9.99	9.8	9.82	6000
12.07.2007 00:00	9.84	9.84	9.1	9.74	28300
13.07.2007 00:00	9.99	9.99	9.84	9.97	36000
16.07.2007 00:00	9.99	10.49	9.69	10.18	22000
17.07.2007 00:00	9.9	10.36	9.9	10.19	11300
18.07.2007 00:00	10.49	13.3	10.0	10.26	214200
19.07.2007 00:00	10.35	10.74	10.24	10.3	47900
20.07.2007 00:00	10.41	10.41	10.01	10.21	27500
23.07.2007 00:00	10.24	10.27	10.09	10.17	34800
24.07.2007 00:00	10.4	10.4	10.19	10.4	105300
25.07.2007 00:00	10.4	10.49	10.4	10.48	73100
26.07.2007 00:00	10.5	10.59	10.24	10.24	62400
27.07.2007 00:00	10.48	10.48	10.15	10.28	20900
30.07.2007 00:00	10.28	10.49	10.09	10.49	81700
31.07.2007 00:00	10.77	10.99	10.49	10.67	12700
01.08.2007 00:00	10.14	10.49	10.14	10.33	500
02.08.2007 00:00	10.35	10.35	10.35	10.35	300
03.08.2007 00:00	10.49	10.99	10.49	10.55	14100
07.08.2007 00:00	10.41	10.41	9.99	10.1	5100
08.08.2007 00:00	10.31	10.31	10.19	10.24	2300
09.08.2007 00:00	10.4	10.4	10.3	10.39	1500
10.08.2007 00:00	10.19	10.19	10.15	10.15	200
13.08.2007 00:00	10.3	10.3	10.3	10.3	100
14.08.2007 00:00	10.05	10.3	9.9	10.14	14800
16.08.2007 00:00	9.59	9.65	9.49	9.65	1700
17.08.2007 00:00	8.99	9.65	8.99	9.36	1400
20.08.2007 00:00	10.34	10.4	9.42	10.11	1500
21.08.2007 00:00	9.59	10.38	9.5	9.9	352100
22.08.2007 00:00	10.09	10.09	9.49	9.83	322700
23.08.2007 00:00	10.19	10.98	9.84	10.19	505700
24.08.2007 00:00	10.94	10.98	9.92	10.15	177100
27.08.2007 00:00	10.3	11.08	10.09	10.49	347600
28.08.2007 00:00	10.49	10.98	10.49	10.98	4700
29.08.2007 00:00	10.98	11.44	10.13	11.44	558500
30.08.2007 00:00	10.59	10.84	10.56	10.63	1700
31.08.2007 00:00	10.99	11.74	10.4	10.69	12200
03.09.2007 00:00	10.05	10.49	10.05	10.24	1000
04.09.2007 00:00	10.53	10.53	10.53	10.53	100
05.09.2007 00:00	10.49	10.49	10.38	10.49	15900
06.09.2007 00:00	10.52	10.69	10.52	10.6	200
07.09.2007 00:00	10.8	10.8	10.68	10.69	1000
10.09.2007 00:00	10.68	10.85	10.49	10.5	203700
11.09.2007 00:00	10.65	10.65	10.63	10.64	200
12.09.2007 00:00	10.59	10.59	9.59	10.09	189400
13.09.2007 00:00	10.68	10.68	10.09	10.4	180400
14.09.2007 00:00	10.49	10.49	10.49	10.49	500
17.09.2007 00:00	10.49	10.49	10.3	10.48	113000
18.09.2007 00:00	10.69	10.69	10.49	10.67	56500
19.09.2007 00:00	10.69	11.65	10.69	11.38	83300
20.09.2007 00:00	11.21	11.65	11.21	11.65	10500
21.09.2007 00:00	11.65	11.65	11.44	11.49	18400
24.09.2007 00:00	11.49	12.19	11.49	11.49	7600
25.09.2007 00:00	11.9	11.9	11.24	11.26	5700
26.09.2007 00:00	11.9	11.99	11.9	11.9	3400
27.09.2007 00:00	11.9	11.9	11.9	11.9	900
28.09.2007 00:00	11.9	11.97	11.49	11.71	72300
01.10.2007 00:00	11.72	12.49	11.72	12.49	70000
02.10.2007 00:00	11.69	12.59	11.59	11.94	4300
03.10.2007 00:00	11.99	12.48	11.99	11.99	30500
04.10.2007 00:00	12.42	13.49	12.3	13.4	31500
05.10.2007 00:00	13.97	14.8	13.68	14.34	47900
08.10.2007 00:00	14.99	16.01	14.99	16.01	15400
09.10.2007 00:00	15.99	15.99	14.42	15.15	9500
10.10.2007 00:00	15.8	15.99	13.81	14.67	25800
11.10.2007 00:00	15.19	15.8	13.55	15.18	5100
12.10.2007 00:00	15.4	17.55	15.4	17.48	103800
15.10.2007 00:00	17.6	18.490000000000002	17.35	17.98	52300
16.10.2007 00:00	17.89	18.39	17.44	17.6	13800
17.10.2007 00:00	18.35	18.73	16.51	16.65	63400
18.10.2007 00:00	16.990000000000002	17.05	15.99	16.73	62900
19.10.2007 00:00	16.3	16.69	16.3	16.3	86000
22.10.2007 00:00	14.99	16.240000000000002	14.52	15.280000000000001	16800
23.10.2007 00:00	16.23	16.3	15.65	15.94	3100
24.10.2007 00:00	15.49	15.65	15.49	15.63	900
25.10.2007 00:00	14.55	15.99	14.55	15.59	12400
26.10.2007 00:00	15.9	18.240000000000002	15.9	16.990000000000002	97200
29.10.2007 00:00	16.990000000000002	17.990000000000002	16.990000000000002	17.35	73600
30.10.2007 00:00	17.1	17.990000000000002	17.1	17.64	13700
