datetime	open	high	low	close	volume
07.03.2018 00:00	13.3	13.3	13.08	13.3	2
09.03.2018 00:00	13.24	13.56	13.24	13.46	16
12.03.2018 00:00	13.4	13.74	13.4	13.64	29
13.03.2018 00:00	13.58	13.74	13.58	13.58	55
14.03.2018 00:00	13.68	13.68	12.8	13.48	204
15.03.2018 00:00	13.3	13.3	12.98	13.24	1048
16.03.2018 00:00	13.3	13.3	12.14	12.8	723
19.03.2018 00:00	12.98	13.9	12.98	13.58	367
20.03.2018 00:00	13.74	13.74	13.4	13.46	346
21.03.2018 00:00	13.4	13.8	12.56	13.3	335
22.03.2018 00:00	13.46	13.46	12.56	12.84	1215
23.03.2018 00:00	12.9	12.9	12.46	12.8	220
26.03.2018 00:00	12.58	12.96	12.46	12.96	81
27.03.2018 00:00	12.74	12.96	12.58	12.74	284
28.03.2018 00:00	12.96	12.96	12.48	12.8	69
29.03.2018 00:00	12.58	12.74	12.18	12.74	276
30.03.2018 00:00	12.68	12.84	12.34	12.58	420
02.04.2018 00:00	12.24	12.68	12.18	12.58	38
03.04.2018 00:00	12.64	12.8	12.48	12.8	26
04.04.2018 00:00	12.48	12.98	12.48	12.9	143
05.04.2018 00:00	12.96	13.18	12.56	12.98	424
06.04.2018 00:00	12.98	12.98	12.48	12.8	110
09.04.2018 00:00	12.3	12.64	10.98	11.48	1383
10.04.2018 00:00	11.84	12.34	10.98	12.06	350
11.04.2018 00:00	11.68	12.34	11.68	11.8	404
12.04.2018 00:00	11.8	11.98	11.8	11.96	97
13.04.2018 00:00	11.98	12.06	10.98	11.64	743
16.04.2018 00:00	11.56	11.9	11.56	11.9	29
17.04.2018 00:00	11.4	12.14	11.4	12.08	59
18.04.2018 00:00	11.8	12.18	11.8	12.14	10
19.04.2018 00:00	12.14	12.24	11.98	12.14	203
20.04.2018 00:00	12.14	12.34	11.96	12.08	164
23.04.2018 00:00	11.98	11.98	11.3	11.98	6
24.04.2018 00:00	11.68	11.98	11.34	11.58	302
25.04.2018 00:00	11.96	12.06	11.48	11.9	74
26.04.2018 00:00	11.58	12.06	11.58	11.8	421
27.04.2018 00:00	11.96	12.06	11.4	11.8	363
28.04.2018 00:00	11.8	11.96	11.58	11.74	173
30.04.2018 00:00	11.84	12.14	11.74	11.74	33
02.05.2018 00:00	11.9	11.9	11.8	11.84	31
03.05.2018 00:00	11.84	11.9	11.8	11.9	64
04.05.2018 00:00	11.8	11.98	11.8	11.9	50
07.05.2018 00:00	12.06	12.24	11.8	12.08	120
08.05.2018 00:00	12.06	12.08	11.9	11.98	135
10.05.2018 00:00	12.08	12.08	11.4	11.8	145
11.05.2018 00:00	11.9	11.96	11.9	11.96	12
14.05.2018 00:00	11.9	11.9	11.48	11.48	111
15.05.2018 00:00	11.68	11.9	11.56	11.56	359
16.05.2018 00:00	11.68	11.9	11.56	11.84	217
17.05.2018 00:00	11.9	11.9	11.56	11.68	40
18.05.2018 00:00	11.56	11.68	11.06	11.58	69
21.05.2018 00:00	11.34	11.96	11.3	11.64	39
22.05.2018 00:00	11.46	11.68	11.14	11.48	76
23.05.2018 00:00	11.48	11.68	11.14	11.46	412
24.05.2018 00:00	11.56	11.56	11.3	11.3	139
25.05.2018 00:00	11.4	11.56	11.06	11.18	116
28.05.2018 00:00	11.4	11.46	11.4	11.46	22
29.05.2018 00:00	11.46	11.46	10.96	11.18	61
30.05.2018 00:00	10.98	11.08	10.8	11.08	563
31.05.2018 00:00	11.08	11.08	10.68	10.68	252
01.06.2018 00:00	10.74	10.98	10.74	10.8	149
04.06.2018 00:00	10.74	10.84	10.56	10.64	145
05.06.2018 00:00	10.74	10.74	10.64	10.64	10
06.06.2018 00:00	10.8	12.98	10.8	11.24	1007
07.06.2018 00:00	11.06	12.98	11.06	12.46	3541
08.06.2018 00:00	12.68	12.68	11.74	11.74	429
09.06.2018 00:00	11.74	11.98	11.74	11.9	184
11.06.2018 00:00	12.08	12.48	11.96	11.96	191
13.06.2018 00:00	12.18	12.3	11.48	11.68	417
14.06.2018 00:00	11.68	12.14	11.68	11.98	135
15.06.2018 00:00	12.18	12.18	11.74	11.84	90
18.06.2018 00:00	11.74	11.96	11.64	11.64	211
19.06.2018 00:00	11.56	11.68	11.14	11.64	382
20.06.2018 00:00	11.96	12.24	11.64	11.74	927
21.06.2018 00:00	11.74	11.74	11.68	11.68	54
22.06.2018 00:00	11.64	11.68	11.4	11.64	418
25.06.2018 00:00	11.64	11.64	11.56	11.58	112
26.06.2018 00:00	11.46	11.64	11.46	11.48	55
27.06.2018 00:00	11.4	11.58	11.3	11.58	240
28.06.2018 00:00	11.48	11.58	11.34	11.58	325
29.06.2018 00:00	11.48	11.58	11.24	11.58	163
02.07.2018 00:00	11.96	11.96	11.48	11.48	227
03.07.2018 00:00	11.58	11.74	11.58	11.68	124
04.07.2018 00:00	11.96	12.06	11.58	11.9	122
05.07.2018 00:00	12.06	12.06	11.74	11.74	28
06.07.2018 00:00	12.06	12.18	11.64	11.64	225
09.07.2018 00:00	11.68	12.06	11.68	11.98	65
10.07.2018 00:00	11.96	11.98	11.8	11.98	94
11.07.2018 00:00	11.98	12.3	11.8	11.84	115
12.07.2018 00:00	11.84	11.9	11.84	11.9	40
13.07.2018 00:00	11.98	12.08	11.64	11.9	228
16.07.2018 00:00	11.74	12.46	11.74	12.3	349
17.07.2018 00:00	12.68	12.68	12.08	12.3	92
18.07.2018 00:00	12.34	12.34	12.08	12.14	98
19.07.2018 00:00	12.4	12.48	12.14	12.18	876
20.07.2018 00:00	12.06	12.34	12.06	12.34	96
23.07.2018 00:00	12.64	12.64	12.14	12.14	49
24.07.2018 00:00	12.3	12.3	12.3	12.3	11
25.07.2018 00:00	12.4	12.58	12.18	12.56	48
26.07.2018 00:00	12.48	12.48	12.48	12.48	18
30.07.2018 00:00	12.24	12.46	12.24	12.46	21
31.07.2018 00:00	12.3	12.56	12.3	12.48	50
01.08.2018 00:00	12.48	12.64	12.48	12.48	155
02.08.2018 00:00	12.58	12.58	11.96	11.98	944
03.08.2018 00:00	11.98	12.3	11.74	11.98	212
06.08.2018 00:00	12.18	12.18	11.34	11.68	995
07.08.2018 00:00	11.68	11.96	11.68	11.68	412
08.08.2018 00:00	11.84	11.84	11.46	11.46	97
09.08.2018 00:00	11.46	11.46	10.96	11.34	353
10.08.2018 00:00	11.68	11.74	10.96	11.24	131
13.08.2018 00:00	11.06	11.3	10.96	11.18	224
14.08.2018 00:00	12.3	14.8	11.68	12.48	4161
15.08.2018 00:00	12.9	12.9	11.8	12.3	400
16.08.2018 00:00	12.74	12.74	11.96	12.14	98
17.08.2018 00:00	11.9	12.24	11.8	12.24	70
20.08.2018 00:00	11.96	11.98	11.84	11.98	7
21.08.2018 00:00	11.84	12.3	11.84	12.18	38
22.08.2018 00:00	12.3	12.3	11.96	11.96	34
23.08.2018 00:00	13.14	14.46	12.74	13.18	6341
24.08.2018 00:00	13.24	13.48	12.68	13.08	383
27.08.2018 00:00	13.14	13.46	12.56	12.68	719
28.08.2018 00:00	12.96	12.98	12.68	12.96	179
29.08.2018 00:00	12.84	13.18	12.84	12.9	229
30.08.2018 00:00	11.98	13.14	11.98	12.96	634
31.08.2018 00:00	12.84	12.98	12.8	12.8	64
03.09.2018 00:00	12.8	13.24	12.8	12.9	93
04.09.2018 00:00	13.18	13.18	12.74	12.84	194
05.09.2018 00:00	12.98	13.08	12.68	13.06	157
06.09.2018 00:00	12.68	12.96	12.3	12.3	1232
07.09.2018 00:00	12.56	12.58	12.24	12.46	286
10.09.2018 00:00	12.46	12.8	11.98	12.24	687
11.09.2018 00:00	12.14	12.46	11.98	12.18	189
12.09.2018 00:00	12.14	12.58	12.14	12.18	132
13.09.2018 00:00	12.08	12.8	12.08	12.74	342
14.09.2018 00:00	12.48	12.9	12.48	12.56	416
