datetime	open	high	low	close	volume
04.09.2009 00:00	15.4	15.4	15.4	15.4	0
07.09.2009 00:00	15.4	15.4	15.4	15.4	0
08.09.2009 00:00	15.4	15.4	15.4	15.4	0
09.09.2009 00:00	15.4	15.4	15.4	15.4	0
10.09.2009 00:00	21.38	21.5	21.38	21.5	0
11.09.2009 00:00	21.6	21.6	13.0	19.98	0
14.09.2009 00:00	16.98	21.2	16.12	21.16	0
15.09.2009 00:00	17.98	23.46	17.98	19.14	0
16.09.2009 00:00	19.14	19.14	19.14	19.14	0
17.09.2009 00:00	22.46	22.46	21.46	21.46	0
18.09.2009 00:00	19.98	20.96	19.98	20.96	0
21.09.2009 00:00	20.96	20.96	20.96	20.96	0
22.09.2009 00:00	20.96	20.96	20.96	20.96	0
23.09.2009 00:00	20.48	20.48	20.48	20.48	0
24.09.2009 00:00	16.68	17.98	15.98	16.48	0
25.09.2009 00:00	16.98	16.98	15.02	16.22	0
28.09.2009 00:00	16.62	16.62	16.62	16.62	0
29.09.2009 00:00	16.98	16.98	16.42	16.54	0
30.09.2009 00:00	15.96	16.94	14.52	15.38	0
01.10.2009 00:00	15.06	16.48	14.96	16.46	0
02.10.2009 00:00	16.42	19.8	15.02	16.16	0
05.10.2009 00:00	16.06	17.88	15.68	15.98	0
06.10.2009 00:00	15.98	16.98	15.24	15.72	0
07.10.2009 00:00	15.46	17.98	15.0	15.98	0
08.10.2009 00:00	15.98	16.98	15.8	15.98	0
09.10.2009 00:00	16.52	16.56	15.4	15.4	0
12.10.2009 00:00	15.98	15.98	15.0	15.98	0
13.10.2009 00:00	15.98	16.68	15.1	15.66	0
14.10.2009 00:00	15.98	15.98	15.6	15.98	0
15.10.2009 00:00	15.98	16.98	15.64	16.2	0
16.10.2009 00:00	15.98	17.88	15.98	16.98	0
19.10.2009 00:00	17.88	17.88	16.42	16.42	0
20.10.2009 00:00	17.46	18.48	17.46	18.36	0
21.10.2009 00:00	18.38	18.86	16.54	17.98	0
22.10.2009 00:00	17.8	24.22	17.8	18.64	0
23.10.2009 00:00	21.46	21.46	18.14	19.26	0
26.10.2009 00:00	18.48	19.78	18.48	19.16	0
27.10.2009 00:00	19.14	19.96	18.72	18.86	0
28.10.2009 00:00	19.14	19.14	17.78	18.22	0
29.10.2009 00:00	19.02	19.02	17.98	17.98	0
30.10.2009 00:00	17.98	17.98	16.78	17.98	0
02.11.2009 00:00	17.1	17.92	17.1	17.92	0
03.11.2009 00:00	17.92	17.92	17.92	17.92	0
05.11.2009 00:00	16.78	17.92	15.8	15.98	0
06.11.2009 00:00	15.98	16.48	15.98	16.04	0
09.11.2009 00:00	15.98	15.98	15.8	15.98	0
10.11.2009 00:00	15.98	15.98	15.22	15.64	0
11.11.2009 00:00	15.98	20.98	15.98	20.98	0
12.11.2009 00:00	20.0	20.02	18.92	18.96	0
13.11.2009 00:00	19.48	19.48	16.98	17.12	0
16.11.2009 00:00	17.7	18.86	17.68	18.18	0
17.11.2009 00:00	18.42	18.42	17.76	18.36	0
18.11.2009 00:00	18.48	18.48	17.72	17.78	0
19.11.2009 00:00	18.42	19.48	18.42	18.88	0
20.11.2009 00:00	18.82	19.3	17.8	18.98	0
23.11.2009 00:00	17.8	17.8	17.12	17.36	0
24.11.2009 00:00	18.44	21.8	18.0	19.88	0
25.11.2009 00:00	19.88	19.88	19.88	19.88	0
26.11.2009 00:00	18.12	18.98	16.1	16.6	0
27.11.2009 00:00	16.6	17.82	16.12	16.32	0
30.11.2009 00:00	16.98	17.14	16.98	17.12	0
01.12.2009 00:00	17.48	17.7	16.66	17.38	0
02.12.2009 00:00	17.36	17.38	16.98	17.12	0
03.12.2009 00:00	16.92	17.18	16.76	16.98	0
04.12.2009 00:00	16.98	16.98	16.98	16.98	0
07.12.2009 00:00	16.44	16.98	16.44	16.94	0
08.12.2009 00:00	16.94	16.94	16.94	16.94	0
09.12.2009 00:00	17.16	17.16	16.2	16.2	0
10.12.2009 00:00	16.22	18.98	16.2	18.5	0
11.12.2009 00:00	19.48	19.8	18.0	18.46	0
14.12.2009 00:00	17.56	18.38	17.56	18.38	0
15.12.2009 00:00	18.38	18.48	18.0	18.46	0
16.12.2009 00:00	18.98	19.68	18.98	19.38	0
