datetime	open	high	low	close	volume
13.12.2007 00:00	3.019	3.019	2.741	2.786	1729200
14.12.2007 00:00	2.759	2.858	2.759	2.778	886600
17.12.2007 00:00	2.799	2.826	2.759	2.791	914500
18.12.2007 00:00	2.7800000000000002	2.85	2.749	2.834	1780100
19.12.2007 00:00	2.85	2.87	2.8120000000000003	2.825	1744700
20.12.2007 00:00	2.835	2.835	2.769	2.801	877300
21.12.2007 00:00	2.799	2.799	2.769	2.783	328300
24.12.2007 00:00	2.7720000000000002	2.7720000000000002	2.749	2.761	1082200
25.12.2007 00:00	2.749	2.754	2.74	2.745	1682500
26.12.2007 00:00	2.74	2.753	2.6	2.725	1655000
27.12.2007 00:00	2.753	2.77	2.705	2.729	1159700
28.12.2007 00:00	2.721	2.749	2.7	2.706	1249000
09.01.2008 00:00	2.7	2.745	2.68	2.68	623200
10.01.2008 00:00	2.681	2.773	2.68	2.769	2624400
11.01.2008 00:00	2.749	2.7800000000000002	2.733	2.7640000000000002	1629200
14.01.2008 00:00	2.741	2.999	2.717	2.871	2316300
15.01.2008 00:00	2.87	3.088	2.85	2.995	10333200
16.01.2008 00:00	2.916	3.049	2.825	2.998	6833800
17.01.2008 00:00	3.047	3.047	2.9050000000000002	2.975	3034300
18.01.2008 00:00	2.969	2.969	2.899	2.9370000000000003	371900
21.01.2008 00:00	2.903	2.9370000000000003	2.799	2.817	2223400
22.01.2008 00:00	2.7800000000000002	2.83	2.569	2.725	4303700
23.01.2008 00:00	2.7	2.798	2.609	2.609	1443600
24.01.2008 00:00	2.64	2.759	2.64	2.7	127400
25.01.2008 00:00	2.758	2.898	2.71	2.819	888800
28.01.2008 00:00	2.749	2.769	2.64	2.66	518200
29.01.2008 00:00	2.777	2.777	2.641	2.641	2629800
30.01.2008 00:00	2.64	2.684	2.609	2.616	1171400
31.01.2008 00:00	2.62	2.665	2.503	2.531	584600
01.02.2008 00:00	2.789	2.789	2.504	2.5540000000000003	2766300
04.02.2008 00:00	2.629	2.74	2.572	2.575	238000
05.02.2008 00:00	2.551	2.64	2.499	2.592	694700
06.02.2008 00:00	2.499	2.578	2.499	2.549	191700
07.02.2008 00:00	2.523	2.6	2.454	2.456	796700
08.02.2008 00:00	2.562	2.562	2.451	2.487	408800
11.02.2008 00:00	2.406	2.495	2.406	2.459	660300
12.02.2008 00:00	2.479	2.499	2.399	2.451	688600
13.02.2008 00:00	2.495	2.495	2.4	2.469	648700
14.02.2008 00:00	2.649	2.649	2.462	2.524	1362200
15.02.2008 00:00	2.724	2.724	2.4	2.422	1939200
18.02.2008 00:00	2.469	2.49	2.439	2.469	436400
19.02.2008 00:00	2.456	2.539	2.439	2.491	1845000
20.02.2008 00:00	2.499	2.528	2.41	2.434	1094000
21.02.2008 00:00	2.467	2.575	2.467	2.541	4410100
22.02.2008 00:00	2.499	2.535	2.49	2.509	775400
25.02.2008 00:00	2.509	2.535	2.49	2.509	1392200
