datetime	open	high	low	close	volume
07.03.2018 00:00	13.64	13.66	13.64	13.64	699
09.03.2018 00:00	13.64	13.88	13.52	13.88	6237
12.03.2018 00:00	13.92	13.92	13.64	13.66	8207
13.03.2018 00:00	13.6	13.8	13.48	13.48	10879
14.03.2018 00:00	13.5	13.96	13.48	13.72	9055
15.03.2018 00:00	13.74	13.98	13.72	13.9	4431
16.03.2018 00:00	13.9	13.98	13.72	13.72	4008
19.03.2018 00:00	13.68	13.68	13.46	13.52	7398
20.03.2018 00:00	13.5	13.66	13.32	13.32	5261
21.03.2018 00:00	13.34	13.64	13.32	13.64	7791
22.03.2018 00:00	13.64	13.64	13.32	13.58	9531
23.03.2018 00:00	13.58	13.6	13.32	13.56	11939
26.03.2018 00:00	13.46	13.68	13.46	13.48	5368
27.03.2018 00:00	13.46	13.66	13.08	13.56	15572
28.03.2018 00:00	13.56	13.64	13.48	13.48	11549
29.03.2018 00:00	13.46	13.96	13.14	13.4	14949
30.03.2018 00:00	13.38	13.96	13.3	13.68	23297
02.04.2018 00:00	13.72	13.72	13.6	13.64	2486
03.04.2018 00:00	13.64	13.64	13.48	13.52	4255
04.04.2018 00:00	13.48	14.06	13.06	13.22	11841
05.04.2018 00:00	13.24	13.92	13.14	13.92	20769
06.04.2018 00:00	13.92	13.92	13.52	13.52	6097
09.04.2018 00:00	13.42	13.42	13.08	13.08	9214
10.04.2018 00:00	13.14	13.56	12.96	13.0	10300
11.04.2018 00:00	13.0	13.48	12.98	13.48	14304
12.04.2018 00:00	13.48	13.48	13.14	13.16	15813
13.04.2018 00:00	13.1	13.48	12.98	13.48	20251
16.04.2018 00:00	13.42	13.52	13.34	13.42	4631
17.04.2018 00:00	13.32	13.48	13.26	13.48	3070
18.04.2018 00:00	13.48	13.5	13.4	13.42	2661
19.04.2018 00:00	13.46	13.48	13.34	13.34	2505
20.04.2018 00:00	13.34	13.38	13.06	13.06	4676
23.04.2018 00:00	13.06	13.22	13.06	13.22	875
24.04.2018 00:00	13.14	13.32	13.0	13.24	4470
25.04.2018 00:00	13.22	13.48	13.16	13.38	5433
26.04.2018 00:00	13.4	13.48	13.26	13.34	4297
27.04.2018 00:00	13.34	13.46	13.34	13.4	646
28.04.2018 00:00	13.4	13.4	13.24	13.4	2940
30.04.2018 00:00	13.58	13.72	13.5	13.56	1689
03.05.2018 00:00	13.6	13.6	13.4	13.4	2474
04.05.2018 00:00	13.38	13.74	13.34	13.48	8546
07.05.2018 00:00	13.68	13.74	13.46	13.46	2613
08.05.2018 00:00	13.46	13.46	13.24	13.38	2142
10.05.2018 00:00	13.32	13.4	13.32	13.34	1213
11.05.2018 00:00	13.3	13.32	13.06	13.1	3316
14.05.2018 00:00	12.98	13.4	12.96	13.4	3260
15.05.2018 00:00	13.32	13.48	13.18	13.18	3909
16.05.2018 00:00	13.16	13.16	12.98	13.08	4608
17.05.2018 00:00	13.08	13.08	12.92	12.98	2063
18.05.2018 00:00	12.98	13.18	12.9	12.96	3355
21.05.2018 00:00	12.9	13.0	12.9	12.96	539
22.05.2018 00:00	12.92	13.02	12.82	12.96	4699
23.05.2018 00:00	12.98	13.24	12.9	13.08	3010
24.05.2018 00:00	13.06	13.18	12.82	12.9	6367
25.05.2018 00:00	12.9	12.9	12.64	12.66	2476
28.05.2018 00:00	12.64	12.64	12.56	12.58	835
29.05.2018 00:00	12.56	12.6	12.22	12.6	4490
30.05.2018 00:00	12.56	12.72	12.52	12.64	2120
31.05.2018 00:00	12.6	12.64	12.14	12.38	3634
01.06.2018 00:00	12.38	12.4	12.0	12.06	2691
04.06.2018 00:00	12.1	12.48	12.1	12.4	2195
05.06.2018 00:00	12.4	12.4	11.9	12.08	6385
06.06.2018 00:00	12.1	12.32	12.08	12.14	5128
07.06.2018 00:00	12.1	12.24	12.02	12.06	3735
08.06.2018 00:00	12.02	12.32	12.02	12.1	3577
09.06.2018 00:00	12.14	12.14	11.98	12.06	1581
11.06.2018 00:00	12.06	12.06	11.88	12.06	2828
13.06.2018 00:00	12.0	12.06	11.8	11.98	2672
14.06.2018 00:00	11.98	12.3	11.9	12.14	2144
15.06.2018 00:00	12.1	12.3	11.68	12.14	3678
18.06.2018 00:00	12.22	12.24	11.9	11.96	3170
19.06.2018 00:00	11.98	12.06	11.74	11.92	2662
20.06.2018 00:00	11.98	12.3	11.96	12.18	2283
21.06.2018 00:00	12.08	12.08	11.84	11.98	1952
22.06.2018 00:00	12.02	12.3	11.96	12.06	2099
25.06.2018 00:00	12.06	12.08	11.68	11.88	1797
26.06.2018 00:00	11.8	11.92	11.58	11.88	1393
27.06.2018 00:00	11.88	11.98	11.72	11.82	1196
28.06.2018 00:00	11.82	11.9	11.68	11.82	868
29.06.2018 00:00	11.9	11.98	11.72	11.72	526
02.07.2018 00:00	11.82	11.82	11.66	11.72	192
03.07.2018 00:00	11.76	11.8	11.4	11.58	679
04.07.2018 00:00	11.74	11.76	11.26	11.58	661
05.07.2018 00:00	11.68	12.08	11.64	11.98	4409
06.07.2018 00:00	11.98	11.98	11.5	11.64	1339
09.07.2018 00:00	11.92	11.92	11.18	11.46	997
10.07.2018 00:00	11.58	11.98	11.32	11.8	960
11.07.2018 00:00	11.74	11.96	11.74	11.9	378
12.07.2018 00:00	11.9	11.96	11.18	11.56	1490
13.07.2018 00:00	11.74	11.74	11.22	11.56	3213
16.07.2018 00:00	11.5	11.98	11.32	11.64	1325
17.07.2018 00:00	11.68	11.68	11.24	11.42	2213
18.07.2018 00:00	11.8	12.0	11.42	11.98	1522
19.07.2018 00:00	12.08	12.08	11.32	11.64	1265
20.07.2018 00:00	11.92	12.08	11.64	11.72	1126
23.07.2018 00:00	11.6	11.74	11.14	11.38	5776
24.07.2018 00:00	11.46	11.9	11.46	11.56	871
25.07.2018 00:00	11.56	11.56	10.98	11.18	2411
26.07.2018 00:00	11.32	11.68	11.32	11.46	1292
27.07.2018 00:00	11.48	11.82	11.48	11.58	925
30.07.2018 00:00	11.56	11.74	11.56	11.74	608
31.07.2018 00:00	11.74	12.06	11.74	11.82	722
01.08.2018 00:00	11.8	11.98	11.56	11.56	568
02.08.2018 00:00	11.42	11.56	10.98	11.34	1687
03.08.2018 00:00	11.64	11.64	10.98	11.32	575
06.08.2018 00:00	11.42	11.74	11.42	11.58	779
07.08.2018 00:00	11.56	11.88	11.52	11.6	607
08.08.2018 00:00	11.64	11.82	11.64	11.74	3038
09.08.2018 00:00	11.68	11.98	11.64	11.76	1214
10.08.2018 00:00	11.72	11.84	11.38	11.38	355
13.08.2018 00:00	11.38	11.8	11.1	11.42	873
14.08.2018 00:00	11.38	11.76	11.38	11.48	745
15.08.2018 00:00	11.46	11.66	11.42	11.42	332
16.08.2018 00:00	11.48	11.48	11.22	11.38	1291
17.08.2018 00:00	11.4	11.9	11.22	11.64	1486
20.08.2018 00:00	11.66	11.9	11.58	11.66	1020
21.08.2018 00:00	11.58	11.9	11.56	11.76	7619
22.08.2018 00:00	11.72	11.76	11.64	11.68	5779
23.08.2018 00:00	11.58	11.68	11.48	11.52	1618
24.08.2018 00:00	11.4	11.42	11.26	11.42	225
27.08.2018 00:00	11.32	11.46	11.14	11.4	1710
28.08.2018 00:00	11.42	11.52	11.3	11.48	694
29.08.2018 00:00	11.48	11.8	11.48	11.64	1161
30.08.2018 00:00	11.48	11.98	10.98	11.64	1595
31.08.2018 00:00	11.64	11.8	11.4	11.4	551
03.09.2018 00:00	11.38	11.56	11.1	11.56	1728
04.09.2018 00:00	11.5	11.8	11.1	11.4	1142
05.09.2018 00:00	11.48	11.8	11.22	11.24	2483
06.09.2018 00:00	11.38	11.4	11.02	11.02	280
07.09.2018 00:00	11.22	11.38	10.92	11.14	622
10.09.2018 00:00	11.22	11.26	10.82	11.14	9174
11.09.2018 00:00	11.18	11.18	10.98	11.06	445
12.09.2018 00:00	11.16	11.16	11.06	11.06	1948
13.09.2018 00:00	11.14	11.32	10.98	10.98	5489
14.09.2018 00:00	11.08	11.38	10.8	10.88	19739
17.09.2018 00:00	10.9	10.98	10.82	10.82	550
