datetime	open	high	low	close	volume
28.08.2008 00:00	25.490000000000002	25.490000000000002	25.490000000000002	25.490000000000002	1000
29.08.2008 00:00	24.990000000000002	24.990000000000002	24.990000000000002	24.990000000000002	3000
05.09.2008 00:00	24.19	24.19	23.990000000000002	24.19	31000
22.09.2008 00:00	23.990000000000002	23.990000000000002	23.990000000000002	23.990000000000002	20000
07.10.2008 00:00	23.990000000000002	23.990000000000002	23.990000000000002	23.990000000000002	3000
09.10.2008 00:00	23.8	23.8	23.8	23.8	20000
13.10.2008 00:00	23.01	23.01	22.990000000000002	23.01	200000
16.10.2008 00:00	22.990000000000002	22.990000000000002	22.990000000000002	22.990000000000002	250000
28.10.2008 00:00	19.990000000000002	19.990000000000002	15.0	15.0	5000
29.10.2008 00:00	15.0	15.0	15.0	15.0	1000
30.10.2008 00:00	14.99	20.990000000000002	13.57	13.57	418000
31.10.2008 00:00	13.74	13.74	13.74	13.74	6000
01.11.2008 00:00	14.99	14.99	13.74	14.57	3000
05.11.2008 00:00	13.32	13.32	13.32	13.32	2000
10.11.2008 00:00	13.32	13.32	13.32	13.32	20000
13.11.2008 00:00	13.32	13.32	13.32	13.32	1000
27.11.2008 00:00	13.32	13.32	13.32	13.32	1000
28.11.2008 00:00	13.32	13.32	13.32	13.32	1000
03.12.2008 00:00	10.99	10.99	7.99	7.99	14000
11.12.2008 00:00	8.99	8.99	8.99	8.99	8000
17.12.2008 00:00	8.94	11.99	5.99	11.49	3197000
18.12.2008 00:00	11.99	12.09	11.99	12.05	444000
24.12.2008 00:00	9.99	9.99	9.99	9.99	8000
25.12.2008 00:00	13.98	13.98	10.98	10.98	11000
26.12.2008 00:00	6.99	6.99	6.59	6.68	6000
29.12.2008 00:00	9.34	9.36	9.34	9.36	701000
30.12.2008 00:00	8.99	12.99	6.79	12.27	1401000
15.01.2009 00:00	8.24	8.24	7.99	7.99	3000
16.01.2009 00:00	7.99	7.99	7.99	7.99	1000
19.01.2009 00:00	7.99	7.99	7.99	7.99	10000
22.01.2009 00:00	7.99	7.99	7.99	7.99	18000
26.01.2009 00:00	6.99	7.99	6.99	7.49	368000
28.01.2009 00:00	6.49	6.49	4.99	5.2	18000
30.01.2009 00:00	6.98	7.24	6.98	6.99	141000
03.02.2009 00:00	6.99	6.99	6.99	6.99	1000
04.02.2009 00:00	6.49	6.49	6.49	6.49	1000
10.02.2009 00:00	7.88	7.99	7.88	7.99	31000
12.02.2009 00:00	6.54	7.99	6.49	7.99	31000
13.02.2009 00:00	7.98	7.99	7.98	7.99	24000
16.02.2009 00:00	6.57	6.57	5.9	5.9	5032000
17.02.2009 00:00	6.92	6.92	6.74	6.74	10000
18.02.2009 00:00	6.92	6.92	6.92	6.92	2000
24.02.2009 00:00	6.99	6.99	6.99	6.99	1000
25.02.2009 00:00	7.49	7.49	7.49	7.49	1000
26.02.2009 00:00	7.29	8.24	7.29	8.24	5016000
02.03.2009 00:00	7.15	7.49	7.15	7.49	7000
03.03.2009 00:00	7.15	7.15	5.15	5.91	5000
04.03.2009 00:00	6.54	6.54	6.54	6.54	8000
13.03.2009 00:00	6.59	6.59	6.59	6.59	50000
16.03.2009 00:00	6.49	6.99	6.49	6.99	6000
18.03.2009 00:00	6.74	6.74	6.74	6.74	100000
19.03.2009 00:00	6.99	6.99	6.4	6.4	5002000
23.03.2009 00:00	6.49	6.99	6.49	6.99	8000
24.03.2009 00:00	7.0	7.0	6.29	6.45	7509000
26.03.2009 00:00	7.09	7.09	7.09	7.09	3000
27.03.2009 00:00	7.2	7.2	6.49	6.5	180000
30.03.2009 00:00	6.99	8.99	6.99	8.9	12897000
31.03.2009 00:00	7.9	8.99	5.49	6.83	255000
01.04.2009 00:00	6.95	8.9	6.49	6.92	10000
03.04.2009 00:00	6.79	6.79	6.79	6.79	1000
06.04.2009 00:00	7.7	7.7	7.7	7.7	1000
07.04.2009 00:00	7.44	7.45	7.44	7.45	5000
10.04.2009 00:00	7.49	7.49	7.49	7.49	120000
13.04.2009 00:00	6.5	6.9	6.49	6.9	10000
14.04.2009 00:00	7.59	9.63	6.99	9.06	34000
15.04.2009 00:00	8.99	8.99	8.99	8.99	2000
16.04.2009 00:00	7.11	7.99	7.11	7.99	89000
17.04.2009 00:00	7.99	7.99	7.15	7.99	65000
20.04.2009 00:00	7.04	7.88	6.66	7.82	32000
21.04.2009 00:00	6.79	7.49	6.5600000000000005	7.49	24000
22.04.2009 00:00	7.01	7.59	6.59	7.59	41000
23.04.2009 00:00	7.57	7.99	7.49	7.53	86000
24.04.2009 00:00	7.95	8.78	7.57	8.78	77000
27.04.2009 00:00	7.42	8.49	7.42	8.49	3000
28.04.2009 00:00	7.24	7.24	7.09	7.2	20000
29.04.2009 00:00	7.5600000000000005	8.49	7.5600000000000005	7.73	2037000
30.04.2009 00:00	8.43	8.43	7.71	7.84	288000
04.05.2009 00:00	7.7	8.49	7.09	7.95	245000
06.05.2009 00:00	7.4	8.11	7.13	7.99	29000
07.05.2009 00:00	7.49	8.16	6.99	7.36	208000
08.05.2009 00:00	7.3	8.69	7.24	7.4	563000
12.05.2009 00:00	7.68	7.99	7.68	7.95	518000
13.05.2009 00:00	7.99	8.48	7.4	7.99	1463000
14.05.2009 00:00	7.95	7.95	6.99	7.32	556000
15.05.2009 00:00	7.4	8.09	7.4	8.01	4069000
18.05.2009 00:00	8.27	10.99	8.05	10.46	20521000
19.05.2009 00:00	10.3	11.69	9.1	9.33	12582000
20.05.2009 00:00	9.38	9.81	8.94	9.5	3547000
21.05.2009 00:00	9.4	9.76	8.51	8.82	2086000
22.05.2009 00:00	8.94	9.49	8.63	8.99	1399000
25.05.2009 00:00	9.4	9.77	8.8	9.69	1956000
26.05.2009 00:00	9.69	9.84	8.77	9.15	1478000
27.05.2009 00:00	9.07	9.28	7.99	8.26	17673000
28.05.2009 00:00	8.19	8.35	7.92	8.06	10137000
29.05.2009 00:00	8.88	8.88	8.02	8.24	13167000
01.06.2009 00:00	8.19	8.67	7.99	8.49	20527000
02.06.2009 00:00	8.46	8.63	8.0	8.44	5077000
03.06.2009 00:00	8.34	8.49	8.05	8.15	1921000
04.06.2009 00:00	8.05	10.48	8.05	9.65	12663000
05.06.2009 00:00	10.26	11.4	9.08	10.66	10146000
08.06.2009 00:00	10.99	11.58	9.99	11.24	6812000
09.06.2009 00:00	11.47	11.99	10.99	11.8	3833000
10.06.2009 00:00	11.86	12.09	11.49	11.84	7892000
11.06.2009 00:00	12.24	12.49	11.69	11.98	15719000
15.06.2009 00:00	11.75	11.99	11.44	11.49	7131000
16.06.2009 00:00	10.24	11.9	10.24	11.65	3258000
17.06.2009 00:00	11.83	11.83	10.9	10.91	202000
18.06.2009 00:00	11.48	11.48	9.99	10.38	2805000
19.06.2009 00:00	10.39	11.89	10.39	11.27	688000
22.06.2009 00:00	11.1	11.3	10.0	10.49	545000
23.06.2009 00:00	10.09	11.49	9.9	11.08	3916000
24.06.2009 00:00	10.55	11.59	10.55	11.49	1852000
25.06.2009 00:00	11.49	11.99	11.19	11.4	14693000
26.06.2009 00:00	10.33	11.49	9.15	11.07	2442000
29.06.2009 00:00	11.57	11.57	11.43	11.44	19000
30.06.2009 00:00	10.71	11.47	10.71	11.17	146000
01.07.2009 00:00	11.32	11.32	10.65	10.94	38000
02.07.2009 00:00	11.64	11.64	10.65	10.77	114000
03.07.2009 00:00	10.9	10.9	10.4	10.4	327000
06.07.2009 00:00	10.28	10.28	9.07	9.71	303000
07.07.2009 00:00	10.09	10.18	9.74	9.74	69000
08.07.2009 00:00	9.09	9.99	9.09	9.89	39000
09.07.2009 00:00	9.0	10.99	9.0	9.69	968000
10.07.2009 00:00	9.26	9.26	9.24	9.24	210000
13.07.2009 00:00	9.23	9.65	9.06	9.46	1046000
14.07.2009 00:00	9.99	9.99	8.99	9.05	383000
15.07.2009 00:00	8.74	9.46	8.01	9.4	331000
16.07.2009 00:00	9.43	9.46	8.8	9.0	98000
17.07.2009 00:00	9.28	9.44	8.99	9.28	481000
20.07.2009 00:00	9.46	9.46	8.8	9.13	357000
21.07.2009 00:00	8.75	9.11	8.6	8.68	558000
22.07.2009 00:00	8.68	9.8	8.59	9.39	1833000
23.07.2009 00:00	8.99	9.3	8.82	9.18	5197000
24.07.2009 00:00	9.3	9.8	8.99	9.59	1765000
27.07.2009 00:00	9.59	10.34	9.59	10.02	2827000
28.07.2009 00:00	10.3	10.49	9.9	9.9	2098000
29.07.2009 00:00	9.32	10.9	9.32	10.49	5206000
30.07.2009 00:00	10.49	11.19	10.44	10.59	16248000
31.07.2009 00:00	10.98	11.8	10.3	11.19	144534000
03.08.2009 00:00	11.82	11.83	10.84	11.17	32184000
04.08.2009 00:00	10.57	11.4	10.57	10.78	40135000
05.08.2009 00:00	11.15	11.5	10.57	10.89	40962000
06.08.2009 00:00	10.5	11.4	10.5	10.65	10427000
07.08.2009 00:00	10.49	11.15	10.49	10.99	1006000
10.08.2009 00:00	10.8	10.94	10.6	10.69	835000
11.08.2009 00:00	10.49	10.83	9.51	9.8	606000
12.08.2009 00:00	10.19	10.3	10.19	10.24	198000
13.08.2009 00:00	10.25	10.49	9.49	10.19	3240000
14.08.2009 00:00	10.19	10.19	9.99	9.99	1766000
17.08.2009 00:00	9.57	10.09	9.49	10.01	4310000
18.08.2009 00:00	10.19	10.19	10.0	10.0	700000
19.08.2009 00:00	9.51	9.51	9.51	9.51	10000
20.08.2009 00:00	10.48	10.49	9.82	10.07	2205000
21.08.2009 00:00	9.99	10.49	9.99	10.24	556000
24.08.2009 00:00	9.99	10.15	9.88	10.14	260000
25.08.2009 00:00	10.05	10.07	9.99	10.01	107000
26.08.2009 00:00	10.06	10.06	9.69	9.69	33000
27.08.2009 00:00	9.8	10.18	9.8	9.98	450000
28.08.2009 00:00	9.49	10.19	9.49	9.97	1260000
31.08.2009 00:00	10.69	10.8	9.71	9.99	89848000
01.09.2009 00:00	9.99	11.69	9.99	11.01	90523000
02.09.2009 00:00	10.09	10.88	9.74	10.25	6155000
03.09.2009 00:00	10.4	10.68	10.13	10.17	1408000
04.09.2009 00:00	9.69	10.48	9.69	10.08	740000
07.09.2009 00:00	10.35	10.35	9.94	10.15	616000
08.09.2009 00:00	10.03	10.19	9.99	10.18	11622000
09.09.2009 00:00	10.05	10.19	9.94	10.19	901000
10.09.2009 00:00	10.09	11.09	9.99	10.82	4382000
11.09.2009 00:00	10.92	12.26	10.92	11.61	6457000
14.09.2009 00:00	11.59	12.24	11.19	11.99	4150000
15.09.2009 00:00	12.13	12.13	11.34	11.49	3717000
16.09.2009 00:00	11.98	11.98	11.15	11.42	650000
17.09.2009 00:00	11.92	11.92	10.58	11.06	679000
18.09.2009 00:00	11.0	12.08	10.99	11.83	5308000
21.09.2009 00:00	11.5	11.85	11.06	11.56	33000
22.09.2009 00:00	11.4	11.53	11.3	11.53	155000
23.09.2009 00:00	11.21	11.8	11.21	11.6	648000
24.09.2009 00:00	11.94	11.94	11.46	11.46	2039000
25.09.2009 00:00	11.69	11.69	11.31	11.49	1328000
28.09.2009 00:00	11.4	11.61	11.4	11.6	285000
29.09.2009 00:00	11.47	11.69	11.3	11.49	398000
30.09.2009 00:00	11.09	11.66	11.09	11.39	669000
01.10.2009 00:00	11.21	11.49	11.21	11.49	37000
02.10.2009 00:00	11.02	11.48	10.99	11.25	1405000
05.10.2009 00:00	10.81	11.26	10.81	11.26	146000
06.10.2009 00:00	11.36	11.67	11.36	11.53	94000
07.10.2009 00:00	11.51	11.9	11.34	11.6	5362000
08.10.2009 00:00	11.24	11.86	11.24	11.4	103000
09.10.2009 00:00	11.94	11.94	11.46	11.67	2863000
12.10.2009 00:00	11.89	11.89	11.55	11.69	663000
13.10.2009 00:00	11.69	11.69	11.25	11.49	20177000
14.10.2009 00:00	11.8	11.8	11.33	11.68	29000
15.10.2009 00:00	11.68	11.68	11.34	11.48	215000
16.10.2009 00:00	11.68	11.68	10.8	10.85	7100000
19.10.2009 00:00	10.99	10.99	10.68	10.99	33379000
20.10.2009 00:00	10.99	10.99	10.83	10.99	192000
21.10.2009 00:00	10.83	10.99	10.74	10.99	45000
22.10.2009 00:00	10.98	10.99	10.49	10.68	113235000
23.10.2009 00:00	10.69	10.69	10.41	10.49	224000
26.10.2009 00:00	10.68	10.69	10.49	10.49	837000
27.10.2009 00:00	10.26	10.38	10.24	10.38	125000
28.10.2009 00:00	10.39	10.39	9.91	9.99	460000
29.10.2009 00:00	9.77	9.99	8.49	9.85	905000
30.10.2009 00:00	9.9	9.9	9.49	9.59	965000
02.11.2009 00:00	9.57	9.68	8.88	9.57	533000
03.11.2009 00:00	9.69	9.69	9.16	9.19	589000
05.11.2009 00:00	9.44	9.44	8.99	9.16	1472000
06.11.2009 00:00	9.24	9.4	9.05	9.24	108000
09.11.2009 00:00	9.24	9.3	9.24	9.3	204000
10.11.2009 00:00	9.15	9.39	9.15	9.32	428000
11.11.2009 00:00	9.32	9.32	9.28	9.32	21000
12.11.2009 00:00	9.32	9.32	9.32	9.32	144000
13.11.2009 00:00	9.43	9.69	9.22	9.61	448000
16.11.2009 00:00	9.59	10.15	9.5	10.15	4840000
17.11.2009 00:00	9.99	10.44	9.99	10.38	2592000
18.11.2009 00:00	10.43	10.47	10.3	10.34	2378000
19.11.2009 00:00	10.73	10.73	10.3	10.4	6555000
20.11.2009 00:00	10.73	10.73	10.11	10.3	2688000
