datetime	open	high	low	close	volume
07.03.2018 00:00	649.0	649.0	649.0	649.0	1
09.03.2018 00:00	646.0	646.0	634.0	634.0	56
12.03.2018 00:00	640.0	643.0	632.0	637.0	133
13.03.2018 00:00	636.0	636.0	630.0	630.0	16
14.03.2018 00:00	636.0	646.0	630.0	630.0	78
15.03.2018 00:00	630.0	654.0	627.0	640.0	144
16.03.2018 00:00	639.0	652.0	637.0	652.0	304
19.03.2018 00:00	648.0	648.0	623.0	634.0	224
20.03.2018 00:00	635.0	643.0	627.0	643.0	132
21.03.2018 00:00	637.0	644.0	636.0	642.0	36
22.03.2018 00:00	637.0	643.0	634.0	643.0	121
23.03.2018 00:00	636.0	637.0	631.0	631.0	37
26.03.2018 00:00	630.0	634.0	629.0	632.0	35
27.03.2018 00:00	635.0	635.0	630.0	630.0	22
28.03.2018 00:00	631.0	631.0	629.0	629.0	12
29.03.2018 00:00	627.0	630.0	614.0	614.0	19
30.03.2018 00:00	620.0	630.0	620.0	630.0	93
02.04.2018 00:00	630.0	630.0	622.0	629.0	267
03.04.2018 00:00	623.0	628.0	585.0	623.0	117
04.04.2018 00:00	620.0	622.0	611.0	618.0	48
05.04.2018 00:00	623.0	699.0	615.0	617.0	99
06.04.2018 00:00	618.0	699.0	612.0	635.0	339
09.04.2018 00:00	595.0	595.0	532.0	549.0	284
10.04.2018 00:00	557.0	568.0	543.0	553.0	248
11.04.2018 00:00	553.0	565.0	547.0	560.0	713
12.04.2018 00:00	560.0	565.0	552.0	560.0	71
13.04.2018 00:00	564.0	565.0	552.0	565.0	145
16.04.2018 00:00	550.0	568.0	540.0	546.0	71
17.04.2018 00:00	548.0	574.0	530.0	556.0	151
18.04.2018 00:00	556.0	572.0	556.0	572.0	33
19.04.2018 00:00	570.0	570.0	549.0	557.0	172
20.04.2018 00:00	550.0	557.0	540.0	540.0	214
23.04.2018 00:00	539.0	539.0	447.0	473.0	1323
24.04.2018 00:00	477.0	477.0	460.0	465.0	2666
25.04.2018 00:00	468.0	468.0	439.0	448.0	2167
26.04.2018 00:00	450.0	450.0	420.0	432.0	1281
27.04.2018 00:00	435.0	435.0	399.0	400.0	4235
28.04.2018 00:00	400.0	420.0	380.0	410.0	5222
30.04.2018 00:00	412.0	444.0	412.0	435.0	4136
02.05.2018 00:00	438.0	438.0	419.0	431.0	813
03.05.2018 00:00	428.0	428.0	417.0	418.0	629
04.05.2018 00:00	421.0	423.0	401.0	403.0	551
07.05.2018 00:00	418.0	418.0	412.0	415.0	548
08.05.2018 00:00	414.0	420.0	406.0	410.0	766
10.05.2018 00:00	415.0	416.0	410.0	410.0	600
11.05.2018 00:00	413.0	416.0	406.0	414.0	314
14.05.2018 00:00	416.0	418.0	411.0	414.0	157
15.05.2018 00:00	414.0	414.0	405.0	410.0	543
16.05.2018 00:00	406.0	409.0	396.0	403.0	1068
17.05.2018 00:00	403.0	412.0	403.0	406.0	489
18.05.2018 00:00	406.0	412.0	402.0	407.0	449
21.05.2018 00:00	412.0	414.0	411.0	412.0	20
22.05.2018 00:00	410.0	428.0	408.0	408.0	133
23.05.2018 00:00	407.0	431.0	404.0	416.0	1088
24.05.2018 00:00	420.0	423.0	414.0	423.0	590
25.05.2018 00:00	420.0	422.0	405.0	419.0	454
28.05.2018 00:00	414.0	420.0	411.0	413.0	75
29.05.2018 00:00	415.0	416.0	406.0	414.0	261
30.05.2018 00:00	415.0	417.0	408.0	408.0	290
31.05.2018 00:00	411.0	417.0	408.0	408.0	544
01.06.2018 00:00	410.0	429.0	410.0	411.0	54
04.06.2018 00:00	429.0	438.0	426.0	434.0	920
05.06.2018 00:00	431.0	471.0	430.0	460.0	1173
06.06.2018 00:00	462.0	465.0	447.0	458.0	605
07.06.2018 00:00	463.0	475.0	459.0	466.0	550
08.06.2018 00:00	465.0	476.0	455.0	462.0	627
09.06.2018 00:00	465.0	468.0	455.0	455.0	207
11.06.2018 00:00	455.0	475.0	455.0	460.0	178
13.06.2018 00:00	460.0	461.0	305.0	434.0	845
14.06.2018 00:00	437.0	449.0	426.0	443.0	196
15.06.2018 00:00	444.0	444.0	431.0	444.0	391
18.06.2018 00:00	444.0	449.0	433.0	443.0	170
19.06.2018 00:00	433.0	440.0	424.0	428.0	227
20.06.2018 00:00	435.0	436.0	425.0	429.0	160
21.06.2018 00:00	428.0	444.0	420.0	425.0	385
22.06.2018 00:00	420.0	434.0	414.0	432.0	308
25.06.2018 00:00	430.0	434.0	428.0	429.0	123
26.06.2018 00:00	435.0	440.0	429.0	440.0	97
27.06.2018 00:00	439.0	443.0	435.0	437.0	81
28.06.2018 00:00	435.0	435.0	426.0	427.0	166
29.06.2018 00:00	426.0	427.0	421.0	423.0	170
02.07.2018 00:00	425.0	426.0	423.0	425.0	117
03.07.2018 00:00	423.0	425.0	421.0	422.0	41
04.07.2018 00:00	420.0	427.0	419.0	426.0	219
05.07.2018 00:00	428.0	428.0	405.0	414.0	325
06.07.2018 00:00	411.0	418.0	411.0	417.0	162
09.07.2018 00:00	422.0	427.0	420.0	425.0	232
10.07.2018 00:00	425.0	429.0	422.0	426.0	113
11.07.2018 00:00	425.0	425.0	421.0	421.0	36
12.07.2018 00:00	421.0	424.0	420.0	424.0	41
13.07.2018 00:00	423.0	431.0	422.0	431.0	80
16.07.2018 00:00	425.0	431.0	425.0	427.0	39
17.07.2018 00:00	428.0	430.0	424.0	424.0	156
18.07.2018 00:00	432.0	433.0	427.0	431.0	41
19.07.2018 00:00	429.0	429.0	421.0	423.0	91
20.07.2018 00:00	423.0	427.0	423.0	425.0	94
23.07.2018 00:00	428.0	429.0	423.0	429.0	482
24.07.2018 00:00	432.0	434.0	420.0	434.0	125
25.07.2018 00:00	442.0	442.0	431.0	431.0	66
26.07.2018 00:00	430.0	431.0	425.0	431.0	91
27.07.2018 00:00	433.0	435.0	430.0	432.0	75
30.07.2018 00:00	432.0	439.0	430.0	434.0	66
01.08.2018 00:00	437.0	438.0	435.0	435.0	33
02.08.2018 00:00	435.0	435.0	425.0	426.0	47
03.08.2018 00:00	427.0	427.0	414.0	418.0	295
06.08.2018 00:00	422.0	424.0	413.0	413.0	98
07.08.2018 00:00	413.0	416.0	411.0	413.0	45
08.08.2018 00:00	412.0	415.0	406.0	407.0	132
09.08.2018 00:00	414.0	414.0	385.0	404.0	560
10.08.2018 00:00	403.0	411.0	360.0	395.0	249
13.08.2018 00:00	388.0	400.0	388.0	393.0	185
14.08.2018 00:00	393.0	397.0	385.0	387.0	209
15.08.2018 00:00	398.0	420.0	391.0	394.0	266
16.08.2018 00:00	392.0	398.0	392.0	398.0	83
17.08.2018 00:00	397.0	397.0	390.0	394.0	141
20.08.2018 00:00	394.0	397.0	389.0	396.0	78
21.08.2018 00:00	395.0	404.0	390.0	393.0	112
22.08.2018 00:00	396.0	396.0	393.0	393.0	51
23.08.2018 00:00	391.0	393.0	387.0	387.0	25
24.08.2018 00:00	389.0	389.0	377.0	383.0	237
27.08.2018 00:00	387.0	388.0	384.0	388.0	58
28.08.2018 00:00	391.0	391.0	386.0	387.0	35
29.08.2018 00:00	383.0	390.0	376.0	387.0	101
30.08.2018 00:00	383.0	389.0	379.0	381.0	195
31.08.2018 00:00	380.0	382.0	372.0	375.0	488
03.09.2018 00:00	370.0	381.0	370.0	377.0	13
04.09.2018 00:00	384.0	384.0	376.0	376.0	19
05.09.2018 00:00	376.0	379.0	376.0	378.0	9
06.09.2018 00:00	378.0	380.0	368.0	380.0	148
07.09.2018 00:00	380.0	380.0	374.0	379.0	26
10.09.2018 00:00	362.0	374.0	362.0	363.0	289
11.09.2018 00:00	366.0	367.0	360.0	360.0	152
12.09.2018 00:00	362.0	374.0	361.0	367.0	57
13.09.2018 00:00	367.0	371.0	361.0	361.0	160
14.09.2018 00:00	368.0	370.0	367.0	367.0	11
17.09.2018 00:00	374.0	385.0	369.0	385.0	301
18.09.2018 00:00	386.0	393.0	381.0	385.0	69
19.09.2018 00:00	381.0	385.0	380.0	385.0	44
20.09.2018 00:00	388.0	400.0	385.0	399.0	618
21.09.2018 00:00	399.0	410.0	398.0	407.0	155
24.09.2018 00:00	414.0	418.0	378.0	411.0	127
25.09.2018 00:00	407.0	413.0	395.0	396.0	50
26.09.2018 00:00	401.0	401.0	385.0	397.0	133
27.09.2018 00:00	389.0	395.0	385.0	387.0	119
28.09.2018 00:00	381.0	387.0	372.0	385.0	87
01.10.2018 00:00	387.0	420.0	387.0	405.0	523
02.10.2018 00:00	397.0	404.0	397.0	404.0	70
03.10.2018 00:00	401.0	407.0	401.0	401.0	72
04.10.2018 00:00	398.0	402.0	394.0	402.0	129
05.10.2018 00:00	395.0	395.0	392.0	392.0	32
08.10.2018 00:00	385.0	393.0	378.0	388.0	152
09.10.2018 00:00	392.0	394.0	387.0	393.0	19
10.10.2018 00:00	392.0	394.0	387.0	387.0	41
11.10.2018 00:00	368.0	386.0	368.0	376.0	129
12.10.2018 00:00	378.0	384.0	375.0	384.0	49
15.10.2018 00:00	384.0	384.0	352.0	377.0	149
16.10.2018 00:00	378.0	385.0	370.0	384.0	37
17.10.2018 00:00	375.0	385.0	372.0	375.0	187
18.10.2018 00:00	376.0	380.0	373.0	380.0	99
19.10.2018 00:00	374.0	378.0	369.0	374.0	80
22.10.2018 00:00	383.0	403.0	380.0	383.0	685
23.10.2018 00:00	388.0	388.0	378.0	383.0	215
24.10.2018 00:00	387.0	388.0	380.0	386.0	86
25.10.2018 00:00	378.0	399.0	365.0	382.0	406
26.10.2018 00:00	382.0	399.0	381.0	381.0	193
29.10.2018 00:00	381.0	384.0	375.0	384.0	24
30.10.2018 00:00	379.0	403.0	378.0	392.0	133
31.10.2018 00:00	391.0	402.0	391.0	402.0	567
01.11.2018 00:00	397.0	397.0	393.0	393.0	2
02.11.2018 00:00	401.0	402.0	395.0	395.0	12
06.11.2018 00:00	396.0	401.0	395.0	400.0	28
07.11.2018 00:00	401.0	406.0	397.0	400.0	98
08.11.2018 00:00	400.0	403.0	397.0	400.0	220
09.11.2018 00:00	400.0	404.0	400.0	400.0	607
12.11.2018 00:00	404.0	406.0	401.0	401.0	22
13.11.2018 00:00	401.0	405.0	400.0	401.0	41
14.11.2018 00:00	401.0	409.0	401.0	409.0	107
15.11.2018 00:00	404.0	416.0	404.0	407.0	158
16.11.2018 00:00	409.0	414.0	403.0	408.0	65
19.11.2018 00:00	421.0	421.0	411.0	411.0	250
20.11.2018 00:00	411.0	414.0	400.0	407.0	127
21.11.2018 00:00	410.0	410.0	406.0	406.0	31
22.11.2018 00:00	408.0	408.0	404.0	404.0	13
23.11.2018 00:00	402.0	408.0	396.0	405.0	374
26.11.2018 00:00	407.0	407.0	396.0	399.0	26
27.11.2018 00:00	403.0	404.0	395.0	398.0	35
28.11.2018 00:00	397.0	398.0	396.0	398.0	44
29.11.2018 00:00	398.0	400.0	397.0	400.0	32
30.11.2018 00:00	400.0	401.0	390.0	393.0	112
