datetime	open	high	low	close	volume
26.04.2023 00:00	25.03	25.03	25.03	25.03	190696
27.04.2023 00:00	27.53	35.03	27.53	35.03	1039321
28.04.2023 00:00	38.49	38.49	36.99	38.49	391431
02.05.2023 00:00	38.49	41.99	31.6	37.49	4753506
03.05.2023 00:00	36.99	40.2	35.02	35.39	822390
04.05.2023 00:00	35.5	36.49	32.25	32.81	573912
05.05.2023 00:00	32.92	34.93	31.55	32.2	802403
08.05.2023 00:00	33.29	33.49	31.240000000000002	32.2	171147
10.05.2023 00:00	31.69	34.2	31.69	33.36	558594
11.05.2023 00:00	33.53	34.79	32.72	33.29	350600
12.05.2023 00:00	33.29	33.39	31.990000000000002	32.28	144706
15.05.2023 00:00	32.56	33.04	31.990000000000002	32.17	133837
16.05.2023 00:00	32.2	32.35	31.69	31.88	155239
17.05.2023 00:00	31.740000000000002	32.74	31.720000000000002	31.990000000000002	203996
18.05.2023 00:00	32.13	33.2	31.810000000000002	31.85	204877
19.05.2023 00:00	31.8	32.56	31.3	31.53	148983
22.05.2023 00:00	32.5	32.6	31.39	31.62	177610
23.05.2023 00:00	31.8	31.89	30.1	30.44	137388
24.05.2023 00:00	30.6	30.810000000000002	28.76	29.55	149896
25.05.2023 00:00	30.240000000000002	30.240000000000002	28.12	28.39	123592
26.05.2023 00:00	28.44	31.6	28.400000000000002	29.990000000000002	406806
29.05.2023 00:00	29.990000000000002	30.94	29.400000000000002	30.38	113726
30.05.2023 00:00	30.17	30.490000000000002	29.39	29.48	52323
31.05.2023 00:00	29.21	31.19	29.03	30.6	120112
01.06.2023 00:00	30.990000000000002	33.61	30.22	32.74	575806
02.06.2023 00:00	32.7	33.17	31.73	31.98	188606
05.06.2023 00:00	31.98	34.49	31.51	32.56	381222
06.06.2023 00:00	32.2	32.28	30.53	31.89	138469
07.06.2023 00:00	32.59	32.99	31.89	32.21	99917
08.06.2023 00:00	32.78	32.96	31.96	32.2	85243
09.06.2023 00:00	31.900000000000002	33.38	31.900000000000002	32.2	154718
13.06.2023 00:00	32.81	33.99	32.2	33.67	232130
14.06.2023 00:00	34.39	34.6	32.35	33.47	179713
15.06.2023 00:00	33.49	33.92	32.81	33.29	67456
16.06.2023 00:00	33.56	33.56	32.49	32.79	55833
19.06.2023 00:00	33.13	33.35	32.49	33.07	52083
20.06.2023 00:00	33.1	34.09	33.07	33.18	178301
21.06.2023 00:00	33.63	33.97	33.18	33.74	86137
22.06.2023 00:00	33.9	35.24	33.46	34.85	378798
23.06.2023 00:00	34.85	34.85	32.28	34.1	155250
26.06.2023 00:00	33.79	34.32	32.53	33.0	92233
27.06.2023 00:00	33.02	33.78	32.6	33.09	46777
28.06.2023 00:00	33.03	33.68	32.88	32.99	34332
29.06.2023 00:00	32.99	33.99	32.99	33.89	109783
30.06.2023 00:00	33.99	34.49	33.25	33.42	67118
03.07.2023 00:00	33.39	33.7	32.99	33.1	45508
04.07.2023 00:00	33.1	33.56	32.99	33.03	40263
05.07.2023 00:00	33.03	33.39	32.99	33.0	22605
06.07.2023 00:00	33.03	33.17	32.49	32.49	45462
07.07.2023 00:00	32.6	32.7	31.970000000000002	32.09	55143
