datetime	open	high	low	close	volume
09.03.2004 00:00	20.48	24.48	20.48	24.12	85700
10.03.2004 00:00	24.26	35.38	23.8	31.36	185900
11.03.2004 00:00	32.980000000000004	63.02	32.980000000000004	53.300000000000004	280300
12.03.2004 00:00	54.94	77.98	39.980000000000004	42.38	706800
15.03.2004 00:00	39.1	53.480000000000004	22.26	22.96	1680200
16.03.2004 00:00	24.48	25.98	21.48	22.46	2391800
17.03.2004 00:00	23.32	23.32	21.82	22.16	1392300
18.03.2004 00:00	22.38	22.38	21.22	21.32	1003300
19.03.2004 00:00	21.46	21.54	20.8	21.14	602700
22.03.2004 00:00	20.48	20.84	20.02	20.18	788800
23.03.2004 00:00	20.18	21.38	19.98	20.94	1100400
24.03.2004 00:00	21.18	21.32	20.12	20.22	747800
25.03.2004 00:00	20.48	20.8	20.14	20.5	1212400
26.03.2004 00:00	20.48	20.68	18.7	18.82	2468700
29.03.2004 00:00	18.98	19.14	18.64	18.96	590400
30.03.2004 00:00	18.98	19.34	18.46	18.54	775200
31.03.2004 00:00	18.46	19.1	18.2	18.96	445100
01.04.2004 00:00	18.66	19.12	18.66	18.82	1552600
02.04.2004 00:00	18.76	18.84	18.42	18.52	859700
05.04.2004 00:00	18.68	18.76	18.1	18.44	555200
06.04.2004 00:00	18.32	18.8	18.32	18.64	1493000
07.04.2004 00:00	18.62	18.98	18.62	18.8	1088900
08.04.2004 00:00	18.76	19.38	18.76	18.94	869000
09.04.2004 00:00	19.16	21.46	18.98	20.96	6851400
12.04.2004 00:00	21.32	22.6	21.16	21.52	5206300
13.04.2004 00:00	21.76	21.84	20.26	20.3	2313100
14.04.2004 00:00	20.44	20.48	19.88	20.0	1414100
15.04.2004 00:00	20.06	20.34	19.32	19.72	1473300
16.04.2004 00:00	19.8	19.92	19.18	19.28	464500
19.04.2004 00:00	19.22	19.56	19.0	19.42	528500
20.04.2004 00:00	19.52	19.52	19.02	19.26	752300
21.04.2004 00:00	19.26	19.68	16.98	18.0	1360800
22.04.2004 00:00	18.26	18.8	17.98	18.3	2109500
23.04.2004 00:00	18.72	18.72	17.82	18.02	426800
26.04.2004 00:00	18.04	18.1	17.52	17.6	852500
27.04.2004 00:00	17.52	17.6	16.76	17.2	1045200
28.04.2004 00:00	17.18	18.3	17.0	17.7	1225600
29.04.2004 00:00	17.64	17.64	16.14	16.38	1551000
30.04.2004 00:00	16.3	16.98	16.18	16.92	414600
05.05.2004 00:00	17.34	17.6	17.0	17.52	299000
06.05.2004 00:00	17.6	17.64	17.0	17.18	274200
07.05.2004 00:00	17.18	17.32	16.64	16.86	157800
11.05.2004 00:00	16.88	16.96	15.98	16.86	482500
12.05.2004 00:00	16.98	17.26	16.84	17.0	327200
13.05.2004 00:00	17.96	17.96	16.98	17.04	246900
14.05.2004 00:00	17.14	17.48	16.88	17.02	322600
17.05.2004 00:00	17.22	17.22	16.8	17.06	353200
18.05.2004 00:00	17.14	17.32	16.82	16.94	296800
19.05.2004 00:00	16.98	17.22	16.76	16.94	232300
20.05.2004 00:00	16.98	17.06	16.78	16.8	188900
21.05.2004 00:00	16.86	16.86	16.76	16.82	98600
24.05.2004 00:00	16.8	17.68	16.72	17.34	263700
25.05.2004 00:00	17.5	17.72	16.78	16.82	1551400
26.05.2004 00:00	16.8	16.98	16.56	16.96	225900
27.05.2004 00:00	16.98	17.0	16.62	16.76	273400
28.05.2004 00:00	16.68	16.68	15.58	15.72	585800
31.05.2004 00:00	15.74	16.98	15.64	16.54	450200
01.06.2004 00:00	16.48	16.68	15.68	15.84	442600
02.06.2004 00:00	15.64	16.1	15.4	15.98	325600
03.06.2004 00:00	16.06	16.1	15.76	15.9	862400
04.06.2004 00:00	15.84	16.04	15.72	15.96	268900
07.06.2004 00:00	16.04	16.26	16.0	16.16	132500
08.06.2004 00:00	16.06	16.14	15.9	15.98	350900
09.06.2004 00:00	15.98	16.1	15.6	15.64	132900
10.06.2004 00:00	15.72	15.72	15.34	15.66	273500
11.06.2004 00:00	15.58	15.88	15.22	15.26	924200
15.06.2004 00:00	15.22	15.34	14.26	14.34	910200
16.06.2004 00:00	14.48	14.58	13.88	14.26	351800
17.06.2004 00:00	14.34	15.18	14.22	14.9	1126500
18.06.2004 00:00	14.98	14.98	14.68	14.9	667800
21.06.2004 00:00	15.1	16.14	15.08	16.0	569000
22.06.2004 00:00	15.98	16.0	15.56	15.58	122500
23.06.2004 00:00	15.48	15.9	15.46	15.8	150200
24.06.2004 00:00	15.8	15.96	15.68	15.74	238000
25.06.2004 00:00	15.68	15.68	15.3	15.4	84800
28.06.2004 00:00	15.4	15.48	14.74	14.8	299300
29.06.2004 00:00	15.08	15.16	14.66	15.14	342800
30.06.2004 00:00	15.5	15.5	15.0	15.1	368000
01.07.2004 00:00	15.14	15.3	14.4	14.48	590800
02.07.2004 00:00	15.08	15.08	14.0	14.6	262000
05.07.2004 00:00	14.08	14.64	14.08	14.58	60100
06.07.2004 00:00	14.8	14.8	14.3	14.42	142100
07.07.2004 00:00	14.68	14.74	14.24	14.48	80500
08.07.2004 00:00	14.48	14.58	14.32	14.32	118800
09.07.2004 00:00	14.42	14.58	14.24	14.48	168300
12.07.2004 00:00	14.34	14.74	14.24	14.66	242000
13.07.2004 00:00	14.72	14.9	14.48	14.66	178200
14.07.2004 00:00	14.8	14.8	14.42	14.48	129500
