datetime	open	high	low	close	volume
12.03.2018 00:00	14.48	14.48	14.48	14.48	2
13.03.2018 00:00	14.48	14.98	14.18	14.18	9
14.03.2018 00:00	14.9	14.9	13.98	13.98	11
15.03.2018 00:00	14.4	14.48	13.98	14.4	71
16.03.2018 00:00	14.48	14.48	14.48	14.48	2
19.03.2018 00:00	14.3	14.3	14.3	14.3	2
20.03.2018 00:00	14.4	14.4	14.3	14.3	2
22.03.2018 00:00	14.4	14.48	14.4	14.4	1
28.03.2018 00:00	14.18	14.18	13.98	13.98	20
30.03.2018 00:00	14.3	14.3	14.3	14.3	1
03.04.2018 00:00	14.18	14.3	14.18	14.3	31
06.04.2018 00:00	13.98	14.08	13.98	14.08	3
09.04.2018 00:00	13.98	13.98	13.48	13.48	104
10.04.2018 00:00	13.4	13.8	13.4	13.48	47
11.04.2018 00:00	13.58	13.8	13.58	13.8	6
12.04.2018 00:00	13.4	13.48	13.18	13.18	5
13.04.2018 00:00	13.08	13.68	12.98	13.68	29
16.04.2018 00:00	13.4	14.48	12.9	13.3	7
17.04.2018 00:00	13.08	14.48	12.18	12.68	48
18.04.2018 00:00	13.48	14.98	13.4	14.48	152
19.04.2018 00:00	14.48	14.48	13.8	13.98	20
20.04.2018 00:00	14.8	14.8	13.98	13.98	101
23.04.2018 00:00	14.08	14.08	13.8	14.08	1
25.04.2018 00:00	13.8	13.8	13.18	13.18	84
26.04.2018 00:00	13.9	13.9	13.9	13.9	1
03.05.2018 00:00	13.3	13.8	12.98	13.08	8
04.05.2018 00:00	13.48	13.98	12.98	13.98	30
08.05.2018 00:00	14.08	14.3	14.08	14.18	3
11.05.2018 00:00	13.4	13.48	12.98	13.48	6
15.05.2018 00:00	13.9	15.9	13.9	14.48	2
16.05.2018 00:00	14.68	14.68	12.98	13.9	107
17.05.2018 00:00	13.58	13.8	13.58	13.58	3
18.05.2018 00:00	13.8	13.8	13.8	13.8	3
21.05.2018 00:00	13.48	13.8	13.3	13.3	9
23.05.2018 00:00	13.8	13.8	13.08	13.48	4
24.05.2018 00:00	13.48	13.48	13.08	13.18	47
25.05.2018 00:00	12.98	13.18	12.98	13.18	207
28.05.2018 00:00	13.18	13.98	13.18	13.98	22
29.05.2018 00:00	13.98	13.98	13.98	13.98	1
30.05.2018 00:00	13.58	13.58	13.58	13.58	1
31.05.2018 00:00	13.8	13.98	13.68	13.98	6
01.06.2018 00:00	13.4	13.98	13.08	13.4	32
05.06.2018 00:00	13.58	13.98	13.3	13.3	8
07.06.2018 00:00	13.4	13.4	12.98	12.98	20
08.06.2018 00:00	13.08	13.8	13.08	13.8	30
09.06.2018 00:00	13.4	13.4	13.4	13.4	3
13.06.2018 00:00	13.68	13.98	13.18	13.98	64
15.06.2018 00:00	14.68	14.68	14.18	14.18	18
18.06.2018 00:00	13.8	13.8	13.8	13.8	1
19.06.2018 00:00	13.18	13.4	12.98	12.98	200
25.06.2018 00:00	13.18	13.18	12.98	12.98	2
26.06.2018 00:00	12.98	13.68	12.98	13.58	123
28.06.2018 00:00	13.3	13.3	13.3	13.3	2
29.06.2018 00:00	13.18	13.48	13.18	13.48	5
06.07.2018 00:00	13.08	13.3	12.98	13.3	12
09.07.2018 00:00	13.08	13.08	13.08	13.08	18
10.07.2018 00:00	13.48	13.58	13.08	13.08	54
11.07.2018 00:00	13.4	13.48	13.4	13.48	24
12.07.2018 00:00	13.48	13.48	13.48	13.48	3
13.07.2018 00:00	13.48	13.58	13.18	13.58	23
17.07.2018 00:00	13.3	13.3	13.3	13.3	21
18.07.2018 00:00	13.18	13.18	13.18	13.18	10
20.07.2018 00:00	13.08	13.08	12.98	12.98	8
