datetime	open	high	low	close	volume
13.03.2018 00:00	85.0	85.0	82.0	82.0	3
15.03.2018 00:00	83.5	83.5	83.5	83.5	1
27.03.2018 00:00	84.0	87.0	82.5	82.5	5
28.03.2018 00:00	83.0	84.0	83.0	84.0	8
29.03.2018 00:00	83.0	83.0	83.0	83.0	7
04.04.2018 00:00	82.0	83.0	81.5	83.0	6
05.04.2018 00:00	84.5	85.0	84.0	84.0	8
09.04.2018 00:00	83.5	84.5	83.5	83.5	1
11.04.2018 00:00	84.5	84.5	84.5	84.5	1
19.04.2018 00:00	83.0	83.5	83.0	83.0	1
20.04.2018 00:00	83.0	83.5	83.0	83.5	2
23.04.2018 00:00	85.0	85.0	82.5	82.5	329
24.04.2018 00:00	85.0	85.0	83.0	83.0	5
25.04.2018 00:00	83.0	83.0	83.0	83.0	2
27.04.2018 00:00	85.0	85.5	85.0	85.0	1
28.04.2018 00:00	85.5	85.5	85.5	85.5	1
30.04.2018 00:00	88.0	88.0	85.5	85.5	2
02.05.2018 00:00	86.0	86.0	86.0	86.0	1
07.05.2018 00:00	87.0	88.0	87.0	87.5	9
08.05.2018 00:00	88.0	90.0	86.0	88.0	22
10.05.2018 00:00	85.5	86.5	85.5	85.5	1
11.05.2018 00:00	86.5	86.5	86.5	86.5	1
15.05.2018 00:00	83.5	86.5	83.5	84.5	3
16.05.2018 00:00	86.5	86.5	84.5	86.5	95
18.05.2018 00:00	84.5	84.5	84.0	84.0	2
21.05.2018 00:00	84.0	84.0	84.0	84.0	5
22.05.2018 00:00	84.0	84.0	84.0	84.0	75
25.05.2018 00:00	87.5	87.5	87.5	87.5	2
29.05.2018 00:00	85.5	86.0	84.5	85.0	3
30.05.2018 00:00	86.0	86.5	86.0	86.0	1
31.05.2018 00:00	86.5	86.5	86.5	86.5	1
04.06.2018 00:00	84.5	86.5	84.5	86.5	8
06.06.2018 00:00	86.0	87.0	86.0	87.0	2
07.06.2018 00:00	87.0	88.0	87.0	88.0	2
08.06.2018 00:00	87.0	87.0	87.0	87.0	17
20.06.2018 00:00	85.5	86.0	84.5	85.5	6
21.06.2018 00:00	86.0	86.0	86.0	86.0	1
22.06.2018 00:00	84.5	84.5	84.5	84.5	3
26.06.2018 00:00	85.0	85.0	83.5	83.5	5
29.06.2018 00:00	85.0	86.0	84.5	86.0	16
