datetime	open	high	low	close	volume
13.03.2018 00:00	0.109	0.115	0.108	0.115	107
14.03.2018 00:00	0.11	0.115	0.109	0.115	52
15.03.2018 00:00	0.11	0.11	0.11	0.11	4
19.03.2018 00:00	0.113	0.113	0.113	0.113	6
20.03.2018 00:00	0.113	0.116	0.11	0.11	10
21.03.2018 00:00	0.113	0.116	0.113	0.113	4
23.03.2018 00:00	0.116	0.116	0.116	0.116	1
27.03.2018 00:00	0.109	0.109	0.109	0.109	1
28.03.2018 00:00	0.109	0.115	0.1	0.114	119
02.04.2018 00:00	0.11800000000000001	0.11800000000000001	0.115	0.115	4
03.04.2018 00:00	0.105	0.11	0.10400000000000001	0.11	7
04.04.2018 00:00	0.116	0.117	0.108	0.108	20
05.04.2018 00:00	0.108	0.109	0.108	0.109	4
06.04.2018 00:00	0.117	0.117	0.109	0.109	4
09.04.2018 00:00	0.108	0.108	0.108	0.108	1
13.04.2018 00:00	0.105	0.108	0.105	0.108	6
16.04.2018 00:00	0.108	0.11	0.10300000000000001	0.11	4
17.04.2018 00:00	0.106	0.11	0.089	0.10200000000000001	20
18.04.2018 00:00	0.101	0.108	0.1	0.108	80
20.04.2018 00:00	0.108	0.108	0.107	0.108	4
27.04.2018 00:00	0.109	0.20700000000000002	0.10200000000000001	0.151	669
28.04.2018 00:00	0.151	0.20700000000000002	0.151	0.16	758
30.04.2018 00:00	0.168	0.195	0.165	0.179	56
02.05.2018 00:00	0.185	0.185	0.165	0.165	31
03.05.2018 00:00	0.179	0.179	0.162	0.171	52
04.05.2018 00:00	0.167	0.167	0.152	0.162	92
07.05.2018 00:00	0.14	0.155	0.14	0.154	28
08.05.2018 00:00	0.146	0.157	0.14300000000000002	0.152	21
10.05.2018 00:00	0.154	0.189	0.14	0.14	36
11.05.2018 00:00	0.149	0.189	0.149	0.154	132
14.05.2018 00:00	0.14	0.151	0.14	0.14300000000000002	58
15.05.2018 00:00	0.14300000000000002	0.14300000000000002	0.135	0.14	156
16.05.2018 00:00	0.14	0.14200000000000002	0.132	0.133	57
17.05.2018 00:00	0.135	0.14300000000000002	0.134	0.139	13
18.05.2018 00:00	0.14100000000000001	0.14300000000000002	0.139	0.14100000000000001	24
22.05.2018 00:00	0.14	0.14	0.133	0.134	12
23.05.2018 00:00	0.133	0.14300000000000002	0.128	0.133	28
24.05.2018 00:00	0.14300000000000002	0.14300000000000002	0.11900000000000001	0.135	16
28.05.2018 00:00	0.135	0.135	0.129	0.131	3
30.05.2018 00:00	0.14	0.14	0.13	0.135	18
31.05.2018 00:00	0.131	0.131	0.129	0.129	3
01.06.2018 00:00	0.131	0.137	0.131	0.137	3
04.06.2018 00:00	0.129	0.139	0.128	0.129	15
05.06.2018 00:00	0.129	0.129	0.129	0.129	32
06.06.2018 00:00	0.125	0.125	0.125	0.125	6
07.06.2018 00:00	0.134	0.14100000000000001	0.134	0.138	49
08.06.2018 00:00	0.14	0.14300000000000002	0.14	0.14	7
11.06.2018 00:00	0.14	0.14	0.14	0.14	1
13.06.2018 00:00	0.188	0.188	0.137	0.137	33
14.06.2018 00:00	0.131	0.14400000000000002	0.131	0.14	38
15.06.2018 00:00	0.135	0.14200000000000002	0.135	0.138	13
18.06.2018 00:00	0.131	0.139	0.131	0.136	13
19.06.2018 00:00	0.131	0.131	0.129	0.13	27
20.06.2018 00:00	0.13	0.13	0.13	0.13	1
21.06.2018 00:00	0.13	0.137	0.129	0.129	24
22.06.2018 00:00	0.139	0.139	0.139	0.139	1
25.06.2018 00:00	0.139	0.14	0.139	0.14	7
28.06.2018 00:00	0.139	0.139	0.124	0.135	5
29.06.2018 00:00	0.13	0.132	0.13	0.132	11
02.07.2018 00:00	0.129	0.136	0.129	0.136	9
03.07.2018 00:00	0.132	0.132	0.132	0.132	2
04.07.2018 00:00	0.14200000000000002	0.14200000000000002	0.13	0.136	11
05.07.2018 00:00	0.136	0.136	0.136	0.136	2
06.07.2018 00:00	0.14200000000000002	0.14200000000000002	0.137	0.137	5
09.07.2018 00:00	0.14200000000000002	0.14200000000000002	0.14200000000000002	0.14200000000000002	1
11.07.2018 00:00	0.14400000000000002	0.14400000000000002	0.129	0.138	19
12.07.2018 00:00	0.14400000000000002	0.14400000000000002	0.14	0.14200000000000002	25
13.07.2018 00:00	0.14400000000000002	0.145	0.134	0.134	33
16.07.2018 00:00	0.134	0.136	0.134	0.135	25
17.07.2018 00:00	0.137	0.139	0.137	0.139	11
18.07.2018 00:00	0.138	0.14300000000000002	0.12	0.124	54
19.07.2018 00:00	0.14	0.14	0.13	0.14	45
20.07.2018 00:00	0.14	0.14	0.14	0.14	4
23.07.2018 00:00	0.129	0.14	0.129	0.139	5
24.07.2018 00:00	0.139	0.14	0.137	0.137	19
25.07.2018 00:00	0.14	0.156	0.139	0.14200000000000002	87
26.07.2018 00:00	0.14400000000000002	0.14400000000000002	0.14200000000000002	0.14300000000000002	19
27.07.2018 00:00	0.14200000000000002	0.14400000000000002	0.11	0.134	205
30.07.2018 00:00	0.135	0.135	0.134	0.134	12
31.07.2018 00:00	0.135	0.135	0.133	0.133	5
01.08.2018 00:00	0.135	0.135	0.133	0.133	7
02.08.2018 00:00	0.133	0.134	0.131	0.133	39
03.08.2018 00:00	0.133	0.133	0.133	0.133	2
06.08.2018 00:00	0.133	0.133	0.132	0.132	5
07.08.2018 00:00	0.122	0.132	0.11	0.131	31
08.08.2018 00:00	0.129	0.129	0.129	0.129	8
09.08.2018 00:00	0.13	0.13	0.129	0.129	6
10.08.2018 00:00	0.12	0.129	0.117	0.124	20
13.08.2018 00:00	0.122	0.124	0.11800000000000001	0.121	86
15.08.2018 00:00	0.126	0.126	0.123	0.123	2
17.08.2018 00:00	0.11900000000000001	0.124	0.11900000000000001	0.124	3
20.08.2018 00:00	0.124	0.124	0.124	0.124	2
21.08.2018 00:00	0.13	0.13	0.13	0.13	10
22.08.2018 00:00	0.116	0.12	0.11	0.11900000000000001	69
23.08.2018 00:00	0.117	0.12	0.117	0.11900000000000001	49
24.08.2018 00:00	0.117	0.117	0.117	0.117	55
27.08.2018 00:00	0.11900000000000001	0.11900000000000001	0.11800000000000001	0.11900000000000001	16
28.08.2018 00:00	0.12	0.12	0.12	0.12	15
29.08.2018 00:00	0.128	0.128	0.11900000000000001	0.122	14
04.09.2018 00:00	0.124	0.124	0.123	0.124	23
05.09.2018 00:00	0.114	0.125	0.114	0.125	11
06.09.2018 00:00	0.128	0.128	0.125	0.125	2
07.09.2018 00:00	0.11900000000000001	0.125	0.11900000000000001	0.125	31
10.09.2018 00:00	0.13	0.131	0.11900000000000001	0.124	114
11.09.2018 00:00	0.13	0.13	0.117	0.126	83
12.09.2018 00:00	0.122	0.126	0.11900000000000001	0.122	99
13.09.2018 00:00	0.125	0.125	0.117	0.117	390
14.09.2018 00:00	0.126	0.126	0.11800000000000001	0.123	51
17.09.2018 00:00	0.11900000000000001	0.121	0.11800000000000001	0.121	197
18.09.2018 00:00	0.11900000000000001	0.124	0.115	0.11800000000000001	132
19.09.2018 00:00	0.12	0.12	0.117	0.117	349
20.09.2018 00:00	0.12	0.12	0.11	0.117	198
21.09.2018 00:00	0.116	0.121	0.11	0.113	665
24.09.2018 00:00	0.11	0.113	0.11	0.113	94
25.09.2018 00:00	0.113	0.114	0.11	0.112	125
26.09.2018 00:00	0.114	0.115	0.109	0.11	123
27.09.2018 00:00	0.112	0.112	0.101	0.105	179
28.09.2018 00:00	0.113	0.12	0.108	0.12	307
01.10.2018 00:00	0.12	0.131	0.12	0.124	99
02.10.2018 00:00	0.116	0.123	0.116	0.117	306
03.10.2018 00:00	0.116	0.11800000000000001	0.114	0.11800000000000001	61
04.10.2018 00:00	0.122	0.122	0.11900000000000001	0.11900000000000001	2
05.10.2018 00:00	0.123	0.124	0.123	0.124	48
08.10.2018 00:00	0.131	0.131	0.12	0.12	21
09.10.2018 00:00	0.124	0.124	0.123	0.123	2
11.10.2018 00:00	0.116	0.11900000000000001	0.11	0.114	137
12.10.2018 00:00	0.117	0.117	0.114	0.117	21
15.10.2018 00:00	0.116	0.13	0.116	0.123	149
16.10.2018 00:00	0.117	0.12	0.117	0.11800000000000001	12
17.10.2018 00:00	0.125	0.126	0.11800000000000001	0.123	29
18.10.2018 00:00	0.124	0.125	0.124	0.125	14
19.10.2018 00:00	0.125	0.126	0.12	0.12	50
22.10.2018 00:00	0.126	0.126	0.123	0.123	81
23.10.2018 00:00	0.126	0.126	0.124	0.126	42
24.10.2018 00:00	0.126	0.126	0.12	0.123	27
25.10.2018 00:00	0.123	0.123	0.11900000000000001	0.11900000000000001	108
26.10.2018 00:00	0.126	0.126	0.11900000000000001	0.11900000000000001	55
29.10.2018 00:00	0.10400000000000001	0.125	0.10400000000000001	0.11900000000000001	34
30.10.2018 00:00	0.114	0.117	0.114	0.117	66
01.11.2018 00:00	0.113	0.11800000000000001	0.11	0.117	29
06.11.2018 00:00	0.116	0.117	0.115	0.117	7
07.11.2018 00:00	0.117	0.117	0.116	0.117	9
08.11.2018 00:00	0.117	0.12	0.117	0.11900000000000001	45
12.11.2018 00:00	0.115	0.12	0.115	0.11800000000000001	18
13.11.2018 00:00	0.126	0.166	0.123	0.166	4922
14.11.2018 00:00	0.179	0.181	0.14	0.14100000000000001	1095
15.11.2018 00:00	0.14	0.152	0.135	0.146	462
16.11.2018 00:00	0.14400000000000002	0.194	0.14400000000000002	0.183	5012
19.11.2018 00:00	0.183	0.196	0.149	0.151	1400
20.11.2018 00:00	0.153	0.157	0.14200000000000002	0.148	386
21.11.2018 00:00	0.148	0.148	0.137	0.14300000000000002	569
22.11.2018 00:00	0.14200000000000002	0.149	0.136	0.139	1520
23.11.2018 00:00	0.138	0.138	0.131	0.133	371
26.11.2018 00:00	0.134	0.134	0.13	0.13	80
27.11.2018 00:00	0.128	0.132	0.124	0.13	210
28.11.2018 00:00	0.126	0.131	0.125	0.131	215
29.11.2018 00:00	0.132	0.14	0.125	0.137	603
30.11.2018 00:00	0.134	0.137	0.134	0.135	27
03.12.2018 00:00	0.133	0.14100000000000001	0.131	0.136	101
04.12.2018 00:00	0.134	0.134	0.134	0.134	5
05.12.2018 00:00	0.132	0.149	0.132	0.139	248
06.12.2018 00:00	0.136	0.14100000000000001	0.131	0.14	75
07.12.2018 00:00	0.132	0.14400000000000002	0.132	0.138	46
10.12.2018 00:00	0.134	0.14	0.134	0.14	3
11.12.2018 00:00	0.14	0.14	0.132	0.14	3
14.12.2018 00:00	0.138	0.148	0.13	0.134	62
17.12.2018 00:00	0.13	0.134	0.13	0.134	3
18.12.2018 00:00	0.129	0.135	0.129	0.134	18
19.12.2018 00:00	0.134	0.137	0.134	0.137	15
20.12.2018 00:00	0.128	0.137	0.128	0.137	23
21.12.2018 00:00	0.137	0.137	0.129	0.129	19
24.12.2018 00:00	0.136	0.138	0.13	0.131	59
25.12.2018 00:00	0.128	0.138	0.128	0.138	12
26.12.2018 00:00	0.137	0.137	0.137	0.137	1
27.12.2018 00:00	0.13	0.136	0.13	0.133	36
28.12.2018 00:00	0.128	0.131	0.128	0.131	17
29.12.2018 00:00	0.128	0.132	0.128	0.132	5
03.01.2019 00:00	0.129	0.137	0.129	0.135	3
08.01.2019 00:00	0.13	0.139	0.13	0.135	47
10.01.2019 00:00	0.132	0.133	0.132	0.133	27
11.01.2019 00:00	0.133	0.138	0.133	0.138	13
14.01.2019 00:00	0.138	0.138	0.133	0.136	10
15.01.2019 00:00	0.137	0.137	0.137	0.137	10
16.01.2019 00:00	0.139	0.139	0.137	0.137	31
17.01.2019 00:00	0.138	0.14400000000000002	0.138	0.14300000000000002	430
18.01.2019 00:00	0.138	0.14400000000000002	0.138	0.14	46
21.01.2019 00:00	0.14200000000000002	0.14200000000000002	0.14200000000000002	0.14200000000000002	4
23.01.2019 00:00	0.137	0.14300000000000002	0.137	0.14	56
24.01.2019 00:00	0.14200000000000002	0.162	0.14200000000000002	0.149	472
25.01.2019 00:00	0.14200000000000002	0.156	0.14200000000000002	0.152	109
28.01.2019 00:00	0.14400000000000002	0.151	0.14400000000000002	0.146	38
29.01.2019 00:00	0.139	0.147	0.139	0.14	6
30.01.2019 00:00	0.146	0.146	0.14	0.14	42
31.01.2019 00:00	0.14200000000000002	0.14300000000000002	0.14200000000000002	0.14300000000000002	10
01.02.2019 00:00	0.14100000000000001	0.14100000000000001	0.14	0.14	38
04.02.2019 00:00	0.14	0.14	0.14	0.14	1
05.02.2019 00:00	0.14	0.14400000000000002	0.14	0.14400000000000002	17
06.02.2019 00:00	0.14100000000000001	0.146	0.139	0.14300000000000002	80
07.02.2019 00:00	0.146	0.154	0.145	0.152	151
08.02.2019 00:00	0.16	0.166	0.147	0.151	158
11.02.2019 00:00	0.148	0.154	0.147	0.149	96
12.02.2019 00:00	0.147	0.148	0.146	0.146	26
13.02.2019 00:00	0.149	0.149	0.149	0.149	7
14.02.2019 00:00	0.145	0.146	0.13	0.14300000000000002	183
18.02.2019 00:00	0.138	0.139	0.138	0.139	15
19.02.2019 00:00	0.138	0.139	0.138	0.139	6
20.02.2019 00:00	0.139	0.14100000000000001	0.139	0.14100000000000001	14
21.02.2019 00:00	0.17	0.181	0.14200000000000002	0.14200000000000002	368
22.02.2019 00:00	0.149	0.149	0.14100000000000001	0.14100000000000001	6
25.02.2019 00:00	0.14100000000000001	0.151	0.14100000000000001	0.14200000000000002	17
26.02.2019 00:00	0.14300000000000002	0.14400000000000002	0.14300000000000002	0.14300000000000002	16
27.02.2019 00:00	0.145	0.148	0.14	0.148	65
28.02.2019 00:00	0.152	0.152	0.149	0.149	19
01.03.2019 00:00	0.14300000000000002	0.148	0.14200000000000002	0.14300000000000002	26
04.03.2019 00:00	0.14400000000000002	0.149	0.14100000000000001	0.147	30
05.03.2019 00:00	0.14	0.153	0.14	0.147	38
06.03.2019 00:00	0.152	0.171	0.14200000000000002	0.152	351
07.03.2019 00:00	0.14300000000000002	0.163	0.14300000000000002	0.157	85
11.03.2019 00:00	0.154	0.157	0.14	0.149	49
12.03.2019 00:00	0.15	0.158	0.149	0.149	31
13.03.2019 00:00	0.145	0.149	0.145	0.149	7
14.03.2019 00:00	0.14200000000000002	0.148	0.14200000000000002	0.148	15
15.03.2019 00:00	0.145	0.148	0.145	0.146	40
18.03.2019 00:00	0.154	0.17400000000000002	0.149	0.17300000000000001	559
19.03.2019 00:00	0.167	0.17	0.157	0.165	187
20.03.2019 00:00	0.171	0.171	0.156	0.16	85
21.03.2019 00:00	0.16	0.16	0.155	0.155	37
22.03.2019 00:00	0.155	0.155	0.149	0.151	58
25.03.2019 00:00	0.148	0.15	0.148	0.149	74
26.03.2019 00:00	0.149	0.153	0.149	0.15	67
27.03.2019 00:00	0.15	0.15	0.148	0.148	8
28.03.2019 00:00	0.146	0.147	0.145	0.146	14
29.03.2019 00:00	0.14400000000000002	0.151	0.14100000000000001	0.15	64
01.04.2019 00:00	0.147	0.151	0.147	0.151	30
02.04.2019 00:00	0.146	0.151	0.146	0.148	72
03.04.2019 00:00	0.148	0.149	0.146	0.149	18
04.04.2019 00:00	0.146	0.148	0.145	0.147	8
05.04.2019 00:00	0.149	0.152	0.147	0.152	29
08.04.2019 00:00	0.15	0.15	0.145	0.149	49
09.04.2019 00:00	0.148	0.148	0.146	0.148	15
10.04.2019 00:00	0.149	0.149	0.147	0.147	7
11.04.2019 00:00	0.147	0.147	0.147	0.147	4
12.04.2019 00:00	0.146	0.149	0.146	0.149	7
15.04.2019 00:00	0.149	0.149	0.149	0.149	4
16.04.2019 00:00	0.147	0.147	0.147	0.147	2
17.04.2019 00:00	0.149	0.149	0.149	0.149	7
18.04.2019 00:00	0.149	0.149	0.149	0.149	2
