datetime	open	high	low	close	volume
09.03.2006 00:00	3.49	3.49	3.39	3.47	4100
14.03.2006 00:00	3.39	3.64	3.39	3.49	3300
15.03.2006 00:00	3.49	3.49	3.49	3.49	3000
16.03.2006 00:00	3.54	3.6	3.49	3.5100000000000002	12500
17.03.2006 00:00	3.49	3.85	3.49	3.66	3300
21.03.2006 00:00	4.09	5.49	3.75	5.17	113500
22.03.2006 00:00	5.38	5.38	3.7	4.07	5300
23.03.2006 00:00	5.28	5.28	4.49	5.23	3700
24.03.2006 00:00	4.09	4.09	4.09	4.09	500
27.03.2006 00:00	3.95	3.95	3.74	3.87	1000
29.03.2006 00:00	3.93	3.93	3.83	3.83	500
31.03.2006 00:00	4.99	4.99	4.2	4.8100000000000005	71100
03.04.2006 00:00	4.29	5.2	4.29	4.79	10700
04.04.2006 00:00	5.2	6.29	5.07	6.16	145100
05.04.2006 00:00	6.29	6.29	6.24	6.28	4500
06.04.2006 00:00	5.49	5.49	5.49	5.49	1000
07.04.2006 00:00	6.29	6.29	6.29	6.29	1000
10.04.2006 00:00	6.45	6.45	6.09	6.11	10500
11.04.2006 00:00	5.7	5.7	5.29	5.63	3500
12.04.2006 00:00	5.49	5.49	4.99	5.36	16000
14.04.2006 00:00	4.99	4.99	4.99	4.99	10000
19.04.2006 00:00	4.99	4.99	4.99	4.99	5000
20.04.2006 00:00	4.83	7.95	4.83	6.36	268500
21.04.2006 00:00	6.9	6.9	6.49	6.49	200
24.04.2006 00:00	4.78	6.23	4.78	4.84	2400
25.04.2006 00:00	5.5600000000000005	5.92	5.5600000000000005	5.88	7000
26.04.2006 00:00	4.74	6.7	4.74	5.21	65100
27.04.2006 00:00	5.04	5.04	4.29	4.3	5000
28.04.2006 00:00	4.34	4.34	4.3	4.3	3500
02.05.2006 00:00	4.29	4.29	4.29	4.29	6200
11.05.2006 00:00	3.89	3.91	3.89	3.89	10100
16.05.2006 00:00	3.85	3.85	3.85	3.85	120400
17.05.2006 00:00	5.2	5.2	5.2	5.2	1000
18.05.2006 00:00	5.2	5.21	3.7	3.7	122000
22.05.2006 00:00	3.7	3.7	3.7	3.7	5000
23.05.2006 00:00	3.7	3.7	3.7	3.7	5000
29.05.2006 00:00	3.85	3.85	3.5500000000000003	3.7	10900
30.05.2006 00:00	3.49	3.49	3.49	3.49	6500
31.05.2006 00:00	3.49	3.49	3.49	3.49	1100
02.06.2006 00:00	3.49	3.49	3.49	3.49	1500
06.06.2006 00:00	4.49	4.49	3.49	3.5300000000000002	130500
07.06.2006 00:00	4.74	4.76	3.49	4.74	21900
08.06.2006 00:00	4.5600000000000005	4.99	4.5600000000000005	4.9	12000
09.06.2006 00:00	4.95	6.74	4.4	6.5	351600
16.06.2006 00:00	4.49	4.49	4.09	4.4	4000
23.06.2006 00:00	4.49	4.49	4.49	4.49	2500
28.06.2006 00:00	5.9	5.9	5.9	5.9	500
29.06.2006 00:00	5.09	5.09	4.9	4.99	20000
30.06.2006 00:00	5.2	5.2	5.09	5.15	20000
03.07.2006 00:00	4.49	4.49	4.49	4.49	5000
04.07.2006 00:00	4.99	4.99	4.99	4.99	2000
