datetime	open	high	low	close	volume
22.02.2024 00:00	8.998	8.998	7.65	8.098	278310
26.02.2024 00:00	8.198	8.348	7.65	7.684	165464
27.02.2024 00:00	7.678	7.714	7.256	7.388	159555
28.02.2024 00:00	7.4	7.658	7.388	7.514	72497
29.02.2024 00:00	7.514	8.598	7.408	8.482	347256
01.03.2024 00:00	8.498	8.886000000000001	8.086	8.432	171946
04.03.2024 00:00	8.45	8.698	8.408	8.642	65873
05.03.2024 00:00	8.642	8.73	8.178	8.3	45087
06.03.2024 00:00	8.396	8.486	8.192	8.23	31684
07.03.2024 00:00	8.24	8.666	8.15	8.506	42720
11.03.2024 00:00	8.408	8.618	8.332	8.474	26686
12.03.2024 00:00	8.48	8.586	8.328	8.498	27478
13.03.2024 00:00	8.496	8.496	8.262	8.448	23267
14.03.2024 00:00	8.518	8.518	8.262	8.454	17145
15.03.2024 00:00	8.316	8.48	8.166	8.48	12805
18.03.2024 00:00	8.48	8.48	8.288	8.416	20702
19.03.2024 00:00	8.466	8.466	8.36	8.384	19898
20.03.2024 00:00	8.396	8.4	8.22	8.368	23113
21.03.2024 00:00	8.368	8.46	8.278	8.444	20675
22.03.2024 00:00	8.408	8.46	8.236	8.416	30983
25.03.2024 00:00	8.4	8.4	8.258000000000001	8.284	7152
26.03.2024 00:00	8.288	8.3	8.11	8.126	17483
27.03.2024 00:00	8.166	8.166	7.888	7.932	23797
28.03.2024 00:00	7.95	8.23	7.938	7.99	20285
29.03.2024 00:00	8.002	8.07	7.968	8.012	9747
01.04.2024 00:00	8.028	8.4	7.9	8.13	28194
02.04.2024 00:00	8.13	8.198	7.908	8.002	11944
03.04.2024 00:00	8.002	8.104000000000001	7.998	7.998	7707
04.04.2024 00:00	8.002	8.07	8.002	8.044	6081
05.04.2024 00:00	8.038	8.14	8.006	8.046	5760
08.04.2024 00:00	8.046	8.13	7.998	8.014	8554
09.04.2024 00:00	8.024000000000001	8.178	8.024000000000001	8.054	8757
10.04.2024 00:00	8.056000000000001	8.072000000000001	8.002	8.05	5918
11.04.2024 00:00	8.05	8.07	7.998	8.040000000000001	6121
12.04.2024 00:00	8.044	8.044	7.99	8.002	7348
15.04.2024 00:00	8.028	8.124	7.984	8.006	12348
16.04.2024 00:00	8.098	8.184000000000001	7.95	8.038	47698
17.04.2024 00:00	8.092	8.184000000000001	8.06	8.15	17686
18.04.2024 00:00	8.156	8.274000000000001	8.072000000000001	8.268	20308
19.04.2024 00:00	8.268	8.326	8.15	8.184000000000001	15505
22.04.2024 00:00	8.188	8.278	8.072000000000001	8.118	16312
23.04.2024 00:00	8.118	8.156	8.044	8.092	8176
24.04.2024 00:00	8.14	8.166	7.998	8.018	10211
25.04.2024 00:00	8.018	8.062	7.998	8.038	9504
26.04.2024 00:00	8.038	8.098	8.006	8.040000000000001	10299
27.04.2024 00:00	8.044	8.076	7.998	8.028	6790
29.04.2024 00:00	8.028	8.088000000000001	7.982	8.05	6155
30.04.2024 00:00	8.078	8.086	8.002	8.022	3808
02.05.2024 00:00	8.028	8.040000000000001	7.916	7.97	7645
03.05.2024 00:00	7.974	8.062	7.91	7.964	5025
06.05.2024 00:00	7.95	7.95	7.678	7.736	18820
07.05.2024 00:00	7.75	7.928	7.652	7.816	10712
08.05.2024 00:00	7.838	7.838	7.7	7.724	7335
10.05.2024 00:00	7.724	7.8	7.704	7.732	2424
13.05.2024 00:00	7.736	7.836	7.724	7.764	6371
14.05.2024 00:00	7.806	7.824	7.602	7.686	7313
15.05.2024 00:00	7.686	7.732	7.53	7.574	9749
16.05.2024 00:00	7.622	7.628	7.5	7.548	6467
17.05.2024 00:00	7.548	7.586	7.49	7.49	8557
20.05.2024 00:00	7.498	7.5120000000000005	7.384	7.404	16533
21.05.2024 00:00	7.408	7.436	7.058	7.202	14086
22.05.2024 00:00	7.202	7.236	7.15	7.232	6995
23.05.2024 00:00	7.232	7.328	7.15	7.224	5726
24.05.2024 00:00	7.23	7.232	7.118	7.152	4433
27.05.2024 00:00	7.32	7.32	6.998	7.014	10813
28.05.2024 00:00	7.15	7.15	6.686	6.7940000000000005	21203
29.05.2024 00:00	6.796	6.816	6.548	6.748	9905
30.05.2024 00:00	6.748	6.95	6.65	6.7780000000000005	9931
31.05.2024 00:00	6.606	6.716	6.45	6.45	11002
03.06.2024 00:00	6.45	6.65	5.852	6.2780000000000005	16021
04.06.2024 00:00	6.28	6.5600000000000005	6.216	6.548	10201
05.06.2024 00:00	6.594	6.84	6.5600000000000005	6.75	5851
06.06.2024 00:00	6.752	6.798	6.298	6.57	9312
07.06.2024 00:00	6.57	7.088	6.328	6.756	12178
10.06.2024 00:00	6.95	6.958	6.748	6.756	2131
11.06.2024 00:00	6.87	6.918	6.498	6.534	5872
13.06.2024 00:00	6.434	6.694	6.018	6.41	14605
14.06.2024 00:00	6.412	6.498	6.38	6.402	2256
17.06.2024 00:00	6.402	6.496	6.384	6.4	2532
18.06.2024 00:00	6.44	6.492	6.268	6.402	10980
19.06.2024 00:00	6.402	6.458	6.272	6.38	4434
20.06.2024 00:00	6.38	6.426	6.314	6.368	4739
21.06.2024 00:00	6.368	6.73	6.33	6.668	6590
24.06.2024 00:00	7.218	8.06	6.934	7.78	247792
25.06.2024 00:00	7.838	8.05	7.014	7.102	131986
26.06.2024 00:00	7.2	7.4	6.9	6.95	54052
27.06.2024 00:00	7.048	7.136	6.746	6.886	30766
