datetime	open	high	low	close	volume
07.03.2018 00:00	9.65	9.65	9.595	9.595	20
09.03.2018 00:00	9.55	9.55	9.445	9.495000000000001	27
12.03.2018 00:00	9.65	9.845	9.445	9.55	18
13.03.2018 00:00	9.8	10.095	9.695	9.695	4
14.03.2018 00:00	9.65	10.095	9.65	9.845	539
15.03.2018 00:00	9.845	9.845	9.595	9.65	687
16.03.2018 00:00	9.595	9.65	9.445	9.55	263
19.03.2018 00:00	9.845	9.845	9.4	9.445	50
20.03.2018 00:00	9.55	9.595	9.4	9.595	149
21.03.2018 00:00	9.595	9.595	9.095	9.245000000000001	699
22.03.2018 00:00	9.195	9.195	8.995000000000001	9.095	910
23.03.2018 00:00	8.995000000000001	9.05	8.945	9.05	70
26.03.2018 00:00	9.15	9.15	8.65	8.695	467
27.03.2018 00:00	8.695	8.695	8.345	8.495000000000001	626
28.03.2018 00:00	8.495000000000001	8.8	8.345	8.495000000000001	109
29.03.2018 00:00	8.55	8.65	8.4	8.55	812
30.03.2018 00:00	8.495000000000001	8.55	8.345	8.55	235
02.04.2018 00:00	8.595	8.65	8.4	8.55	33
03.04.2018 00:00	8.55	8.695	8.345	8.55	38
04.04.2018 00:00	8.595	8.65	8.445	8.65	16
05.04.2018 00:00	8.55	8.55	7.995	8.095	315
06.04.2018 00:00	8.15	8.15	7.795	7.845	274
09.04.2018 00:00	7.745	8.4	6.995	7.4	479
10.04.2018 00:00	7.45	7.795	6.795	7.4	271
11.04.2018 00:00	6.995	7.9	6.995	7.595	144
12.04.2018 00:00	7.7	7.9	7.495	7.7	192
13.04.2018 00:00	7.65	7.9	7.45	7.7	43
16.04.2018 00:00	7.795	8.05	7.795	7.995	97
17.04.2018 00:00	7.795	7.795	7.495	7.7	543
18.04.2018 00:00	7.65	7.795	7.295	7.7	413
19.04.2018 00:00	7.7	7.7	7.15	7.2	433
20.04.2018 00:00	7.2	7.545	6.995	7.095	646
23.04.2018 00:00	7.345	7.45	7.045	7.2	69
24.04.2018 00:00	7.245	7.4	7.15	7.295	55
25.04.2018 00:00	7.345	7.345	7.245	7.245	164
26.04.2018 00:00	7.4	7.495	7.2	7.295	324
27.04.2018 00:00	7.245	8.9	7.15	7.495	86
28.04.2018 00:00	7.4	8.9	7.15	7.45	265
30.04.2018 00:00	8.05	8.05	7.595	7.995	93
02.05.2018 00:00	7.9	8.195	7.595	8.195	138
03.05.2018 00:00	7.995	7.995	6.845	7.595	174
04.05.2018 00:00	7.595	7.7	7.595	7.65	14
07.05.2018 00:00	7.545	7.545	7.095	7.15	611
08.05.2018 00:00	7.095	7.2	6.95	7.045	678
10.05.2018 00:00	7.045	7.045	6.995	7.045	53
11.05.2018 00:00	6.995	7.045	6.95	6.995	99
14.05.2018 00:00	6.995	7.045	6.995	6.995	171
15.05.2018 00:00	6.995	6.995	6.845	6.995	235
16.05.2018 00:00	7.045	7.045	6.795	6.795	255
17.05.2018 00:00	6.9	6.995	6.845	6.95	111
18.05.2018 00:00	6.95	6.995	6.9	6.9	44
21.05.2018 00:00	6.95	7.795	6.745	6.795	214
22.05.2018 00:00	6.795	7.345	6.745	7.2	2077
23.05.2018 00:00	7.2	7.345	6.795	7.15	583
24.05.2018 00:00	7.095	7.095	6.9	6.995	30
25.05.2018 00:00	6.845	7.095	6.545	6.745	716
28.05.2018 00:00	7.2	7.2	6.7	6.7	95
29.05.2018 00:00	6.745	7.15	6.7	6.745	103
30.05.2018 00:00	6.65	6.95	6.495	6.95	128
31.05.2018 00:00	6.795	6.845	6.495	6.745	131
01.06.2018 00:00	6.745	7.045	6.65	6.745	62
04.06.2018 00:00	7.095	7.095	6.845	6.845	84
05.06.2018 00:00	6.795	6.995	6.545	6.65	180
06.06.2018 00:00	6.7	6.795	6.245	6.45	457
07.06.2018 00:00	6.45	6.545	6.295	6.295	580
08.06.2018 00:00	6.345	6.4	6.095	6.245	294
09.06.2018 00:00	6.2	6.9	6.2	6.9	398
11.06.2018 00:00	6.545	6.9	6.345	6.595	489
13.06.2018 00:00	6.45	6.495	5.9	5.995	3421
14.06.2018 00:00	6.045	6.045	5.745	5.9	671
15.06.2018 00:00	5.995	5.995	5.7	5.795	165
18.06.2018 00:00	5.745	5.795	5.495	5.7	244
19.06.2018 00:00	5.7	7.595	5.345	6.95	5888
