datetime	open	high	low	close	volume
04.01.2000 00:00	297.0	299.0	290.0	295.0	14348
05.01.2000 00:00	315.0	339.0	306.5	339.0	92087
06.01.2000 00:00	339.0	349.0	339.0	348.5	42145
07.01.2000 00:00	339.0	349.0	339.0	348.5	42145
10.01.2000 00:00	380.0	388.0	360.0	388.0	101326
11.01.2000 00:00	366.0	378.0	365.0	368.5	78531
12.01.2000 00:00	370.0	383.0	346.0	380.0	90752
13.01.2000 00:00	380.5	395.0	375.0	384.0	73829
14.01.2000 00:00	391.0	396.0	384.5	392.0	118629
17.01.2000 00:00	392.0	397.0	374.0	378.0	74258
18.01.2000 00:00	373.0	382.0	360.0	360.0	80639
19.01.2000 00:00	361.0	362.0	344.5	350.0	48016
20.01.2000 00:00	354.0	364.5	354.0	364.5	45218
21.01.2000 00:00	364.0	378.5	364.0	372.0	43271
24.01.2000 00:00	376.0	383.0	350.0	351.0	51614
25.01.2000 00:00	345.0	347.0	332.0	337.0	53678
26.01.2000 00:00	340.0	344.0	330.0	342.0	60202
27.01.2000 00:00	347.0	347.0	338.0	345.0	37467
28.01.2000 00:00	347.0	348.0	327.5	333.0	42055
31.01.2000 00:00	315.0	323.0	310.0	315.0	68629
01.02.2000 00:00	319.0	328.5	311.0	315.0	70539
02.02.2000 00:00	325.0	325.5	304.0	317.5	123331
03.02.2000 00:00	320.0	329.5	317.0	326.0	57125
04.02.2000 00:00	335.0	337.0	330.0	333.0	85244
07.02.2000 00:00	337.0	342.0	326.0	329.0	47852
08.02.2000 00:00	331.5	349.0	331.5	349.0	115564
09.02.2000 00:00	358.5	362.5	347.0	347.0	4351008
10.02.2000 00:00	342.0	352.0	341.0	345.0	181849
11.02.2000 00:00	350.0	351.0	337.0	340.5	146276
14.02.2000 00:00	354.0	360.0	335.0	340.0	254603
15.02.2000 00:00	339.0	339.0	321.0	321.0	73340
16.02.2000 00:00	327.0	330.5	318.0	321.0	286012
17.02.2000 00:00	315.0	329.0	313.0	327.0	244507
18.02.2000 00:00	323.0	326.0	319.0	320.0	151991
21.02.2000 00:00	302.0	316.0	302.0	315.5	37370
22.02.2000 00:00	311.0	320.0	307.0	320.0	50769
23.02.2000 00:00	319.0	325.0	317.0	321.0	86600
24.02.2000 00:00	324.0	329.5	321.5	325.5	109953
25.02.2000 00:00	320.0	320.0	302.0	305.0	171824
28.02.2000 00:00	305.0	320.0	287.0	290.5	151852
29.02.2000 00:00	293.5	299.0	288.0	298.0	154863
01.03.2000 00:00	302.0	318.0	300.0	315.5	3378156
02.03.2000 00:00	323.5	326.0	312.0	322.5	132652
03.03.2000 00:00	322.5	335.0	322.0	333.0	200355
06.03.2000 00:00	336.0	339.0	325.0	325.0	140492
07.03.2000 00:00	327.0	343.0	322.5	342.0	190108
08.03.2000 00:00	327.0	343.0	322.5	342.0	190108
09.03.2000 00:00	355.5	370.5	347.0	365.5	261677
10.03.2000 00:00	375.0	394.0	369.0	384.5	251395
13.03.2000 00:00	377.0	385.0	357.5	360.0	177810
14.03.2000 00:00	372.0	396.0	372.0	388.5	259052
15.03.2000 00:00	387.0	397.5	381.0	391.0	218037
16.03.2000 00:00	396.0	397.0	389.0	394.0	142767
17.03.2000 00:00	401.5	405.0	392.5	397.0	246387
20.03.2000 00:00	397.0	397.0	386.0	390.0	85627
21.03.2000 00:00	383.5	387.5	370.0	374.0	223049
22.03.2000 00:00	383.0	400.0	380.0	396.0	296878
23.03.2000 00:00	402.0	434.0	402.0	419.0	311774
24.03.2000 00:00	430.5	455.0	429.0	451.5	2262836
27.03.2000 00:00	430.5	455.0	429.0	451.5	2262836
28.03.2000 00:00	420.0	443.0	415.0	425.0	265331
29.03.2000 00:00	433.0	435.0	420.0	433.5	148793
30.03.2000 00:00	432.0	432.0	405.0	407.0	189084
31.03.2000 00:00	405.0	445.0	401.0	443.0	187535
03.04.2000 00:00	450.5	458.0	434.5	435.0	186863
04.04.2000 00:00	438.0	455.0	435.0	453.0	228423
05.04.2000 00:00	439.0	455.0	413.0	421.0	242811
06.04.2000 00:00	426.0	445.0	422.0	445.0	158889
07.04.2000 00:00	445.5	445.5	430.0	441.0	211745
10.04.2000 00:00	439.0	454.0	439.0	449.0	151339
11.04.2000 00:00	445.0	445.0	433.5	434.0	211269
12.04.2000 00:00	438.0	441.5	432.0	438.0	76569
13.04.2000 00:00	430.0	437.0	429.0	429.0	258358
14.04.2000 00:00	428.5	438.0	420.0	425.0	126889
17.04.2000 00:00	400.0	405.0	386.0	392.0	95767
18.04.2000 00:00	407.0	412.0	382.0	390.0	171077
19.04.2000 00:00	409.0	409.0	389.0	390.0	98418
20.04.2000 00:00	387.0	403.0	387.0	402.5	43500
21.04.2000 00:00	402.5	405.0	397.0	398.5	167791
24.04.2000 00:00	394.0	397.0	382.0	388.5	62632
25.04.2000 00:00	388.0	393.5	387.0	388.5	86818
26.04.2000 00:00	400.0	415.0	396.0	407.0	157516
27.04.2000 00:00	407.0	424.0	400.0	408.0	160499
28.04.2000 00:00	421.0	428.5	417.5	428.5	124587
01.05.2000 00:00	421.0	428.5	417.5	428.5	124587
02.05.2000 00:00	421.0	428.5	417.5	428.5	124587
03.05.2000 00:00	432.0	441.0	432.0	434.0	107865
04.05.2000 00:00	432.0	435.0	429.0	432.5	84110
05.05.2000 00:00	435.0	437.0	428.0	433.0	44777
08.05.2000 00:00	438.0	442.0	436.0	439.0	60076
09.05.2000 00:00	438.0	442.0	436.0	439.0	60076
10.05.2000 00:00	440.0	442.0	429.0	431.5	117153
11.05.2000 00:00	439.5	439.5	419.0	427.0	63425
12.05.2000 00:00	430.0	432.0	416.0	423.5	67833
15.05.2000 00:00	420.0	420.0	412.0	415.5	57853
16.05.2000 00:00	423.0	440.0	419.0	436.5	2101473
17.05.2000 00:00	433.0	436.0	416.5	417.0	198943
18.05.2000 00:00	410.0	417.5	395.0	409.0	235519
19.05.2000 00:00	404.0	405.0	369.0	370.0	170290
22.05.2000 00:00	372.0	378.5	365.0	370.5	161279
23.05.2000 00:00	366.0	370.0	340.0	352.5	237182
24.05.2000 00:00	340.0	351.0	300.0	341.0	267801
25.05.2000 00:00	347.0	375.0	347.0	375.0	295310
26.05.2000 00:00	360.0	394.0	360.0	384.0	156007
29.05.2000 00:00	390.0	398.0	375.0	380.5	47644
30.05.2000 00:00	384.0	389.5	375.5	380.0	72998
