datetime	open	high	low	close	volume
15.02.2013 00:00	58.14	58.14	51.22	54.99	608255
18.02.2013 00:00	54.99	56.6	54.17	56.1	553469
19.02.2013 00:00	56.53	56.6	55.95	55.99	176163
20.02.2013 00:00	56.29	56.49	54.97	55.39	143860
21.02.2013 00:00	55.17	55.38	54.4	54.6	51935
22.02.2013 00:00	55.81	55.81	53.88	54.42	123487
25.02.2013 00:00	54.75	54.79	54.06	54.74	10600
26.02.2013 00:00	54.56	54.74	52.56	54.17	149303
27.02.2013 00:00	54.24	54.24	53.39	54.18	276476
28.02.2013 00:00	54.74	54.74	53.49	53.88	36184
01.03.2013 00:00	53.7	54.28	52.49	52.49	235684
04.03.2013 00:00	52.49	52.96	52.29	52.7	204895
05.03.2013 00:00	52.88	54.17	52.7	53.95	58542
06.03.2013 00:00	53.29	54.2	53.29	53.79	108054
07.03.2013 00:00	53.49	54.2	53.42	53.96	57378
08.03.2013 00:00	53.49	54.2	53.42	53.96	57378
11.03.2013 00:00	53.97	54.6	53.27	53.99	155346
12.03.2013 00:00	53.52	54.79	53.28	54.61	170775
13.03.2013 00:00	54.22	55.07	54.21	54.63	438316
14.03.2013 00:00	54.79	55.14	54.29	54.99	269098
15.03.2013 00:00	54.99	55.24	54.15	54.99	905901
18.03.2013 00:00	52.89	53.42	51.1	52.92	114396
19.03.2013 00:00	53.2	53.2	51.86	51.9	140804
20.03.2013 00:00	49.4	52.35	49.4	52.24	101321
21.03.2013 00:00	52.56	52.95	51.95	52.13	40740
22.03.2013 00:00	52.29	52.29	51.49	51.56	45661
25.03.2013 00:00	52.38	52.38	51.79	51.82	19982
26.03.2013 00:00	51.54	51.99	50.29	51.49	33892
27.03.2013 00:00	52.03	52.03	50.54	51.24	26560
28.03.2013 00:00	50.99	50.99	48.79	48.99	62875
29.03.2013 00:00	49.49	51.95	48.99	51.85	38866
01.04.2013 00:00	50.17	50.17	49.15	49.75	7979
02.04.2013 00:00	49.6	49.63	48.38	48.43	16838
03.04.2013 00:00	48.52	48.52	47.88	48.28	13319
04.04.2013 00:00	48.06	48.64	47.42	48.13	18176
05.04.2013 00:00	48.42	48.6	47.49	48.13	12394
08.04.2013 00:00	48.67	48.88	47.49	47.52	11053
09.04.2013 00:00	48.22	48.22	47.39	47.45	20998
10.04.2013 00:00	47.99	47.99	46.74	46.88	42417
11.04.2013 00:00	47.21	47.6	45.63	45.85	60214
12.04.2013 00:00	45.7	45.96	44.99	45.49	46935
15.04.2013 00:00	45.49	46.2	45.42	45.61	139363
16.04.2013 00:00	45.77	45.77	42.56	43.45	57848
17.04.2013 00:00	43.88	44.47	43.1	43.28	103405
18.04.2013 00:00	43.49	43.49	42.57	42.99	88860
19.04.2013 00:00	43.17	43.56	42.99	43.49	133426
22.04.2013 00:00	43.99	44.04	43.49	43.53	47255
23.04.2013 00:00	43.7	44.07	43.63	43.99	83573
24.04.2013 00:00	44.02	44.49	44.02	44.42	45631
25.04.2013 00:00	44.42	44.63	44.0	44.18	55625
26.04.2013 00:00	44.49	44.95	44.2	44.6	82201
29.04.2013 00:00	44.9	45.0	44.39	44.56	18719
30.04.2013 00:00	44.9	45.0	44.29	44.7	32354
01.05.2013 00:00	44.9	45.0	44.29	44.7	32354
02.05.2013 00:00	44.54	44.54	43.74	44.39	16964
03.05.2013 00:00	44.39	45.74	44.21	44.85	17351
06.05.2013 00:00	45.28	47.82	45.28	46.1	68609
07.05.2013 00:00	46.14	49.89	46.14	47.54	47751
08.05.2013 00:00	47.35	48.99	47.0	48.78	69054
09.05.2013 00:00	47.35	48.99	47.0	48.78	69054
10.05.2013 00:00	48.56	49.32	48.53	48.7	73884
13.05.2013 00:00	49.27	49.99	48.63	49.18	28363
14.05.2013 00:00	48.96	50.13	48.67	49.85	59550
15.05.2013 00:00	49.99	50.13	49.61	49.84	107480
16.05.2013 00:00	49.99	50.1	49.89	50.1	21691
17.05.2013 00:00	50.1	50.28	49.99	50.07	13034
20.05.2013 00:00	49.99	51.2	49.99	50.95	55112
21.05.2013 00:00	50.13	51.49	45.24	51.35	87735
22.05.2013 00:00	51.35	55.06	51.35	54.99	190232
23.05.2013 00:00	54.35	54.42	53.49	53.56	53408
24.05.2013 00:00	53.82	53.92	52.5	53.18	50336
27.05.2013 00:00	53.28	53.39	52.81	53.13	36007
28.05.2013 00:00	53.24	53.96	53.2	53.89	25651
29.05.2013 00:00	53.38	53.71	52.79	53.52	63705
