datetime	open	high	low	close	volume
09.03.2018 00:00	0.58	0.58	0.58	0.58	1
12.03.2018 00:00	0.592	0.596	0.584	0.588	64
13.03.2018 00:00	0.584	0.588	0.58	0.582	14
14.03.2018 00:00	0.58	0.592	0.5760000000000001	0.58	12
15.03.2018 00:00	0.578	0.594	0.578	0.592	17
16.03.2018 00:00	0.5760000000000001	0.59	0.5640000000000001	0.58	38
19.03.2018 00:00	0.59	0.6	0.584	0.598	18
20.03.2018 00:00	0.596	0.606	0.584	0.598	23
21.03.2018 00:00	0.598	0.604	0.594	0.6	53
22.03.2018 00:00	0.6	0.6	0.598	0.598	6
23.03.2018 00:00	0.598	0.598	0.596	0.596	6
26.03.2018 00:00	0.592	0.592	0.456	0.502	1033
27.03.2018 00:00	0.5	0.5	0.47000000000000003	0.486	331
28.03.2018 00:00	0.482	0.494	0.47200000000000003	0.484	105
29.03.2018 00:00	0.484	0.496	0.47800000000000004	0.484	75
30.03.2018 00:00	0.47600000000000003	0.496	0.468	0.486	62
02.04.2018 00:00	0.47800000000000004	0.47800000000000004	0.47000000000000003	0.47600000000000003	45
03.04.2018 00:00	0.47400000000000003	0.47400000000000003	0.464	0.468	102
04.04.2018 00:00	0.468	0.47400000000000003	0.458	0.464	100
05.04.2018 00:00	0.464	0.468	0.46	0.468	57
06.04.2018 00:00	0.468	0.468	0.458	0.468	39
09.04.2018 00:00	0.47400000000000003	0.47400000000000003	0.406	0.426	184
10.04.2018 00:00	0.418	0.448	0.41000000000000003	0.426	52
11.04.2018 00:00	0.428	0.438	0.418	0.438	41
12.04.2018 00:00	0.436	0.438	0.41600000000000004	0.41600000000000004	9
13.04.2018 00:00	0.422	0.438	0.422	0.438	12
16.04.2018 00:00	0.41200000000000003	0.45	0.41200000000000003	0.43	5
17.04.2018 00:00	0.43	0.458	0.428	0.448	37
18.04.2018 00:00	0.448	0.464	0.432	0.458	26
19.04.2018 00:00	0.456	0.464	0.444	0.464	8
20.04.2018 00:00	0.454	0.462	0.448	0.456	16
24.04.2018 00:00	0.45	0.462	0.45	0.45	3
25.04.2018 00:00	0.45	0.464	0.442	0.458	37
26.04.2018 00:00	0.458	0.458	0.436	0.45	17
27.04.2018 00:00	0.448	0.448	0.44	0.44	4
28.04.2018 00:00	0.45	0.45	0.45	0.45	4
30.04.2018 00:00	0.44	0.442	0.44	0.442	2
02.05.2018 00:00	0.45	0.452	0.45	0.45	2
03.05.2018 00:00	0.442	0.45	0.438	0.45	4
04.05.2018 00:00	0.44	0.45	0.438	0.438	3
07.05.2018 00:00	0.43	0.448	0.424	0.424	14
08.05.2018 00:00	0.426	0.438	0.426	0.434	29
10.05.2018 00:00	0.43	0.438	0.428	0.438	7
11.05.2018 00:00	0.428	0.43	0.428	0.43	4
14.05.2018 00:00	0.46	0.46	0.436	0.438	4
15.05.2018 00:00	0.43	0.438	0.43	0.438	32
16.05.2018 00:00	0.434	0.434	0.4	0.41400000000000003	104
17.05.2018 00:00	0.41400000000000003	0.418	0.404	0.40800000000000003	45
18.05.2018 00:00	0.40800000000000003	0.40800000000000003	0.40800000000000003	0.40800000000000003	3
21.05.2018 00:00	0.41200000000000003	0.41400000000000003	0.41200000000000003	0.41200000000000003	2
22.05.2018 00:00	0.41000000000000003	0.432	0.40800000000000003	0.41000000000000003	20
