datetime	open	high	low	close	volume
08.11.2007 00:00	7.2	7.4	5.995	7.11	281500
09.11.2007 00:00	7.15	8.865	6.9	7.0	268500
12.11.2007 00:00	7.495	7.495	6.595	6.995	455500
13.11.2007 00:00	6.995	6.995	6.845	6.885	24400
14.11.2007 00:00	7.2	7.2	6.745	6.765000000000001	28100
15.11.2007 00:00	6.885	6.885	6.755	6.82	7200
16.11.2007 00:00	6.705	6.995	6.705	6.795	27500
19.11.2007 00:00	6.795	6.795	6.7	6.7	15000
20.11.2007 00:00	6.7	6.7	6.345	6.455	41500
21.11.2007 00:00	6.45	6.455	6.265000000000001	6.275	68000
22.11.2007 00:00	6.295	7.095	6.135	6.135	83700
23.11.2007 00:00	6.2	6.2	5.995	6.095	37200
26.11.2007 00:00	6.095	7.995	6.055	6.095	209800
27.11.2007 00:00	6.095	6.335	6.095	6.140000000000001	30800
28.11.2007 00:00	6.11	6.49	6.11	6.465	68200
29.11.2007 00:00	6.495	6.495	5.995	6.16	40800
30.11.2007 00:00	6.2	6.795	6.015000000000001	6.75	103300
03.12.2007 00:00	6.2	6.6850000000000005	6.2	6.575	143300
04.12.2007 00:00	6.7	6.7	6.495	6.495	63200
05.12.2007 00:00	6.995	6.995	6.5600000000000005	6.595	249900
06.12.2007 00:00	6.545	6.640000000000001	6.305	6.535	55700
07.12.2007 00:00	6.495	6.61	6.495	6.525	919100
10.12.2007 00:00	6.7	6.7	6.4	6.545	47900
11.12.2007 00:00	6.415	6.545	6.415	6.505	3600
12.12.2007 00:00	6.545	6.545	6.49	6.525	270600
13.12.2007 00:00	6.515000000000001	6.515000000000001	6.3	6.415	67700
14.12.2007 00:00	6.53	6.595	6.4	6.45	184200
17.12.2007 00:00	6.545	6.545	6.345	6.345	30100
18.12.2007 00:00	6.325	6.325	6.265000000000001	6.3	20700
19.12.2007 00:00	6.285	6.44	6.285	6.44	8000
20.12.2007 00:00	6.4	6.4	6.11	6.345	212800
21.12.2007 00:00	6.295	6.345	6.255	6.265000000000001	55900
24.12.2007 00:00	6.095	6.295	6.095	6.22	53700
25.12.2007 00:00	6.265000000000001	6.295	6.095	6.295	215300
26.12.2007 00:00	6.12	6.285	6.095	6.105	233800
27.12.2007 00:00	6.285	6.285	6.135	6.16	66100
28.12.2007 00:00	6.545	6.545	6.275	6.32	856500
09.01.2008 00:00	6.4	6.495	6.33	6.345	29800
10.01.2008 00:00	6.545	6.545	6.25	6.365	196800
11.01.2008 00:00	6.345	6.38	6.245	6.345	105200
14.01.2008 00:00	6.005	6.295	6.005	6.2	305300
15.01.2008 00:00	6.305	6.345	6.11	6.15	111900
16.01.2008 00:00	6.0	6.115	5.72	5.795	224600
17.01.2008 00:00	5.99	5.995	5.745	5.845	139200
18.01.2008 00:00	5.795	5.9	5.5	5.535	664100
21.01.2008 00:00	5.4	5.595	5.0	5.2	192300
22.01.2008 00:00	4.845	5.345	4.795	5.245	411700
23.01.2008 00:00	5.295	5.345	4.795	5.215	520800
24.01.2008 00:00	5.245	5.345	5.095	5.325	377100
