datetime	open	high	low	close	volume
14.12.2020 00:00	67.99	68.99	66.49	67.9	258506
15.12.2020 00:00	67.98	68.51	66.87	67.79	31208
16.12.2020 00:00	68.4	68.54	66.59	66.87	52089
17.12.2020 00:00	66.9	67.7	65.49	65.79	23412
18.12.2020 00:00	65.01	66.48	64.99	65.51	8462
21.12.2020 00:00	65.79	66.4	64.09	64.49	17748
22.12.2020 00:00	64.35	65.9	63.47	63.5	12983
23.12.2020 00:00	63.54	64.9	62.54	64.48	7595
24.12.2020 00:00	64.49	64.51	61.89	62.71	36769
25.12.2020 00:00	62.5	64.4	62.5	64.24	13780
28.12.2020 00:00	64.4	64.4	62.25	62.42	35498
29.12.2020 00:00	62.65	63.89	62.35	63.38	7740
30.12.2020 00:00	63.11	63.99	62.46	63.99	4653
04.01.2021 00:00	63.32	65.23	63.29	63.99	8003
05.01.2021 00:00	64.01	64.95	63.89	64.93	6613
06.01.2021 00:00	64.95	66.34	63.99	64.4	9832
08.01.2021 00:00	64.12	64.99	63.89	64.31	6396
11.01.2021 00:00	64.99	65.87	62.99	64.65	23923
12.01.2021 00:00	64.4	66.29	64.4	65.62	11332
13.01.2021 00:00	65.99	66.59	65.51	65.9	5190
14.01.2021 00:00	66.6	67.4	65.51	66.68	6292
15.01.2021 00:00	66.26	67.49	64.87	64.98	9332
18.01.2021 00:00	65.35	67.49	64.23	65.87	9291
19.01.2021 00:00	65.59	65.9	64.99	65.4	2526
20.01.2021 00:00	65.63	65.63	64.49	64.95	4896
21.01.2021 00:00	64.81	65.45	63.6	64.06	10056
22.01.2021 00:00	64.18	65.29	63.7	64.48	5039
25.01.2021 00:00	65.15	65.29	64.07000000000001	64.68	8685
26.01.2021 00:00	64.65	65.38	64.62	64.79	4144
27.01.2021 00:00	65.4	65.99	64.62	64.63	7716
28.01.2021 00:00	65.88	66.06	64.62	64.65	3607
29.01.2021 00:00	64.95	65.77	64.29	65.02	4082
01.02.2021 00:00	65.04	65.35	64.51	64.95	2108
02.02.2021 00:00	64.68	65.9	64.68	65.59	3826
03.02.2021 00:00	65.79	65.98	64.79	65.01	3399
04.02.2021 00:00	65.63	65.63	63.54	64.24	11634
05.02.2021 00:00	64.85	64.99	63.99	64.18	5525
08.02.2021 00:00	64.18	64.95	63.74	63.99	8394
09.02.2021 00:00	63.85	64.7	62.88	62.99	15603
10.02.2021 00:00	63.95	63.95	61.92	62.09	27017
11.02.2021 00:00	62.09	62.49	59.74	59.99	64944
12.02.2021 00:00	60.27	60.54	57.49	59.53	37161
15.02.2021 00:00	59.97	61.1	59.24	60.45	29454
16.02.2021 00:00	60.99	61.09	59.49	59.96	20458
17.02.2021 00:00	59.92	60.35	59.24	59.49	9619
18.02.2021 00:00	60.17	61.1	56.7	56.99	36091
19.02.2021 00:00	57.49	58.29	55.63	56.67	30257
20.02.2021 00:00	56.81	58.99	56.81	57.99	21113
22.02.2021 00:00	58.1	58.99	56.67	58.36	11431
24.02.2021 00:00	58.67	58.85	57.5	57.52	6047
25.02.2021 00:00	57.97	58.09	57.49	57.81	6871
26.02.2021 00:00	57.92	57.99	55.52	57.52	6845
01.03.2021 00:00	57.49	58.2	57.04	57.52	4388
02.03.2021 00:00	57.49	57.78	56.85	57.17	6882
03.03.2021 00:00	57.1	57.99	56.9	57.56	7160
04.03.2021 00:00	57.81	57.81	57.02	57.47	7165
05.03.2021 00:00	57.99	57.99	57.0	57.27	3482
09.03.2021 00:00	57.96	57.96	57.0	57.38	6392
10.03.2021 00:00	57.35	57.81	56.92	57.53	8508
11.03.2021 00:00	57.84	57.84	57.4	57.6	3769
12.03.2021 00:00	57.84	57.88	57.1	57.11	4175
