datetime	open	high	low	close	volume
12.12.2019 00:00	250.0	270.0	250.0	270.0	1004
13.12.2019 00:00	275.0	375.0	275.0	375.0	1989
16.12.2019 00:00	410.0	520.0	410.0	520.0	186
17.12.2019 00:00	570.0	570.0	570.0	570.0	80
18.12.2019 00:00	625.0	625.0	440.0	500.0	914
19.12.2019 00:00	505.0	545.0	450.0	475.0	456
20.12.2019 00:00	450.0	490.0	335.0	415.0	1161
23.12.2019 00:00	435.0	435.0	350.0	365.0	464
24.12.2019 00:00	365.0	400.0	340.0	400.0	822
25.12.2019 00:00	430.0	435.0	380.0	390.0	436
26.12.2019 00:00	400.0	425.0	370.0	380.0	318
27.12.2019 00:00	400.0	520.0	400.0	460.0	1432
30.12.2019 00:00	465.0	495.0	410.0	415.0	1200
03.01.2020 00:00	430.0	440.0	405.0	425.0	357
06.01.2020 00:00	420.0	465.0	370.0	390.0	894
08.01.2020 00:00	395.0	410.0	385.0	395.0	283
09.01.2020 00:00	395.0	400.0	385.0	395.0	110
10.01.2020 00:00	395.0	400.0	390.0	395.0	74
13.01.2020 00:00	395.0	395.0	380.0	385.0	112
14.01.2020 00:00	385.0	390.0	380.0	380.0	74
15.01.2020 00:00	380.0	395.0	375.0	380.0	200
16.01.2020 00:00	375.0	385.0	375.0	380.0	78
17.01.2020 00:00	380.0	380.0	370.0	375.0	148
20.01.2020 00:00	380.0	385.0	365.0	375.0	324
21.01.2020 00:00	365.0	375.0	360.0	370.0	151
22.01.2020 00:00	360.0	370.0	345.0	350.0	361
23.01.2020 00:00	350.0	350.0	330.0	335.0	135
24.01.2020 00:00	340.0	350.0	305.0	335.0	340
27.01.2020 00:00	330.0	340.0	320.0	325.0	103
28.01.2020 00:00	325.0	345.0	320.0	340.0	126
29.01.2020 00:00	335.0	385.0	335.0	345.0	835
30.01.2020 00:00	345.0	360.0	340.0	350.0	231
31.01.2020 00:00	350.0	355.0	330.0	340.0	148
03.02.2020 00:00	340.0	345.0	330.0	335.0	79
04.02.2020 00:00	330.0	340.0	325.0	335.0	63
05.02.2020 00:00	335.0	355.0	335.0	350.0	210
06.02.2020 00:00	345.0	355.0	335.0	340.0	88
07.02.2020 00:00	345.0	350.0	330.0	340.0	103
10.02.2020 00:00	340.0	340.0	325.0	330.0	69
11.02.2020 00:00	330.0	375.0	330.0	340.0	977
12.02.2020 00:00	340.0	355.0	325.0	345.0	467
13.02.2020 00:00	345.0	360.0	330.0	350.0	232
14.02.2020 00:00	350.0	355.0	345.0	355.0	76
17.02.2020 00:00	345.0	355.0	340.0	345.0	94
18.02.2020 00:00	340.0	350.0	335.0	340.0	161
19.02.2020 00:00	340.0	345.0	335.0	335.0	62
20.02.2020 00:00	340.0	350.0	335.0	340.0	66
21.02.2020 00:00	340.0	340.0	335.0	335.0	21
25.02.2020 00:00	340.0	350.0	335.0	335.0	86
26.02.2020 00:00	335.0	345.0	330.0	335.0	42
27.02.2020 00:00	340.0	340.0	320.0	330.0	97
28.02.2020 00:00	240.0	325.0	240.0	300.0	110
02.03.2020 00:00	315.0	325.0	295.0	310.0	76
03.03.2020 00:00	315.0	315.0	300.0	305.0	90
04.03.2020 00:00	305.0	305.0	295.0	300.0	22
05.03.2020 00:00	305.0	315.0	225.0	310.0	202
06.03.2020 00:00	300.0	300.0	280.0	280.0	345
10.03.2020 00:00	260.0	265.0	250.0	265.0	82
11.03.2020 00:00	270.0	270.0	255.0	260.0	45
12.03.2020 00:00	255.0	255.0	230.0	240.0	38
13.03.2020 00:00	230.0	240.0	225.0	235.0	31
16.03.2020 00:00	235.0	235.0	185.0	220.0	103
17.03.2020 00:00	215.0	215.0	195.0	200.0	67
18.03.2020 00:00	200.0	200.0	150.0	155.0	276
19.03.2020 00:00	155.0	165.0	150.0	160.0	185
20.03.2020 00:00	155.0	220.0	155.0	205.0	969
23.03.2020 00:00	190.0	285.0	190.0	260.0	855
24.03.2020 00:00	265.0	305.0	250.0	255.0	384
25.03.2020 00:00	250.0	265.0	235.0	245.0	310
26.03.2020 00:00	235.0	245.0	230.0	245.0	118
27.03.2020 00:00	240.0	245.0	230.0	245.0	11
30.03.2020 00:00	230.0	250.0	230.0	245.0	40
31.03.2020 00:00	245.0	285.0	230.0	280.0	302
01.04.2020 00:00	285.0	300.0	270.0	300.0	214
02.04.2020 00:00	300.0	300.0	275.0	285.0	203
03.04.2020 00:00	275.0	280.0	250.0	260.0	182
06.04.2020 00:00	265.0	280.0	255.0	270.0	320
07.04.2020 00:00	265.0	270.0	260.0	265.0	166
08.04.2020 00:00	265.0	270.0	260.0	265.0	65
09.04.2020 00:00	270.0	285.0	260.0	265.0	184
10.04.2020 00:00	270.0	285.0	270.0	285.0	102
13.04.2020 00:00	280.0	290.0	280.0	285.0	105
14.04.2020 00:00	280.0	280.0	265.0	275.0	198
15.04.2020 00:00	275.0	275.0	265.0	265.0	18
16.04.2020 00:00	260.0	265.0	255.0	265.0	56
17.04.2020 00:00	260.0	265.0	255.0	260.0	23
20.04.2020 00:00	265.0	270.0	260.0	270.0	27
21.04.2020 00:00	260.0	265.0	260.0	265.0	6
22.04.2020 00:00	265.0	265.0	255.0	255.0	124
23.04.2020 00:00	250.0	260.0	250.0	250.0	25
24.04.2020 00:00	250.0	250.0	245.0	245.0	120
27.04.2020 00:00	250.0	255.0	245.0	245.0	35
28.04.2020 00:00	245.0	250.0	245.0	250.0	2
29.04.2020 00:00	250.0	250.0	245.0	250.0	4
30.04.2020 00:00	255.0	260.0	250.0	250.0	16
04.05.2020 00:00	260.0	265.0	255.0	260.0	10
05.05.2020 00:00	260.0	265.0	240.0	255.0	54
06.05.2020 00:00	255.0	255.0	255.0	255.0	4
07.05.2020 00:00	260.0	260.0	255.0	255.0	16
12.05.2020 00:00	250.0	250.0	250.0	250.0	1
13.05.2020 00:00	255.0	255.0	255.0	255.0	1
14.05.2020 00:00	250.0	250.0	245.0	245.0	13
18.05.2020 00:00	250.0	305.0	250.0	260.0	541
19.05.2020 00:00	265.0	275.0	245.0	255.0	98
20.05.2020 00:00	265.0	270.0	245.0	260.0	177
21.05.2020 00:00	265.0	275.0	250.0	255.0	61
22.05.2020 00:00	265.0	270.0	260.0	260.0	63
25.05.2020 00:00	270.0	280.0	255.0	260.0	349
26.05.2020 00:00	260.0	265.0	255.0	260.0	13
27.05.2020 00:00	265.0	265.0	255.0	260.0	52
28.05.2020 00:00	265.0	265.0	260.0	260.0	14
29.05.2020 00:00	265.0	265.0	255.0	260.0	16
01.06.2020 00:00	255.0	260.0	250.0	255.0	52
02.06.2020 00:00	255.0	260.0	240.0	255.0	86
03.06.2020 00:00	250.0	255.0	250.0	250.0	73
04.06.2020 00:00	245.0	250.0	245.0	250.0	63
05.06.2020 00:00	255.0	255.0	250.0	250.0	70
08.06.2020 00:00	250.0	250.0	245.0	250.0	18
09.06.2020 00:00	255.0	255.0	245.0	255.0	76
10.06.2020 00:00	245.0	255.0	245.0	250.0	62
11.06.2020 00:00	245.0	250.0	245.0	250.0	15
15.06.2020 00:00	250.0	250.0	250.0	250.0	1
16.06.2020 00:00	255.0	255.0	245.0	250.0	52
17.06.2020 00:00	255.0	255.0	250.0	250.0	5
18.06.2020 00:00	245.0	255.0	245.0	250.0	67
19.06.2020 00:00	245.0	245.0	245.0	245.0	14
22.06.2020 00:00	245.0	255.0	245.0	255.0	22
23.06.2020 00:00	255.0	255.0	245.0	250.0	83
25.06.2020 00:00	255.0	255.0	245.0	250.0	4
29.06.2020 00:00	245.0	245.0	240.0	245.0	35
30.06.2020 00:00	240.0	245.0	240.0	245.0	2
02.07.2020 00:00	245.0	250.0	245.0	245.0	32
03.07.2020 00:00	240.0	250.0	240.0	245.0	48
06.07.2020 00:00	250.0	250.0	245.0	250.0	16
07.07.2020 00:00	245.0	250.0	240.0	250.0	21
08.07.2020 00:00	250.0	250.0	245.0	250.0	10
09.07.2020 00:00	245.0	250.0	245.0	245.0	63
10.07.2020 00:00	250.0	250.0	245.0	245.0	3
13.07.2020 00:00	250.0	250.0	250.0	250.0	2
14.07.2020 00:00	240.0	240.0	240.0	240.0	51
15.07.2020 00:00	245.0	245.0	230.0	235.0	90
16.07.2020 00:00	240.0	245.0	235.0	245.0	84
17.07.2020 00:00	245.0	245.0	235.0	240.0	38
20.07.2020 00:00	245.0	250.0	245.0	250.0	88
21.07.2020 00:00	245.0	255.0	245.0	255.0	92
22.07.2020 00:00	255.0	255.0	245.0	250.0	48
23.07.2020 00:00	255.0	255.0	235.0	245.0	155
24.07.2020 00:00	240.0	245.0	240.0	245.0	53
27.07.2020 00:00	240.0	245.0	235.0	240.0	246
28.07.2020 00:00	235.0	240.0	235.0	240.0	15
29.07.2020 00:00	240.0	245.0	240.0	240.0	163
30.07.2020 00:00	240.0	245.0	235.0	235.0	32
31.07.2020 00:00	245.0	245.0	235.0	240.0	39
03.08.2020 00:00	245.0	245.0	240.0	245.0	5
04.08.2020 00:00	240.0	245.0	235.0	245.0	99
05.08.2020 00:00	240.0	245.0	240.0	245.0	16
06.08.2020 00:00	240.0	240.0	230.0	240.0	892
07.08.2020 00:00	235.0	240.0	230.0	235.0	135
10.08.2020 00:00	235.0	235.0	230.0	235.0	447
