datetime	open	high	low	close	volume
13.03.2018 00:00	0.28	0.28500000000000003	0.28	0.28500000000000003	30
16.03.2018 00:00	0.28	0.28	0.275	0.275	50
20.03.2018 00:00	0.28	0.28	0.27	0.28	190
21.03.2018 00:00	0.27	0.28	0.27	0.27	10
23.03.2018 00:00	0.275	0.28	0.275	0.28	20
27.03.2018 00:00	0.28500000000000003	0.305	0.28	0.28500000000000003	70
28.03.2018 00:00	0.29	0.425	0.29	0.29	30
29.03.2018 00:00	0.295	0.465	0.29	0.36	3230
30.03.2018 00:00	0.375	0.465	0.375	0.395	5270
02.04.2018 00:00	0.365	0.395	0.34500000000000003	0.385	120
03.04.2018 00:00	0.385	0.39	0.35000000000000003	0.35000000000000003	840
04.04.2018 00:00	0.36	0.385	0.34	0.34500000000000003	510
05.04.2018 00:00	0.36	0.385	0.34	0.385	60
06.04.2018 00:00	0.34500000000000003	0.35000000000000003	0.32	0.34	680
09.04.2018 00:00	0.32	0.33	0.295	0.33	520
10.04.2018 00:00	0.32	0.32	0.28500000000000003	0.32	140
11.04.2018 00:00	0.32	0.33	0.295	0.33	60
16.04.2018 00:00	0.28500000000000003	0.32	0.26	0.305	330
17.04.2018 00:00	0.31	0.32	0.31	0.31	50
18.04.2018 00:00	0.32	0.32	0.32	0.32	20
24.04.2018 00:00	0.33	0.33	0.33	0.33	10
26.04.2018 00:00	0.34	0.34	0.325	0.335	420
27.04.2018 00:00	0.34	0.34	0.325	0.33	480
28.04.2018 00:00	0.295	0.32	0.28	0.305	270
03.05.2018 00:00	0.295	0.325	0.295	0.295	470
04.05.2018 00:00	0.31	0.325	0.31	0.325	120
07.05.2018 00:00	0.305	0.305	0.305	0.305	100
08.05.2018 00:00	0.325	0.34	0.32	0.34	110
10.05.2018 00:00	0.305	0.305	0.3	0.3	790
18.05.2018 00:00	0.3	0.3	0.3	0.3	40
21.05.2018 00:00	0.29	0.355	0.29	0.295	120
23.05.2018 00:00	0.325	0.355	0.305	0.34500000000000003	890
24.05.2018 00:00	0.32	0.32	0.32	0.32	60
25.05.2018 00:00	0.31	0.32	0.31	0.32	180
28.05.2018 00:00	0.3	0.32	0.3	0.3	10
29.05.2018 00:00	0.325	0.325	0.3	0.32	160
30.05.2018 00:00	0.32	0.32	0.305	0.305	30
31.05.2018 00:00	0.305	0.305	0.305	0.305	50
06.06.2018 00:00	0.325	0.33	0.32	0.33	120
08.06.2018 00:00	0.33	0.33	0.33	0.33	10
13.06.2018 00:00	0.305	0.33	0.305	0.33	30
18.06.2018 00:00	0.31	0.32	0.31	0.31	120
19.06.2018 00:00	0.305	0.305	0.305	0.305	400
20.06.2018 00:00	0.325	0.325	0.325	0.325	130
21.06.2018 00:00	0.325	0.325	0.325	0.325	10
26.06.2018 00:00	0.305	0.305	0.305	0.305	10
27.06.2018 00:00	0.305	0.32	0.305	0.32	200
29.06.2018 00:00	0.31	0.31	0.31	0.31	180
02.07.2018 00:00	0.3	0.305	0.3	0.3	910
03.07.2018 00:00	0.31	0.31	0.31	0.31	210
04.07.2018 00:00	0.32	0.32	0.32	0.32	10
05.07.2018 00:00	0.3	0.31	0.295	0.31	2510
06.07.2018 00:00	0.305	0.305	0.305	0.305	10
13.07.2018 00:00	0.335	0.335	0.32	0.32	20
18.07.2018 00:00	0.33	0.335	0.325	0.335	600
19.07.2018 00:00	0.31	0.325	0.31	0.325	70
20.07.2018 00:00	0.305	0.32	0.305	0.32	20
01.08.2018 00:00	0.33	0.33	0.32	0.32	340
02.08.2018 00:00	0.31	0.32	0.31	0.32	20
07.08.2018 00:00	0.32	0.32	0.32	0.32	10
09.08.2018 00:00	0.32	0.32	0.31	0.31	60
10.08.2018 00:00	0.325	0.325	0.325	0.325	100
13.08.2018 00:00	0.305	0.305	0.305	0.305	10
14.08.2018 00:00	0.33	0.33	0.31	0.31	280
15.08.2018 00:00	0.305	0.305	0.305	0.305	10
16.08.2018 00:00	0.32	0.325	0.32	0.32	230
20.08.2018 00:00	0.325	0.33	0.325	0.33	20
23.08.2018 00:00	0.305	0.335	0.305	0.32	70
29.08.2018 00:00	0.335	0.335	0.335	0.335	10
30.08.2018 00:00	0.335	0.335	0.335	0.335	30
31.08.2018 00:00	0.31	0.32	0.295	0.305	810
03.09.2018 00:00	0.32	0.32	0.32	0.32	20
04.09.2018 00:00	0.32	0.32	0.32	0.32	20
05.09.2018 00:00	0.33	0.33	0.32	0.33	590
06.09.2018 00:00	0.32	0.32	0.305	0.31	100
07.09.2018 00:00	0.305	0.305	0.305	0.305	30
12.09.2018 00:00	0.32	0.32	0.28500000000000003	0.295	10070
13.09.2018 00:00	0.295	0.3	0.295	0.295	10000
14.09.2018 00:00	0.305	0.305	0.295	0.295	4970
17.09.2018 00:00	0.305	0.305	0.305	0.305	10
18.09.2018 00:00	0.295	0.3	0.295	0.295	150
19.09.2018 00:00	0.305	0.305	0.305	0.305	20
20.09.2018 00:00	0.295	0.295	0.295	0.295	20
21.09.2018 00:00	0.31	0.31	0.295	0.295	6010
24.09.2018 00:00	0.295	0.295	0.295	0.295	60
25.09.2018 00:00	0.295	0.295	0.295	0.295	500
26.09.2018 00:00	0.305	0.305	0.305	0.305	530
28.09.2018 00:00	0.305	0.305	0.305	0.305	20
01.10.2018 00:00	0.3	0.3	0.295	0.295	50
03.10.2018 00:00	0.305	0.305	0.305	0.305	60
04.10.2018 00:00	0.31	0.31	0.31	0.31	20
05.10.2018 00:00	0.305	0.305	0.305	0.305	5010
09.10.2018 00:00	0.31	0.31	0.31	0.31	10
10.10.2018 00:00	0.3	0.305	0.3	0.305	40
11.10.2018 00:00	0.28500000000000003	0.305	0.28500000000000003	0.305	5130
15.10.2018 00:00	0.3	0.3	0.3	0.3	10
19.10.2018 00:00	0.305	0.305	0.305	0.305	410
25.10.2018 00:00	0.31	0.31	0.3	0.3	30
06.11.2018 00:00	0.3	0.3	0.3	0.3	10
14.11.2018 00:00	0.305	0.305	0.305	0.305	2030
15.11.2018 00:00	0.325	0.325	0.32	0.325	40
16.11.2018 00:00	0.325	0.325	0.32	0.325	40
20.11.2018 00:00	0.31	0.33	0.31	0.33	20
21.11.2018 00:00	0.305	0.33	0.305	0.33	240
22.11.2018 00:00	0.305	0.32	0.3	0.32	90
23.11.2018 00:00	0.305	0.305	0.305	0.305	20
28.11.2018 00:00	0.305	0.305	0.305	0.305	10
29.11.2018 00:00	0.31	0.31	0.31	0.31	80
03.12.2018 00:00	0.33	0.33	0.32	0.33	30
04.12.2018 00:00	0.34	0.355	0.33	0.335	1070
05.12.2018 00:00	0.335	0.335	0.335	0.335	20
06.12.2018 00:00	0.34	0.34	0.34	0.34	310
10.12.2018 00:00	0.34	0.34500000000000003	0.34	0.34500000000000003	410
11.12.2018 00:00	0.34500000000000003	0.34500000000000003	0.34500000000000003	0.34500000000000003	310
18.12.2018 00:00	0.34500000000000003	0.34500000000000003	0.34500000000000003	0.34500000000000003	20
21.12.2018 00:00	0.32	0.32	0.32	0.32	10
25.12.2018 00:00	0.405	0.405	0.31	0.32	6890
26.12.2018 00:00	0.32	0.32	0.32	0.32	10
27.12.2018 00:00	0.33	0.335	0.3	0.32	480
28.12.2018 00:00	0.33	0.33	0.33	0.33	30
29.12.2018 00:00	0.33	0.33	0.33	0.33	20
04.01.2019 00:00	0.33	0.33	0.33	0.33	200
09.01.2019 00:00	0.33	0.33	0.33	0.33	60
10.01.2019 00:00	0.33	0.33	0.33	0.33	1020
11.01.2019 00:00	0.33	0.33	0.33	0.33	70
17.01.2019 00:00	0.33	0.33	0.33	0.33	10
21.01.2019 00:00	0.325	0.325	0.325	0.325	10
23.01.2019 00:00	0.355	0.355	0.33	0.34500000000000003	220
24.01.2019 00:00	0.35000000000000003	0.365	0.28500000000000003	0.295	4550
25.01.2019 00:00	0.31	0.325	0.295	0.32	1530
28.01.2019 00:00	0.305	0.32	0.295	0.31	290
29.01.2019 00:00	0.31	0.31	0.295	0.305	2390
30.01.2019 00:00	0.305	0.305	0.295	0.305	430
31.01.2019 00:00	0.31	0.32	0.31	0.32	830
01.02.2019 00:00	0.305	0.31	0.305	0.305	4030
04.02.2019 00:00	0.295	0.32	0.295	0.32	3400
05.02.2019 00:00	0.3	0.32	0.3	0.32	1140
06.02.2019 00:00	0.31	0.31	0.31	0.31	10
08.02.2019 00:00	0.32	0.325	0.31	0.31	70
14.02.2019 00:00	0.295	0.325	0.295	0.3	8030
15.02.2019 00:00	0.3	0.305	0.295	0.3	2190
18.02.2019 00:00	0.305	0.305	0.3	0.3	70
19.02.2019 00:00	0.295	0.305	0.295	0.305	2840
20.02.2019 00:00	0.305	0.305	0.295	0.295	5050
21.02.2019 00:00	0.295	0.3	0.295	0.3	9300
22.02.2019 00:00	0.295	0.3	0.295	0.3	30
25.02.2019 00:00	0.295	0.3	0.295	0.3	20
26.02.2019 00:00	0.295	0.3	0.295	0.3	70
27.02.2019 00:00	0.295	0.3	0.295	0.3	480
28.02.2019 00:00	0.295	0.3	0.295	0.295	440
01.03.2019 00:00	0.3	0.3	0.295	0.295	16260
04.03.2019 00:00	0.295	0.31	0.295	0.305	210
05.03.2019 00:00	0.3	0.305	0.3	0.3	190
06.03.2019 00:00	0.3	0.3	0.3	0.3	30
07.03.2019 00:00	0.3	0.305	0.3	0.305	20
12.03.2019 00:00	0.305	0.31	0.305	0.305	210
13.03.2019 00:00	0.305	0.31	0.305	0.31	150
14.03.2019 00:00	0.305	0.305	0.305	0.305	10
15.03.2019 00:00	0.31	0.31	0.305	0.31	280
18.03.2019 00:00	0.32	0.325	0.32	0.32	520
19.03.2019 00:00	0.32	0.33	0.32	0.325	150
20.03.2019 00:00	0.325	0.325	0.325	0.325	110
21.03.2019 00:00	0.31	0.33	0.31	0.33	190
22.03.2019 00:00	0.33	0.33	0.32	0.325	80
25.03.2019 00:00	0.32	0.325	0.32	0.325	40
26.03.2019 00:00	0.33	0.34	0.33	0.34	1540
27.03.2019 00:00	0.325	0.335	0.325	0.335	240
28.03.2019 00:00	0.34	0.34500000000000003	0.33	0.34500000000000003	790
29.03.2019 00:00	0.335	0.335	0.33	0.33	220
01.04.2019 00:00	0.34	0.34	0.335	0.335	130
02.04.2019 00:00	0.34	0.34	0.34	0.34	1740
03.04.2019 00:00	0.34	0.34500000000000003	0.34	0.34500000000000003	1380
