datetime	open	high	low	close	volume
13.03.2018 00:00	0.28	0.28	0.28	0.28	190
14.03.2018 00:00	0.28	0.28	0.28	0.28	70
15.03.2018 00:00	0.28	0.28	0.275	0.28	30
21.03.2018 00:00	0.28	0.28	0.28	0.28	10
23.03.2018 00:00	0.28	0.28	0.28	0.28	10
26.03.2018 00:00	0.28500000000000003	0.28500000000000003	0.28500000000000003	0.28500000000000003	40
27.03.2018 00:00	0.275	0.3	0.275	0.28500000000000003	230
28.03.2018 00:00	0.28500000000000003	0.41000000000000003	0.28	0.28	310
29.03.2018 00:00	0.29	0.47000000000000003	0.28	0.365	3520
30.03.2018 00:00	0.365	0.47000000000000003	0.365	0.4	6710
02.04.2018 00:00	0.365	0.4	0.34500000000000003	0.36	170
03.04.2018 00:00	0.355	0.375	0.34	0.375	1560
04.04.2018 00:00	0.39	0.39	0.34	0.355	230
05.04.2018 00:00	0.35000000000000003	0.355	0.34	0.355	100
06.04.2018 00:00	0.35000000000000003	0.35000000000000003	0.335	0.335	90
09.04.2018 00:00	0.34	0.34	0.3	0.3	410
10.04.2018 00:00	0.33	0.34	0.295	0.305	50
11.04.2018 00:00	0.295	0.355	0.295	0.33	80
12.04.2018 00:00	0.33	0.355	0.33	0.355	30
13.04.2018 00:00	0.355	0.355	0.295	0.335	150
17.04.2018 00:00	0.335	0.335	0.335	0.335	4450
19.04.2018 00:00	0.355	0.365	0.355	0.355	10
20.04.2018 00:00	0.365	0.365	0.34	0.365	40
24.04.2018 00:00	0.33	0.34	0.31	0.31	40
25.04.2018 00:00	0.34	0.34500000000000003	0.34	0.34	40
26.04.2018 00:00	0.34	0.34500000000000003	0.32	0.34500000000000003	350
27.04.2018 00:00	0.33	0.33	0.33	0.33	160
28.04.2018 00:00	0.33	0.33	0.33	0.33	390
02.05.2018 00:00	0.33	0.33	0.325	0.325	240
07.05.2018 00:00	0.355	0.355	0.355	0.355	20
10.05.2018 00:00	0.35000000000000003	0.35000000000000003	0.33	0.35000000000000003	20
11.05.2018 00:00	0.325	0.325	0.325	0.325	50
16.05.2018 00:00	0.325	0.325	0.325	0.325	10
17.05.2018 00:00	0.325	0.325	0.325	0.325	10
18.05.2018 00:00	0.325	0.325	0.295	0.325	260
21.05.2018 00:00	0.325	0.34	0.325	0.325	20
23.05.2018 00:00	0.335	0.34	0.32	0.34	40
24.05.2018 00:00	0.32	0.32	0.32	0.32	40
25.05.2018 00:00	0.32	0.32	0.32	0.32	20
29.05.2018 00:00	0.33	0.33	0.33	0.33	20
31.05.2018 00:00	0.32	0.32	0.32	0.32	30
06.06.2018 00:00	0.34	0.34	0.32	0.325	390
07.06.2018 00:00	0.33	0.36	0.33	0.34	60
09.06.2018 00:00	0.335	0.335	0.335	0.335	10
15.06.2018 00:00	0.32	0.335	0.32	0.335	50
18.06.2018 00:00	0.32	0.325	0.32	0.325	50
21.06.2018 00:00	0.32	0.32	0.32	0.32	60
28.06.2018 00:00	0.33	0.33	0.33	0.33	890
02.07.2018 00:00	0.32	0.32	0.31	0.31	1140
05.07.2018 00:00	0.31	0.31	0.31	0.31	5000
16.07.2018 00:00	0.31	0.31	0.31	0.31	40
17.07.2018 00:00	0.31	0.31	0.31	0.31	10
18.07.2018 00:00	0.33	0.33	0.325	0.33	50
19.07.2018 00:00	0.31	0.31	0.31	0.31	260
24.07.2018 00:00	0.31	0.31	0.31	0.31	10
26.07.2018 00:00	0.34	0.34	0.33	0.33	20
31.07.2018 00:00	0.305	0.305	0.305	0.305	10
01.08.2018 00:00	0.31	0.32	0.31	0.32	20
09.08.2018 00:00	0.31	0.31	0.31	0.31	10
10.08.2018 00:00	0.32	0.32	0.32	0.32	10
13.08.2018 00:00	0.305	0.305	0.305	0.305	100
15.08.2018 00:00	0.305	0.305	0.305	0.305	30
16.08.2018 00:00	0.32	0.34	0.32	0.34	70
17.08.2018 00:00	0.34	0.34	0.335	0.335	20
23.08.2018 00:00	0.335	0.34	0.33	0.34	30
27.08.2018 00:00	0.335	0.335	0.335	0.335	50
29.08.2018 00:00	0.305	0.32	0.295	0.32	280
30.08.2018 00:00	0.33	0.33	0.33	0.33	20
31.08.2018 00:00	0.3	0.31	0.295	0.305	460
03.09.2018 00:00	0.32	0.32	0.305	0.305	120
05.09.2018 00:00	0.32	0.33	0.305	0.305	220
11.09.2018 00:00	0.32	0.32	0.32	0.32	10
