datetime	open	high	low	close	volume
30.09.2011 00:00	16.17	16.17	16.17	16.17	40000000
03.10.2011 00:00	16.19	16.19	16.19	16.19	40000000
18.10.2011 00:00	16.39	16.39	16.39	16.39	6100000
21.10.2011 00:00	18.85	18.85	17.740000000000002	17.92	8000
24.10.2011 00:00	17.990000000000002	25.07	17.76	18.1	91000
25.10.2011 00:00	15.49	25.35	15.49	18.73	1226000
26.10.2011 00:00	20.8	23.98	16.14	20.01	745000
27.10.2011 00:00	21.490000000000002	25.990000000000002	18.8	19.3	648000
28.10.2011 00:00	19.98	19.990000000000002	18.17	18.69	133000
31.10.2011 00:00	18.990000000000002	19.990000000000002	17.3	17.31	1646000
01.11.2011 00:00	16.990000000000002	17.96	16.490000000000002	16.98	72000
02.11.2011 00:00	21.3	21.3	15.5	15.91	62000
03.11.2011 00:00	15.99	17.39	14.99	15.99	46000
07.11.2011 00:00	19.490000000000002	19.490000000000002	15.74	15.99	25000
08.11.2011 00:00	15.5	16.990000000000002	14.99	15.09	152000
09.11.2011 00:00	14.99	15.19	14.21	14.49	40000
10.11.2011 00:00	14.49	15.18	13.09	14.9	139000
11.11.2011 00:00	13.55	14.99	13.55	14.99	47000
14.11.2011 00:00	14.99	15.69	13.99	13.99	32000
15.11.2011 00:00	13.73	14.69	13.63	13.65	12000
16.11.2011 00:00	13.99	14.93	13.99	14.19	14000
17.11.2011 00:00	14.99	14.99	14.99	14.99	1000
18.11.2011 00:00	14.99	14.99	13.42	14.89	25000
21.11.2011 00:00	13.46	14.69	13.46	14.69	3000
22.11.2011 00:00	13.48	14.99	11.99	13.99	335000
23.11.2011 00:00	12.99	14.99	12.99	13.99	1276000
24.11.2011 00:00	14.44	16.44	13.4	14.49	6549000
25.11.2011 00:00	13.56	16.48	13.49	14.3	6449000
28.11.2011 00:00	13.8	16.44	13.8	14.99	6498000
29.11.2011 00:00	15.98	16.46	15.530000000000001	16.05	9760000
30.11.2011 00:00	16.42	16.42	14.8	15.4	3327000
01.12.2011 00:00	15.49	15.49	13.99	14.74	313000
02.12.2011 00:00	15.34	15.34	12.82	13.13	311000
05.12.2011 00:00	12.77	13.94	12.13	13.19	58000
06.12.2011 00:00	12.59	13.31	12.58	13.31	5000
07.12.2011 00:00	13.92	13.92	12.56	12.98	24000
08.12.2011 00:00	12.27	13.4	11.99	12.23	147000
09.12.2011 00:00	11.49	11.49	9.3	9.4	5276000
12.12.2011 00:00	9.98	9.98	8.89	9.34	753000
13.12.2011 00:00	9.47	11.49	9.15	10.9	4650000
14.12.2011 00:00	11.49	12.49	10.3	10.76	850000
15.12.2011 00:00	10.13	10.49	9.99	10.28	2205000
16.12.2011 00:00	10.69	10.69	9.49	9.74	914000
19.12.2011 00:00	10.17	12.66	9.4	12.15	2918000
20.12.2011 00:00	11.09	14.99	10.55	13.98	1453000
21.12.2011 00:00	12.9	14.42	12.49	13.94	264000
22.12.2011 00:00	13.4	14.49	13.13	13.3	164000
23.12.2011 00:00	13.99	14.98	11.99	13.71	947000
26.12.2011 00:00	13.69	13.98	12.4	13.0	56000
27.12.2011 00:00	13.0	14.19	13.0	13.99	715000
28.12.2011 00:00	13.99	13.99	13.84	13.99	334000
29.12.2011 00:00	14.24	14.98	12.0	12.52	8068000
30.12.2011 00:00	11.32	11.32	10.21	10.42	2231000
03.01.2012 00:00	10.74	11.03	10.3	10.49	190000
04.01.2012 00:00	10.34	10.64	10.32	10.58	255000
05.01.2012 00:00	10.32	10.48	9.84	10.4	50000
06.01.2012 00:00	10.82	10.98	10.24	10.55	74000
09.01.2012 00:00	10.11	10.3	10.11	10.3	49000
10.01.2012 00:00	10.0	10.69	10.0	10.55	16000
11.01.2012 00:00	10.84	10.84	9.49	9.67	71000
12.01.2012 00:00	9.69	10.98	9.49	9.99	210000
13.01.2012 00:00	9.84	10.99	9.84	10.85	174000
16.01.2012 00:00	10.32	10.94	9.66	10.57	255000
17.01.2012 00:00	10.69	10.69	10.15	10.26	145000
18.01.2012 00:00	10.49	10.9	10.4	10.89	148000
19.01.2012 00:00	11.24	11.24	10.42	10.8	51000
20.01.2012 00:00	10.66	10.99	10.46	10.46	9000
23.01.2012 00:00	10.88	10.88	9.99	10.34	32000
24.01.2012 00:00	10.0	10.57	10.0	10.32	41000
25.01.2012 00:00	10.49	10.49	10.05	10.07	45000
26.01.2012 00:00	10.24	10.49	9.99	10.06	189000
27.01.2012 00:00	10.0	10.0	9.66	9.9	62000
30.01.2012 00:00	9.9	9.99	9.56	9.84	71000
31.01.2012 00:00	9.98	9.99	9.9	9.94	90000
01.02.2012 00:00	10.38	11.94	10.36	10.69	491000
02.02.2012 00:00	10.32	11.28	10.32	10.49	152000
03.02.2012 00:00	11.49	11.49	10.63	10.98	81000
06.02.2012 00:00	10.32	13.49	10.32	11.48	529000
07.02.2012 00:00	11.99	11.99	10.73	10.92	113000
08.02.2012 00:00	10.76	11.4	10.05	11.17	500000
09.02.2012 00:00	11.35	11.89	10.32	11.4	221000
10.02.2012 00:00	10.32	11.46	10.32	10.99	69000
14.02.2012 00:00	10.99	11.49	10.8	10.89	58000
17.02.2012 00:00	10.99	11.4	10.99	11.39	61000
20.02.2012 00:00	11.98	13.19	11.0	11.19	504000
21.02.2012 00:00	11.01	11.01	11.0	11.0	9000
22.02.2012 00:00	11.3	12.99	8.9	10.99	339000
24.02.2012 00:00	11.39	11.99	11.19	11.99	208000
27.02.2012 00:00	10.99	11.8	10.99	11.21	61000
28.02.2012 00:00	11.31	11.31	10.56	10.84	215000
29.02.2012 00:00	10.48	10.84	10.33	10.74	99000
01.03.2012 00:00	10.9	10.9	10.9	10.9	1000
02.03.2012 00:00	10.27	10.99	10.27	10.9	33000
05.03.2012 00:00	10.99	11.0	10.99	10.99	30000
06.03.2012 00:00	10.99	11.84	10.99	11.21	18000
07.03.2012 00:00	10.99	11.24	10.99	11.24	12000
11.03.2012 00:00	10.49	11.32	9.8	11.32	97000
12.03.2012 00:00	10.99	14.49	10.99	11.65	468000
13.03.2012 00:00	11.49	12.47	11.23	12.15	120000
14.03.2012 00:00	12.3	12.3	11.99	12.06	21000
15.03.2012 00:00	11.99	11.99	11.74	11.74	240000
16.03.2012 00:00	11.86	11.92	11.86	11.91	10000
19.03.2012 00:00	11.21	11.21	11.21	11.21	2000
20.03.2012 00:00	11.19	11.49	11.19	11.49	6000
21.03.2012 00:00	11.5	11.5	10.16	10.89	60000
22.03.2012 00:00	10.4	10.4	10.4	10.4	1000
23.03.2012 00:00	10.59	11.09	10.59	10.67	25000
26.03.2012 00:00	11.14	11.17	10.84	10.84	9000
27.03.2012 00:00	11.28	11.9	10.89	10.89	35000
28.03.2012 00:00	11.39	13.9	11.23	11.23	1856000
29.03.2012 00:00	11.49	11.78	10.97	10.99	394000
30.03.2012 00:00	11.68	11.94	10.9	11.4	102000
02.04.2012 00:00	11.35	11.35	10.58	10.99	269000
04.04.2012 00:00	10.99	11.4	10.99	10.99	40000
05.04.2012 00:00	10.99	10.99	10.99	10.99	209000
06.04.2012 00:00	10.99	10.99	10.99	10.99	3000
09.04.2012 00:00	10.99	10.99	10.55	10.99	33000
10.04.2012 00:00	11.3	11.3	11.3	11.3	3000
11.04.2012 00:00	11.32	11.32	11.32	11.32	1000
12.04.2012 00:00	10.99	10.99	10.4	10.4	34000
13.04.2012 00:00	10.8	10.8	10.8	10.8	9000
16.04.2012 00:00	10.59	11.3	10.59	10.83	3000
17.04.2012 00:00	11.3	11.3	10.5	10.5	235000
18.04.2012 00:00	10.31	10.98	10.3	10.98	266000
19.04.2012 00:00	10.9	10.9	10.9	10.9	2000
23.04.2012 00:00	10.49	10.49	10.49	10.49	17000
24.04.2012 00:00	10.55	10.99	9.99	10.09	91000
26.04.2012 00:00	10.48	10.48	10.48	10.48	1000
02.05.2012 00:00	10.99	11.19	10.8	10.8	49000
03.05.2012 00:00	10.99	10.99	10.49	10.99	55000
04.05.2012 00:00	10.99	10.99	9.99	9.99	3000
05.05.2012 00:00	10.49	10.85	10.49	10.85	13000
10.05.2012 00:00	10.65	10.65	10.43	10.5	3000
11.05.2012 00:00	10.09	10.09	10.09	10.09	5000
14.05.2012 00:00	10.73	10.73	10.73	10.73	46000
