datetime	open	high	low	close	volume
07.03.2018 00:00	4.335	4.335	4.335	4.335	10
09.03.2018 00:00	4.41	4.41	4.41	4.41	3
12.03.2018 00:00	4.36	4.425	4.345	4.4	43
13.03.2018 00:00	4.4	4.425	4.375	4.41	14
14.03.2018 00:00	4.36	4.425	4.36	4.425	22
15.03.2018 00:00	4.41	4.415	4.385	4.41	20
16.03.2018 00:00	4.4	4.415	4.245	4.305	474
19.03.2018 00:00	4.295	4.36	4.28	4.335	155
20.03.2018 00:00	4.335	4.37	4.295	4.36	131
21.03.2018 00:00	4.36	4.535	4.36	4.36	57
22.03.2018 00:00	4.36	4.515	4.345	4.36	261
23.03.2018 00:00	4.36	4.535	4.285	4.285	289
26.03.2018 00:00	4.335	4.345	4.295	4.345	2
27.03.2018 00:00	4.32	4.32	4.245	4.285	274
28.03.2018 00:00	4.28	4.28	4.055	4.265	94
29.03.2018 00:00	4.2	4.2	3.95	4.045	2096
30.03.2018 00:00	4.035	4.12	3.95	4.085	226
02.04.2018 00:00	4.245	4.245	4.085	4.19	5
03.04.2018 00:00	4.095	4.095	3.91	3.95	618
04.04.2018 00:00	3.975	4.19	3.915	3.99	272
05.04.2018 00:00	3.99	4.075	3.935	3.95	35
06.04.2018 00:00	3.935	4.075	3.89	3.915	680
09.04.2018 00:00	3.915	3.915	3.795	3.805	224
10.04.2018 00:00	3.805	3.805	3.66	3.795	422
11.04.2018 00:00	3.835	3.835	3.665	3.74	192
12.04.2018 00:00	3.715	3.89	3.705	3.74	49
13.04.2018 00:00	3.715	3.89	3.7	3.785	174
16.04.2018 00:00	3.785	3.785	3.785	3.785	1
17.04.2018 00:00	3.755	3.785	3.74	3.785	17
18.04.2018 00:00	3.745	4.035	3.685	3.7	214
19.04.2018 00:00	3.7	3.95	3.645	3.795	784
20.04.2018 00:00	3.835	3.95	3.795	3.95	7
23.04.2018 00:00	3.825	3.95	3.785	3.785	73
24.04.2018 00:00	3.835	3.9650000000000003	3.785	3.85	128
25.04.2018 00:00	3.805	3.825	3.795	3.795	151
26.04.2018 00:00	3.795	3.93	3.795	3.815	87
27.04.2018 00:00	3.825	3.89	3.745	3.875	222
28.04.2018 00:00	3.815	3.89	3.745	3.835	110
30.04.2018 00:00	3.795	3.825	3.795	3.825	2
02.05.2018 00:00	3.89	3.95	3.89	3.95	177
03.05.2018 00:00	3.91	3.93	3.87	3.93	19
07.05.2018 00:00	3.95	3.95	3.85	3.855	77
08.05.2018 00:00	3.795	3.895	3.785	3.895	252
10.05.2018 00:00	3.93	3.93	3.745	3.85	52
11.05.2018 00:00	3.85	3.89	3.7	3.7800000000000002	227
