datetime	open	high	low	close	volume
04.01.2000 00:00	2.395	2.395	2.395	2.395	8650
05.01.2000 00:00	2.785	3.045	2.745	3.045	23510
06.01.2000 00:00	3.045	3.105	3.015	3.055	60300
07.01.2000 00:00	3.045	3.105	3.015	3.055	60300
10.01.2000 00:00	3.145	3.255	2.625	2.91	481660
11.01.2000 00:00	2.895	2.895	2.645	2.7	149280
12.01.2000 00:00	2.6	3.1	2.505	2.995	280410
13.01.2000 00:00	2.95	3.185	2.95	3.14	167410
14.01.2000 00:00	3.14	3.41	3.14	3.395	95390
17.01.2000 00:00	3.39	3.49	3.2	3.285	177040
18.01.2000 00:00	3.33	3.375	3.225	3.225	73370
19.01.2000 00:00	3.1	3.1	2.85	2.995	73200
20.01.2000 00:00	3.045	3.245	2.99	3.18	176800
21.01.2000 00:00	3.18	3.255	3.125	3.125	274470
24.01.2000 00:00	3.12	3.18	3.025	3.055	116390
25.01.2000 00:00	2.895	3.005	2.795	2.855	137540
26.01.2000 00:00	2.5300000000000002	2.93	2.5300000000000002	2.895	88470
27.01.2000 00:00	2.975	2.975	2.835	2.95	194150
28.01.2000 00:00	2.91	2.965	2.705	2.7800000000000002	167370
31.01.2000 00:00	2.7	2.7	2.515	2.58	146650
01.02.2000 00:00	2.62	2.715	2.545	2.545	100860
02.02.2000 00:00	2.56	2.6	2.45	2.465	113900
03.02.2000 00:00	2.545	2.6	2.45	2.545	316670
04.02.2000 00:00	2.62	2.62	2.545	2.62	57970
07.02.2000 00:00	2.68	2.68	2.535	2.535	58070
08.02.2000 00:00	2.56	2.805	2.56	2.805	221620
09.02.2000 00:00	2.965	2.965	2.795	2.795	157190
10.02.2000 00:00	2.68	2.795	2.68	2.74	112120
11.02.2000 00:00	2.7800000000000002	2.855	2.7	2.815	46290
14.02.2000 00:00	2.975	2.975	2.765	2.7800000000000002	72150
15.02.2000 00:00	2.7	2.7	2.6	2.6	32230
16.02.2000 00:00	2.68	2.68	2.585	2.6	96410
17.02.2000 00:00	2.64	2.66	2.6	2.66	105170
18.02.2000 00:00	2.68	2.68	2.585	2.585	70700
21.02.2000 00:00	2.495	2.58	2.495	2.58	13240
22.02.2000 00:00	2.545	2.58	2.545	2.545	14550
23.02.2000 00:00	2.585	2.6	2.545	2.545	111650
24.02.2000 00:00	2.585	2.6	2.545	2.545	111650
25.02.2000 00:00	2.45	2.45	2.24	2.285	82300
28.02.2000 00:00	2.295	2.295	2.045	2.065	122110
29.02.2000 00:00	2.225	2.35	2.185	2.2800000000000002	143510
01.03.2000 00:00	2.45	2.45	2.31	2.435	244110
02.03.2000 00:00	2.475	2.58	2.41	2.56	446910
03.03.2000 00:00	2.58	2.715	2.515	2.7	423420
06.03.2000 00:00	2.725	2.74	2.62	2.64	159760
07.03.2000 00:00	2.64	2.725	2.605	2.715	159100
08.03.2000 00:00	2.64	2.725	2.605	2.715	159100
09.03.2000 00:00	2.7800000000000002	2.935	2.7800000000000002	2.805	345480
10.03.2000 00:00	2.87	2.95	2.745	2.895	493150
13.03.2000 00:00	2.815	2.87	2.58	2.64	174120
14.03.2000 00:00	2.755	2.815	2.715	2.795	92220
15.03.2000 00:00	2.795	2.795	2.64	2.705	130470
16.03.2000 00:00	2.7	2.715	2.68	2.7	94430
17.03.2000 00:00	2.85	2.85	2.665	2.705	215100
20.03.2000 00:00	2.625	2.7	2.605	2.7	47760
21.03.2000 00:00	2.585	2.645	2.585	2.6	64240
22.03.2000 00:00	2.605	2.74	2.6	2.68	140640
23.03.2000 00:00	2.7800000000000002	2.83	2.725	2.745	264380
24.03.2000 00:00	2.835	2.835	2.7	2.715	217000
27.03.2000 00:00	2.835	2.835	2.7	2.715	217000
28.03.2000 00:00	2.62	2.68	2.56	2.56	79900
29.03.2000 00:00	2.545	2.665	2.545	2.645	52540
30.03.2000 00:00	2.6	2.6	2.5300000000000002	2.545	61780
