datetime	open	high	low	close	volume
12.03.2018 00:00	0.367	0.375	0.367	0.375	11
13.03.2018 00:00	0.37	0.377	0.369	0.369	8
14.03.2018 00:00	0.377	0.377	0.369	0.372	10
15.03.2018 00:00	0.369	0.372	0.366	0.372	4
16.03.2018 00:00	0.371	0.372	0.366	0.366	21
19.03.2018 00:00	0.372	0.372	0.369	0.372	1
20.03.2018 00:00	0.367	0.375	0.367	0.369	2
21.03.2018 00:00	0.368	0.374	0.368	0.369	7
22.03.2018 00:00	0.367	0.374	0.365	0.374	40
23.03.2018 00:00	0.369	0.371	0.365	0.37	62
26.03.2018 00:00	0.364	0.369	0.361	0.369	68
27.03.2018 00:00	0.369	0.369	0.358	0.359	85
28.03.2018 00:00	0.359	0.364	0.357	0.357	2
29.03.2018 00:00	0.355	0.364	0.352	0.364	135
02.04.2018 00:00	0.364	0.366	0.358	0.362	4
03.04.2018 00:00	0.366	0.366	0.352	0.366	1
04.04.2018 00:00	0.353	0.365	0.352	0.359	5
05.04.2018 00:00	0.352	0.365	0.352	0.365	2
06.04.2018 00:00	0.359	0.359	0.359	0.359	2
09.04.2018 00:00	0.352	0.352	0.342	0.342	120
10.04.2018 00:00	0.343	0.355	0.34	0.34600000000000003	32
11.04.2018 00:00	0.34600000000000003	0.34600000000000003	0.334	0.34400000000000003	48
12.04.2018 00:00	0.34400000000000003	0.34800000000000003	0.343	0.343	2
13.04.2018 00:00	0.34400000000000003	0.34800000000000003	0.34400000000000003	0.34500000000000003	25
16.04.2018 00:00	0.343	0.34900000000000003	0.342	0.342	2
17.04.2018 00:00	0.341	0.364	0.341	0.34900000000000003	3
18.04.2018 00:00	0.356	0.364	0.355	0.359	23
19.04.2018 00:00	0.34900000000000003	0.359	0.34900000000000003	0.34900000000000003	1
24.04.2018 00:00	0.358	0.358	0.356	0.358	1
25.04.2018 00:00	0.356	0.356	0.343	0.343	3
