datetime	open	high	low	close	volume
12.03.2018 00:00	0.358	0.358	0.358	0.358	1
14.03.2018 00:00	0.358	0.358	0.354	0.358	2
16.03.2018 00:00	0.354	0.354	0.352	0.352	14
21.03.2018 00:00	0.352	0.352	0.352	0.352	1
29.03.2018 00:00	0.356	0.356	0.34600000000000003	0.356	1
05.04.2018 00:00	0.358	0.358	0.358	0.358	1
09.04.2018 00:00	0.34400000000000003	0.34800000000000003	0.34400000000000003	0.34800000000000003	2
10.04.2018 00:00	0.34400000000000003	0.34800000000000003	0.34400000000000003	0.34400000000000003	385
11.04.2018 00:00	0.34800000000000003	0.34800000000000003	0.342	0.342	13
13.04.2018 00:00	0.342	0.342	0.342	0.342	6
16.04.2018 00:00	0.342	0.34600000000000003	0.34	0.34600000000000003	3
17.04.2018 00:00	0.34	0.34	0.336	0.338	13
18.04.2018 00:00	0.338	0.34	0.338	0.338	1
19.04.2018 00:00	0.34	0.34	0.34	0.34	2
20.04.2018 00:00	0.34	0.34	0.34	0.34	1
24.04.2018 00:00	0.34	0.342	0.34	0.34	2
26.04.2018 00:00	0.342	0.342	0.336	0.34	4
27.04.2018 00:00	0.334	0.34800000000000003	0.334	0.334	6
28.04.2018 00:00	0.34800000000000003	0.34800000000000003	0.34600000000000003	0.34800000000000003	7
30.04.2018 00:00	0.352	0.352	0.352	0.352	1
04.05.2018 00:00	0.338	0.338	0.33	0.33	29
07.05.2018 00:00	0.334	0.334	0.334	0.334	1
10.05.2018 00:00	0.322	0.322	0.316	0.316	43
11.05.2018 00:00	0.32	0.338	0.32	0.338	2
16.05.2018 00:00	0.334	0.336	0.33	0.33	2
17.05.2018 00:00	0.336	0.336	0.336	0.336	1
23.05.2018 00:00	0.322	0.322	0.322	0.322	5
24.05.2018 00:00	0.324	0.324	0.324	0.324	1
30.05.2018 00:00	0.31	0.32	0.308	0.32	9
04.06.2018 00:00	0.308	0.308	0.308	0.308	13
05.06.2018 00:00	0.314	0.314	0.314	0.314	1
08.06.2018 00:00	0.33	0.33	0.33	0.33	1
11.06.2018 00:00	0.332	0.332	0.332	0.332	1
20.06.2018 00:00	0.33	0.33	0.33	0.33	1
25.06.2018 00:00	0.31	0.31	0.31	0.31	1
26.06.2018 00:00	0.32	0.32	0.32	0.32	1
