datetime	open	high	low	close	volume
12.03.2018 00:00	102.0	102.0	102.0	102.0	24
14.03.2018 00:00	102.0	102.0	100.0	102.0	11
16.03.2018 00:00	96.0	100.0	96.0	97.0	26
19.03.2018 00:00	97.0	97.0	97.0	97.0	20
23.03.2018 00:00	101.0	105.0	100.0	105.0	24
29.03.2018 00:00	106.0	106.0	106.0	106.0	1
03.04.2018 00:00	99.0	99.0	95.5	98.0	6
04.04.2018 00:00	96.0	96.0	95.0	95.0	871
05.04.2018 00:00	95.0	95.0	94.0	95.0	305
06.04.2018 00:00	92.0	94.0	92.0	93.0	5
09.04.2018 00:00	90.5	90.5	88.0	90.5	7
10.04.2018 00:00	90.0	90.0	86.0	88.0	11
11.04.2018 00:00	85.0	92.0	85.0	86.0	33
12.04.2018 00:00	92.0	92.0	88.0	90.0	3
18.04.2018 00:00	85.5	88.0	85.5	88.0	4
19.04.2018 00:00	79.0	92.0	79.0	84.0	33
20.04.2018 00:00	86.0	92.0	86.0	92.0	28
25.04.2018 00:00	85.0	88.0	85.0	86.0	6
28.04.2018 00:00	86.0	86.0	86.0	86.0	2
30.04.2018 00:00	94.0	94.0	81.0	92.0	5
03.05.2018 00:00	83.0	90.0	83.0	90.0	4
04.05.2018 00:00	90.0	90.0	90.0	90.0	21
10.05.2018 00:00	90.5	90.5	90.5	90.5	5
15.05.2018 00:00	85.0	87.0	85.0	85.0	1
16.05.2018 00:00	86.5	86.5	86.0	86.5	20
17.05.2018 00:00	87.0	87.0	86.0	86.0	8
18.05.2018 00:00	85.5	86.0	85.5	85.5	16
23.05.2018 00:00	83.0	83.0	83.0	83.0	1
24.05.2018 00:00	84.0	84.0	84.0	84.0	1
25.05.2018 00:00	83.0	83.0	83.0	83.0	2
31.05.2018 00:00	86.0	86.0	86.0	86.0	3
01.06.2018 00:00	86.0	86.0	81.0	82.0	4
05.06.2018 00:00	80.0	86.0	80.0	86.0	19
06.06.2018 00:00	90.0	94.5	80.0	84.0	104
15.06.2018 00:00	91.0	92.5	86.0	92.5	28
18.06.2018 00:00	93.5	94.0	93.5	94.0	2
20.06.2018 00:00	93.5	93.5	93.5	93.5	5
21.06.2018 00:00	81.0	93.5	81.0	90.0	3
27.06.2018 00:00	93.5	93.5	93.5	93.5	4
12.07.2018 00:00	80.0	90.0	80.0	88.0	8
17.07.2018 00:00	86.0	87.0	86.0	87.0	6
20.07.2018 00:00	81.5	85.0	81.5	85.0	3
24.07.2018 00:00	86.0	86.0	86.0	86.0	2
27.07.2018 00:00	81.5	93.0	81.0	93.0	164
30.07.2018 00:00	90.0	90.0	90.0	90.0	50
01.08.2018 00:00	90.0	90.0	90.0	90.0	2
02.08.2018 00:00	90.0	90.0	90.0	90.0	8
08.08.2018 00:00	90.0	90.0	90.0	90.0	106
10.08.2018 00:00	90.0	90.0	90.0	90.0	48
13.08.2018 00:00	90.0	90.0	90.0	90.0	53
21.08.2018 00:00	90.0	90.0	90.0	90.0	50
22.08.2018 00:00	94.5	94.5	94.0	94.0	2
23.08.2018 00:00	93.0	93.0	92.0	92.0	2
24.08.2018 00:00	90.0	92.0	90.0	92.0	26
28.08.2018 00:00	93.5	93.5	90.0	90.0	31
30.08.2018 00:00	90.0	90.0	90.0	90.0	6
31.08.2018 00:00	90.5	90.5	90.0	90.0	10
03.09.2018 00:00	90.0	90.5	90.0	90.5	33
04.09.2018 00:00	90.5	90.5	90.0	90.0	25
05.09.2018 00:00	91.0	91.0	91.0	91.0	3
06.09.2018 00:00	94.0	94.0	94.0	94.0	1
07.09.2018 00:00	90.0	90.0	90.0	90.0	1
10.09.2018 00:00	90.0	90.0	90.0	90.0	3
14.09.2018 00:00	90.0	90.0	90.0	90.0	3
20.09.2018 00:00	90.0	90.0	90.0	90.0	16
24.09.2018 00:00	90.0	90.0	90.0	90.0	50
26.09.2018 00:00	90.0	90.0	90.0	90.0	5
28.09.2018 00:00	90.0	90.5	90.0	90.5	34
03.10.2018 00:00	97.0	97.0	94.0	94.0	8
10.10.2018 00:00	90.5	92.0	90.5	92.0	3
11.10.2018 00:00	90.0	90.0	90.0	90.0	17
22.10.2018 00:00	90.0	90.0	90.0	90.0	40
23.10.2018 00:00	90.0	90.0	90.0	90.0	3
02.11.2018 00:00	90.0	90.0	90.0	90.0	2
07.11.2018 00:00	90.0	90.0	90.0	90.0	21
12.11.2018 00:00	90.0	90.0	90.0	90.0	2
13.11.2018 00:00	99.5	99.5	92.0	92.0	17
14.11.2018 00:00	80.0	90.0	80.0	88.0	11
15.11.2018 00:00	81.5	88.0	81.5	88.0	3
26.11.2018 00:00	78.0	86.0	78.0	86.0	2
03.12.2018 00:00	90.5	90.5	90.5	90.5	1
05.12.2018 00:00	92.0	92.0	88.0	88.0	11
06.12.2018 00:00	74.0	86.0	74.0	86.0	11
18.12.2018 00:00	74.0	88.0	74.0	86.5	16
19.12.2018 00:00	85.0	85.0	85.0	85.0	4
25.12.2018 00:00	74.0	84.0	73.5	84.0	7
28.12.2018 00:00	73.5	83.0	73.5	78.0	15
29.12.2018 00:00	90.0	90.0	90.0	90.0	1
11.01.2019 00:00	88.5	88.5	84.0	87.0	33
14.01.2019 00:00	87.0	87.0	87.0	87.0	2
15.01.2019 00:00	87.0	87.0	85.5	85.5	2
16.01.2019 00:00	78.0	84.0	78.0	84.0	4
31.01.2019 00:00	85.0	85.0	85.0	85.0	1
01.02.2019 00:00	80.0	90.0	80.0	85.0	14
