datetime	open	high	low	close	volume
09.03.2018 00:00	830.0	850.0	810.0	810.0	7
12.03.2018 00:00	800.0	800.0	800.0	800.0	2
15.03.2018 00:00	796.0	800.0	760.0	800.0	262
16.03.2018 00:00	800.0	800.0	800.0	800.0	26
19.03.2018 00:00	786.0	800.0	780.0	790.0	45
20.03.2018 00:00	800.0	810.0	800.0	800.0	1
22.03.2018 00:00	810.0	810.0	800.0	800.0	2
23.03.2018 00:00	800.0	800.0	800.0	800.0	12
26.03.2018 00:00	766.0	786.0	766.0	766.0	30
27.03.2018 00:00	760.0	786.0	750.0	786.0	331
28.03.2018 00:00	786.0	786.0	750.0	760.0	127
29.03.2018 00:00	756.0	780.0	750.0	776.0	5
30.03.2018 00:00	756.0	780.0	736.0	780.0	52
03.04.2018 00:00	760.0	780.0	760.0	760.0	57
09.04.2018 00:00	750.0	750.0	710.0	710.0	72
10.04.2018 00:00	770.0	770.0	650.0	736.0	234
11.04.2018 00:00	730.0	756.0	700.0	756.0	267
12.04.2018 00:00	740.0	786.0	720.0	730.0	7
13.04.2018 00:00	730.0	786.0	716.0	740.0	141
16.04.2018 00:00	726.0	740.0	726.0	726.0	4
17.04.2018 00:00	726.0	756.0	700.0	736.0	115
18.04.2018 00:00	730.0	740.0	716.0	740.0	281
19.04.2018 00:00	756.0	756.0	730.0	736.0	8
24.04.2018 00:00	736.0	740.0	726.0	730.0	35
25.04.2018 00:00	730.0	736.0	706.0	730.0	82
26.04.2018 00:00	730.0	776.0	710.0	710.0	11
27.04.2018 00:00	736.0	780.0	726.0	770.0	123
28.04.2018 00:00	776.0	780.0	776.0	780.0	31
30.04.2018 00:00	780.0	786.0	760.0	780.0	10
02.05.2018 00:00	740.0	766.0	726.0	740.0	14
03.05.2018 00:00	766.0	770.0	760.0	760.0	2
04.05.2018 00:00	760.0	760.0	736.0	736.0	2
07.05.2018 00:00	786.0	786.0	766.0	780.0	14
08.05.2018 00:00	786.0	786.0	716.0	750.0	1258
10.05.2018 00:00	736.0	736.0	726.0	736.0	1
14.05.2018 00:00	720.0	726.0	700.0	700.0	125
15.05.2018 00:00	726.0	726.0	726.0	726.0	1
16.05.2018 00:00	726.0	740.0	710.0	710.0	55
17.05.2018 00:00	700.0	750.0	696.0	710.0	209
18.05.2018 00:00	726.0	750.0	720.0	740.0	14
21.05.2018 00:00	740.0	740.0	700.0	736.0	12
23.05.2018 00:00	700.0	700.0	700.0	700.0	112
24.05.2018 00:00	700.0	700.0	696.0	696.0	54
25.05.2018 00:00	700.0	700.0	700.0	700.0	41
28.05.2018 00:00	680.0	700.0	670.0	690.0	70
29.05.2018 00:00	696.0	700.0	696.0	700.0	10
30.05.2018 00:00	690.0	690.0	680.0	690.0	21
31.05.2018 00:00	676.0	690.0	660.0	690.0	144
01.06.2018 00:00	670.0	700.0	666.0	696.0	163
04.06.2018 00:00	670.0	680.0	670.0	680.0	10
05.06.2018 00:00	680.0	680.0	620.0	660.0	323
06.06.2018 00:00	660.0	666.0	616.0	636.0	419
07.06.2018 00:00	636.0	640.0	610.0	626.0	299
08.06.2018 00:00	626.0	636.0	620.0	636.0	128
09.06.2018 00:00	630.0	630.0	616.0	620.0	4
11.06.2018 00:00	616.0	646.0	600.0	620.0	308
14.06.2018 00:00	590.0	620.0	590.0	590.0	232
15.06.2018 00:00	586.0	596.0	550.0	586.0	625
18.06.2018 00:00	570.0	616.0	570.0	610.0	50
19.06.2018 00:00	570.0	580.0	566.0	580.0	42
20.06.2018 00:00	590.0	596.0	586.0	586.0	177
21.06.2018 00:00	566.0	566.0	560.0	560.0	144
22.06.2018 00:00	576.0	586.0	576.0	586.0	39
25.06.2018 00:00	566.0	586.0	560.0	586.0	41
26.06.2018 00:00	566.0	580.0	556.0	560.0	68
27.06.2018 00:00	566.0	566.0	566.0	566.0	3
28.06.2018 00:00	590.0	590.0	560.0	560.0	47
29.06.2018 00:00	560.0	560.0	560.0	560.0	1
02.07.2018 00:00	586.0	586.0	576.0	576.0	6
03.07.2018 00:00	580.0	596.0	580.0	596.0	49
04.07.2018 00:00	596.0	600.0	596.0	600.0	16
05.07.2018 00:00	610.0	610.0	600.0	600.0	11
06.07.2018 00:00	606.0	606.0	580.0	580.0	50
09.07.2018 00:00	596.0	596.0	596.0	596.0	3
10.07.2018 00:00	576.0	596.0	566.0	596.0	350
11.07.2018 00:00	590.0	590.0	560.0	586.0	17
12.07.2018 00:00	556.0	586.0	550.0	570.0	42
13.07.2018 00:00	590.0	590.0	590.0	590.0	2
16.07.2018 00:00	550.0	590.0	550.0	560.0	171
17.07.2018 00:00	586.0	586.0	556.0	560.0	23
19.07.2018 00:00	556.0	560.0	536.0	536.0	224
20.07.2018 00:00	536.0	590.0	526.0	536.0	507
23.07.2018 00:00	530.0	566.0	530.0	546.0	178
24.07.2018 00:00	530.0	536.0	526.0	536.0	22
25.07.2018 00:00	530.0	540.0	530.0	540.0	13
26.07.2018 00:00	556.0	556.0	510.0	530.0	479
27.07.2018 00:00	550.0	556.0	536.0	550.0	21
30.07.2018 00:00	540.0	546.0	536.0	546.0	14
31.07.2018 00:00	550.0	556.0	536.0	536.0	56
01.08.2018 00:00	516.0	536.0	516.0	526.0	132
03.08.2018 00:00	520.0	530.0	516.0	530.0	364
07.08.2018 00:00	540.0	540.0	530.0	536.0	9
08.08.2018 00:00	530.0	536.0	526.0	526.0	24
09.08.2018 00:00	526.0	526.0	526.0	526.0	3
10.08.2018 00:00	526.0	526.0	516.0	516.0	21
13.08.2018 00:00	526.0	526.0	526.0	526.0	1
14.08.2018 00:00	530.0	546.0	520.0	540.0	140
15.08.2018 00:00	536.0	546.0	516.0	520.0	78
16.08.2018 00:00	536.0	536.0	536.0	536.0	2
17.08.2018 00:00	520.0	520.0	520.0	520.0	100
20.08.2018 00:00	526.0	540.0	526.0	540.0	8
21.08.2018 00:00	536.0	536.0	536.0	536.0	102
22.08.2018 00:00	536.0	536.0	530.0	530.0	102
23.08.2018 00:00	540.0	556.0	540.0	550.0	258
24.08.2018 00:00	526.0	530.0	516.0	520.0	232
27.08.2018 00:00	530.0	530.0	530.0	530.0	14
28.08.2018 00:00	520.0	540.0	520.0	536.0	37
29.08.2018 00:00	536.0	540.0	536.0	536.0	7
30.08.2018 00:00	546.0	576.0	536.0	536.0	22
31.08.2018 00:00	520.0	520.0	520.0	520.0	1
03.09.2018 00:00	560.0	560.0	520.0	550.0	223
04.09.2018 00:00	526.0	526.0	526.0	526.0	3
05.09.2018 00:00	516.0	546.0	516.0	540.0	279
06.09.2018 00:00	540.0	540.0	520.0	536.0	69
07.09.2018 00:00	546.0	546.0	536.0	540.0	33
10.09.2018 00:00	540.0	546.0	536.0	540.0	23
11.09.2018 00:00	536.0	540.0	520.0	536.0	522
13.09.2018 00:00	550.0	566.0	546.0	550.0	218
14.09.2018 00:00	550.0	556.0	540.0	550.0	105
17.09.2018 00:00	560.0	570.0	550.0	560.0	209
18.09.2018 00:00	576.0	580.0	566.0	566.0	30
19.09.2018 00:00	596.0	596.0	550.0	550.0	361
20.09.2018 00:00	570.0	576.0	556.0	556.0	147
21.09.2018 00:00	576.0	700.0	550.0	696.0	2031
24.09.2018 00:00	696.0	696.0	626.0	640.0	149
25.09.2018 00:00	676.0	676.0	640.0	640.0	76
26.09.2018 00:00	666.0	666.0	650.0	660.0	11
27.09.2018 00:00	636.0	650.0	620.0	646.0	14
28.09.2018 00:00	606.0	646.0	606.0	646.0	32
01.10.2018 00:00	616.0	636.0	616.0	636.0	2
02.10.2018 00:00	616.0	636.0	616.0	636.0	2
03.10.2018 00:00	636.0	636.0	596.0	620.0	42
04.10.2018 00:00	610.0	626.0	590.0	626.0	214
05.10.2018 00:00	596.0	620.0	596.0	620.0	12
08.10.2018 00:00	600.0	600.0	600.0	600.0	26
09.10.2018 00:00	590.0	600.0	580.0	600.0	39
10.10.2018 00:00	596.0	596.0	586.0	586.0	3
11.10.2018 00:00	586.0	586.0	570.0	576.0	54
16.10.2018 00:00	576.0	620.0	576.0	616.0	50
17.10.2018 00:00	620.0	620.0	580.0	610.0	21
19.10.2018 00:00	580.0	590.0	570.0	580.0	114
22.10.2018 00:00	590.0	590.0	560.0	580.0	313
23.10.2018 00:00	546.0	566.0	546.0	566.0	223
24.10.2018 00:00	566.0	566.0	546.0	546.0	39
25.10.2018 00:00	550.0	566.0	550.0	556.0	22
26.10.2018 00:00	550.0	550.0	550.0	550.0	6
29.10.2018 00:00	550.0	550.0	540.0	540.0	13
02.11.2018 00:00	538.0	538.0	538.0	538.0	1
06.11.2018 00:00	554.0	562.0	554.0	562.0	76
07.11.2018 00:00	572.0	598.0	568.0	568.0	522
08.11.2018 00:00	532.0	596.0	532.0	560.0	12
09.11.2018 00:00	588.0	588.0	552.0	552.0	55
14.11.2018 00:00	532.0	580.0	532.0	570.0	7
