datetime	open	high	low	close	volume
22.11.2006 00:00	1.999	2.299	1.87	1.923	1094100
23.11.2006 00:00	1.939	2.1	1.939	2.079	4439300
24.11.2006 00:00	2.248	2.549	1.699	2.0	22003800
27.11.2006 00:00	2.037	2.1	2.035	2.057	7947400
28.11.2006 00:00	2.049	2.109	2.045	2.064	11558400
29.11.2006 00:00	2.08	2.099	2.024	2.035	9018200
30.11.2006 00:00	2.06	2.073	2.015	2.039	2062900
01.12.2006 00:00	2.048	2.064	2.035	2.045	2129900
04.12.2006 00:00	2.055	2.1	2.037	2.067	2238800
05.12.2006 00:00	2.089	2.089	2.039	2.049	3035000
06.12.2006 00:00	2.06	2.075	2.049	2.061	2943800
07.12.2006 00:00	2.069	2.129	2.06	2.116	8506600
08.12.2006 00:00	2.12	2.149	2.1	2.126	2802500
11.12.2006 00:00	2.112	2.112	2.069	2.084	588200
12.12.2006 00:00	2.089	2.104	2.065	2.1	2833000
13.12.2006 00:00	2.1	2.107	2.063	2.089	1428100
14.12.2006 00:00	2.079	2.186	2.079	2.134	3182200
15.12.2006 00:00	2.18	2.249	2.112	2.14	32217500
18.12.2006 00:00	2.218	2.218	2.103	2.12	5749800
19.12.2006 00:00	2.108	2.156	2.08	2.103	3025600
20.12.2006 00:00	2.116	2.12	2.081	2.092	4463500
21.12.2006 00:00	2.099	2.12	2.075	2.095	1584100
22.12.2006 00:00	2.097	2.107	2.057	2.095	5813000
25.12.2006 00:00	2.1	2.112	2.076	2.107	5007100
26.12.2006 00:00	2.092	2.14	2.079	2.08	4740600
27.12.2006 00:00	2.1	2.134	2.085	2.129	3576700
28.12.2006 00:00	2.115	2.16	2.115	2.142	3821800
29.12.2006 00:00	2.132	2.165	2.12	2.141	2592000
09.01.2007 00:00	2.142	2.189	2.1	2.1310000000000002	1696000
10.01.2007 00:00	2.12	2.12	2.015	2.061	7122400
11.01.2007 00:00	2.067	2.169	2.064	2.142	6422300
12.01.2007 00:00	2.134	2.235	2.123	2.205	9307200
15.01.2007 00:00	2.24	2.287	2.206	2.253	13712800
16.01.2007 00:00	2.298	2.455	2.23	2.375	16222300
17.01.2007 00:00	2.305	2.548	2.305	2.43	26503200
18.01.2007 00:00	2.444	2.548	2.426	2.443	7730500
19.01.2007 00:00	2.479	2.495	2.419	2.463	2942800
22.01.2007 00:00	2.488	2.488	2.43	2.452	2833400
23.01.2007 00:00	2.45	2.5300000000000002	2.387	2.492	6972900
24.01.2007 00:00	2.509	2.6	2.467	2.484	4823300
25.01.2007 00:00	2.515	2.62	2.471	2.596	10413400
26.01.2007 00:00	2.6	2.6	2.509	2.567	4643200
29.01.2007 00:00	2.578	2.648	2.56	2.58	7729200
30.01.2007 00:00	2.528	2.62	2.528	2.617	6975300
31.01.2007 00:00	2.634	2.74	2.624	2.672	16890400
01.02.2007 00:00	2.708	2.74	2.676	2.706	7306500
02.02.2007 00:00	2.709	2.709	2.66	2.6870000000000003	10086800
05.02.2007 00:00	2.7	3.209	2.7	2.963	24172400
06.02.2007 00:00	2.963	3.2800000000000002	2.963	3.197	38575900
07.02.2007 00:00	3.248	3.802	3.205	3.253	42186100
