datetime	open	high	low	close	volume
07.03.2018 00:00	8.43	8.43	8.35	8.35	103
09.03.2018 00:00	8.42	8.42	8.42	8.42	1
12.03.2018 00:00	8.44	8.44	8.35	8.35	30
13.03.2018 00:00	8.42	8.42	8.35	8.35	162
14.03.2018 00:00	8.35	8.38	8.32	8.32	118
15.03.2018 00:00	8.32	8.32	8.27	8.28	273
16.03.2018 00:00	8.32	8.38	8.27	8.3	32
19.03.2018 00:00	8.27	8.48	8.25	8.4	62
20.03.2018 00:00	8.33	8.44	8.31	8.4	40
21.03.2018 00:00	8.4	8.4	8.27	8.27	36
22.03.2018 00:00	8.3	8.33	8.28	8.28	20
23.03.2018 00:00	8.3	8.3	8.19	8.22	184
26.03.2018 00:00	8.34	8.56	8.3	8.41	176
27.03.2018 00:00	8.48	8.56	8.47	8.56	281
28.03.2018 00:00	8.55	8.57	8.49	8.49	22
29.03.2018 00:00	8.57	8.57	8.35	8.49	7
30.03.2018 00:00	8.4	8.5	8.4	8.4	13
03.04.2018 00:00	8.4	8.46	8.38	8.38	31
04.04.2018 00:00	8.38	8.55	8.34	8.42	93
05.04.2018 00:00	8.42	8.55	8.42	8.55	23
06.04.2018 00:00	8.41	8.5	8.36	8.5	33
09.04.2018 00:00	8.53	8.53	8.21	8.24	380
10.04.2018 00:00	8.25	8.43	8.24	8.3	334
11.04.2018 00:00	8.34	8.34	8.19	8.19	161
12.04.2018 00:00	8.36	8.47	8.23	8.23	17
13.04.2018 00:00	8.28	8.47	8.26	8.26	424
16.04.2018 00:00	8.33	8.4	8.33	8.33	10
17.04.2018 00:00	8.28	8.5	8.24	8.4	93
18.04.2018 00:00	8.33	8.69	8.32	8.32	48
19.04.2018 00:00	8.46	8.68	8.4	8.68	593
20.04.2018 00:00	8.57	8.67	8.49	8.5	418
23.04.2018 00:00	8.41	8.66	8.41	8.5	151
24.04.2018 00:00	8.51	8.57	8.48	8.57	45
25.04.2018 00:00	8.56	8.56	8.41	8.41	30
26.04.2018 00:00	8.41	8.49	8.4	8.49	85
27.04.2018 00:00	8.47	8.58	8.43	8.43	22
28.04.2018 00:00	8.82	8.82	8.57	8.57	11
30.04.2018 00:00	8.35	8.78	8.35	8.55	21
02.05.2018 00:00	8.82	8.82	8.43	8.59	96
03.05.2018 00:00	8.56	8.65	8.55	8.55	23
04.05.2018 00:00	8.58	8.65	8.51	8.65	8
07.05.2018 00:00	8.59	8.59	8.49	8.49	10
08.05.2018 00:00	8.49	8.5	8.49	8.5	6
11.05.2018 00:00	8.72	8.72	8.47	8.5	151
15.05.2018 00:00	8.61	8.63	8.43	8.49	144
16.05.2018 00:00	8.49	8.49	8.42	8.42	98
17.05.2018 00:00	8.41	8.46	8.26	8.44	125
18.05.2018 00:00	8.47	8.47	8.4	8.4	23
22.05.2018 00:00	8.43	8.43	8.36	8.43	1
23.05.2018 00:00	8.39	8.39	8.3	8.34	21
24.05.2018 00:00	8.34	8.34	8.19	8.3	272
25.05.2018 00:00	8.3	8.3	8.23	8.27	23
28.05.2018 00:00	8.24	8.55	8.24	8.24	20
29.05.2018 00:00	8.24	8.55	8.21	8.28	68
30.05.2018 00:00	8.36	8.36	8.36	8.36	1
01.06.2018 00:00	8.26	8.26	8.26	8.26	3
04.06.2018 00:00	8.26	8.26	8.26	8.26	1
05.06.2018 00:00	8.25	8.33	8.25	8.33	19
06.06.2018 00:00	8.32	8.43	8.25	8.43	73
07.06.2018 00:00	8.41	8.41	8.41	8.41	12
09.06.2018 00:00	8.24	8.25	8.24	8.24	6
13.06.2018 00:00	8.24	8.24	8.24	8.24	20
14.06.2018 00:00	8.39	8.39	8.36	8.38	74
15.06.2018 00:00	8.24	8.3	8.21	8.23	90
18.06.2018 00:00	8.19	8.3	8.19	8.3	153
19.06.2018 00:00	8.19	8.24	8.19	8.24	23
20.06.2018 00:00	8.19	8.24	8.19	8.24	24
21.06.2018 00:00	8.19	8.19	8.18	8.18	38
22.06.2018 00:00	8.19	8.19	7.98	8.11	2076
25.06.2018 00:00	8.13	8.16	8.1	8.14	116
26.06.2018 00:00	8.02	8.18	7.99	8.13	293
27.06.2018 00:00	8.13	8.15	7.96	8.15	242
28.06.2018 00:00	8.19	8.22	8.09	8.22	75
29.06.2018 00:00	8.19	8.27	8.17	8.17	26
02.07.2018 00:00	8.17	8.3	8.1	8.15	22
03.07.2018 00:00	8.0	8.19	7.99	8.14	515
04.07.2018 00:00	8.08	8.22	8.07	8.16	71
05.07.2018 00:00	8.22	8.23	7.99	7.99	1096
06.07.2018 00:00	8.11	8.11	7.99	8.1	610
09.07.2018 00:00	8.05	8.1	8.03	8.05	130
10.07.2018 00:00	7.99	8.08	7.95	8.01	471
11.07.2018 00:00	8.01	8.05	7.99	7.99	113
12.07.2018 00:00	7.71	8.09	7.71	8.07	63
13.07.2018 00:00	8.06	8.08	8.03	8.03	31
16.07.2018 00:00	7.95	7.99	7.95	7.99	66
17.07.2018 00:00	8.07	8.09	7.86	7.86	219
18.07.2018 00:00	7.86	7.99	7.86	7.95	29
19.07.2018 00:00	7.95	7.98	7.9	7.9	14
20.07.2018 00:00	7.96	8.01	7.95	8.01	69
23.07.2018 00:00	7.78	8.01	7.78	8.01	36
24.07.2018 00:00	7.88	8.09	7.88	8.03	138
25.07.2018 00:00	7.99	8.02	7.99	8.02	2
26.07.2018 00:00	7.71	8.06	7.71	7.99	128
27.07.2018 00:00	7.95	8.09	7.95	8.09	39
30.07.2018 00:00	8.07	8.07	8.01	8.06	24
31.07.2018 00:00	8.06	8.09	7.74	8.02	553
01.08.2018 00:00	7.98	7.98	7.98	7.98	3
02.08.2018 00:00	7.91	8.01	7.75	7.9	163
03.08.2018 00:00	7.9	7.98	7.7	7.79	1252
06.08.2018 00:00	7.87	7.9	7.7	7.83	112
