datetime	open	high	low	close	volume
07.03.2018 00:00	730.98	743.48	723.48	732.98	4788
09.03.2018 00:00	762.48	789.98	710.98	740.98	5976
12.03.2018 00:00	751.98	817.48	751.98	787.98	33300
13.03.2018 00:00	788.48	817.48	775.48	787.98	53673
14.03.2018 00:00	788.48	789.98	760.48	788.48	53336
15.03.2018 00:00	788.48	811.98	776.98	789.48	198584
16.03.2018 00:00	789.48	789.48	761.48	787.98	34338
19.03.2018 00:00	787.98	794.98	766.48	789.48	27154
20.03.2018 00:00	789.98	799.98	779.48	787.98	31656
21.03.2018 00:00	787.98	788.98	779.98	787.98	17242
22.03.2018 00:00	787.98	787.98	765.98	783.98	39631
23.03.2018 00:00	782.48	787.98	752.98	768.48	28843
26.03.2018 00:00	783.48	783.48	741.48	762.48	13592
27.03.2018 00:00	761.98	761.98	736.98	745.98	37258
28.03.2018 00:00	745.48	747.98	730.98	738.48	30352
29.03.2018 00:00	737.98	750.48	732.48	734.98	39056
30.03.2018 00:00	734.98	740.48	730.98	734.48	20297
02.04.2018 00:00	739.48	745.48	730.98	732.98	19689
03.04.2018 00:00	732.98	752.98	728.48	735.98	25009
04.04.2018 00:00	736.48	744.98	731.98	736.98	26653
05.04.2018 00:00	737.98	742.48	729.48	733.98	42951
06.04.2018 00:00	733.48	744.98	724.98	730.98	22388
09.04.2018 00:00	735.48	744.48	649.98	742.48	18509
10.04.2018 00:00	741.98	757.48	710.48	714.98	35764
11.04.2018 00:00	713.98	724.48	673.98	699.98	306833
12.04.2018 00:00	702.98	729.48	671.48	678.48	25239
13.04.2018 00:00	678.98	688.98	611.98	662.48	208406
16.04.2018 00:00	640.48	640.48	552.48	594.48	4780
17.04.2018 00:00	592.98	671.98	580.48	646.48	37607
18.04.2018 00:00	646.48	699.98	646.48	670.98	33652
19.04.2018 00:00	670.48	697.98	669.98	696.98	32549
20.04.2018 00:00	696.98	697.98	669.98	697.48	24843
23.04.2018 00:00	651.48	751.98	623.98	698.98	21332
24.04.2018 00:00	698.48	759.98	680.98	741.48	26694
25.04.2018 00:00	741.48	758.98	726.48	757.98	23794
26.04.2018 00:00	757.98	789.98	743.48	781.48	50868
27.04.2018 00:00	783.48	816.98	763.48	782.48	18782
28.04.2018 00:00	780.48	808.98	748.48	753.98	20853
30.04.2018 00:00	795.48	795.48	720.48	732.98	11995
02.05.2018 00:00	720.48	750.98	680.98	686.48	10078
03.05.2018 00:00	685.98	777.48	685.98	733.48	26339
04.05.2018 00:00	733.98	789.98	733.98	765.48	34895
07.05.2018 00:00	787.48	787.98	754.98	755.98	16578
08.05.2018 00:00	755.98	787.98	733.98	768.48	52365
10.05.2018 00:00	748.98	748.98	710.98	728.98	16663
11.05.2018 00:00	728.98	744.98	717.98	728.98	20082
14.05.2018 00:00	723.98	731.98	705.98	710.48	16691
15.05.2018 00:00	709.98	748.98	709.98	725.48	29029
16.05.2018 00:00	724.98	788.98	724.98	758.48	609438
17.05.2018 00:00	761.48	774.98	731.48	744.98	22672
18.05.2018 00:00	743.98	754.48	729.98	733.48	24730
21.05.2018 00:00	773.98	773.98	722.48	745.98	24236
22.05.2018 00:00	746.98	746.98	687.98	698.48	44361
23.05.2018 00:00	694.98	694.98	670.98	671.48	19671
24.05.2018 00:00	670.98	688.98	670.98	671.48	41595
25.05.2018 00:00	671.48	685.48	670.98	672.48	16743
28.05.2018 00:00	685.98	685.98	669.98	670.48	27770
29.05.2018 00:00	671.48	684.98	671.48	671.98	30111
30.05.2018 00:00	671.98	681.98	666.98	669.48	24229
31.05.2018 00:00	669.98	669.98	657.48	660.98	18248
01.06.2018 00:00	660.98	669.98	644.48	650.98	36079
04.06.2018 00:00	640.48	789.98	640.48	760.98	34536
05.06.2018 00:00	766.98	766.98	654.98	662.98	68255
06.06.2018 00:00	662.48	668.98	643.48	650.98	19154
07.06.2018 00:00	651.48	666.48	651.48	658.48	25821
08.06.2018 00:00	653.98	672.98	642.98	643.98	35882
09.06.2018 00:00	665.48	665.98	640.98	651.98	31564
11.06.2018 00:00	665.48	665.48	640.48	646.98	12678
13.06.2018 00:00	647.48	698.48	647.48	667.98	10231
14.06.2018 00:00	659.98	679.98	648.48	656.48	23158
15.06.2018 00:00	657.48	672.98	649.98	672.98	29836
18.06.2018 00:00	668.98	679.98	659.98	669.98	33347
19.06.2018 00:00	648.98	679.98	648.98	674.48	32918
20.06.2018 00:00	663.48	675.98	661.98	669.98	23408
21.06.2018 00:00	652.48	671.48	652.48	671.48	27359
22.06.2018 00:00	669.48	672.98	658.98	668.98	30649
25.06.2018 00:00	651.98	667.48	650.48	658.98	33147
26.06.2018 00:00	658.98	659.48	643.48	651.48	28712
27.06.2018 00:00	647.48	659.48	646.48	650.98	11717
28.06.2018 00:00	644.48	654.98	635.98	642.48	17159
29.06.2018 00:00	637.98	648.98	636.48	644.48	10179
02.07.2018 00:00	635.48	659.98	631.48	659.98	30620
03.07.2018 00:00	645.98	656.98	633.48	637.98	31342
04.07.2018 00:00	638.48	639.98	623.98	633.48	28420
05.07.2018 00:00	633.98	644.98	620.48	644.98	33258
06.07.2018 00:00	630.98	666.98	630.98	659.98	23229
09.07.2018 00:00	655.48	658.48	610.48	612.98	38029
10.07.2018 00:00	619.98	627.48	610.98	611.98	30713
11.07.2018 00:00	617.48	617.48	596.48	598.48	32608
12.07.2018 00:00	599.98	599.98	578.48	582.48	13255
13.07.2018 00:00	579.48	588.48	571.98	571.98	9899
16.07.2018 00:00	576.48	604.98	566.48	601.48	18565
17.07.2018 00:00	602.48	632.98	595.98	623.48	33439
18.07.2018 00:00	590.48	631.98	589.98	598.98	77885
19.07.2018 00:00	589.98	599.98	575.48	575.48	54961
20.07.2018 00:00	586.48	595.48	573.48	584.98	21395
23.07.2018 00:00	581.98	592.98	565.98	567.98	27900
24.07.2018 00:00	588.98	589.98	569.98	569.98	12022
25.07.2018 00:00	574.48	576.98	556.48	565.48	18601
26.07.2018 00:00	569.98	570.98	552.98	555.48	29726
27.07.2018 00:00	555.48	578.98	549.98	553.48	30097
30.07.2018 00:00	553.48	577.98	553.48	554.98	28068
31.07.2018 00:00	555.48	563.98	550.48	551.98	14478
01.08.2018 00:00	557.98	558.98	529.48	531.98	28955
02.08.2018 00:00	532.48	536.48	501.98	533.48	36438
03.08.2018 00:00	534.98	547.98	505.98	520.48	30499
06.08.2018 00:00	542.48	567.98	541.98	562.98	129097
07.08.2018 00:00	557.48	557.98	542.98	557.98	13758
08.08.2018 00:00	555.98	559.48	538.98	540.48	28910
09.08.2018 00:00	543.48	554.98	521.98	521.98	10652
10.08.2018 00:00	525.98	549.98	515.98	534.98	30328
13.08.2018 00:00	549.48	549.98	520.48	527.98	17200
14.08.2018 00:00	535.48	549.48	520.98	523.48	20012
15.08.2018 00:00	527.2	529.78	523.2	523.2	32150
16.08.2018 00:00	522.98	553.6	516.2	541.38	31787
17.08.2018 00:00	539.38	567.98	537.98	567.98	30361
20.08.2018 00:00	571.38	573.78	557.98	568.6	28493
21.08.2018 00:00	568.78	571.78	558.2	558.38	14324
22.08.2018 00:00	554.6	568.6	540.38	551.78	74277
23.08.2018 00:00	566.2	566.2	538.98	540.38	27619
24.08.2018 00:00	547.2	559.98	523.6	533.38	12399
27.08.2018 00:00	539.38	567.78	529.98	543.38	30378
28.08.2018 00:00	554.38	554.38	532.98	537.38	16202
29.08.2018 00:00	541.78	564.98	526.2	536.98	20557
30.08.2018 00:00	541.98	558.78	529.98	549.78	24104
31.08.2018 00:00	535.38	548.6	528.78	541.38	15509
03.09.2018 00:00	537.6	541.6	537.6	540.98	19458
04.09.2018 00:00	537.98	541.6	532.98	537.6	29040
05.09.2018 00:00	539.78	541.2	531.6	541.2	13806
06.09.2018 00:00	531.38	538.78	531.38	531.98	16155
07.09.2018 00:00	531.6	539.78	517.98	524.98	31647
10.09.2018 00:00	524.98	528.78	519.2	521.78	15990
11.09.2018 00:00	521.98	522.78	500.98	501.18	32186
12.09.2018 00:00	502.98	504.98	498.18	498.6	31025
13.09.2018 00:00	499.38	499.38	475.8	481.8	32362
14.09.2018 00:00	485.6	518.78	464.98	511.98	34473
17.09.2018 00:00	518.78	522.98	499.98	522.98	31584
18.09.2018 00:00	520.78	533.98	516.6	516.6	49258
19.09.2018 00:00	519.98	530.98	510.8	518.38	32295
20.09.2018 00:00	518.98	530.98	512.78	518.6	34012
21.09.2018 00:00	519.38	525.38	516.38	525.38	19892
24.09.2018 00:00	523.38	523.38	492.6	499.98	12502
25.09.2018 00:00	519.2	519.2	464.98	464.98	40663
26.09.2018 00:00	476.38	489.8	475.38	476.98	33652
27.09.2018 00:00	477.98	482.18	464.38	469.98	21831
28.09.2018 00:00	465.8	481.18	453.18	458.98	36388
01.10.2018 00:00	461.18	463.98	448.98	454.98	34131
02.10.2018 00:00	464.8	469.8	448.98	460.18	45914
03.10.2018 00:00	464.98	495.98	455.98	470.18	46074
04.10.2018 00:00	493.8	493.8	464.98	470.98	32338
05.10.2018 00:00	468.8	478.98	454.18	459.98	32266
08.10.2018 00:00	466.8	466.8	455.38	456.98	32911
09.10.2018 00:00	456.18	467.6	452.8	460.18	44852
10.10.2018 00:00	464.38	467.38	453.38	459.98	142879
11.10.2018 00:00	452.18	462.98	444.6	451.18	51487
12.10.2018 00:00	449.98	452.18	448.38	448.98	34306
15.10.2018 00:00	454.6	464.8	446.18	448.6	27309
16.10.2018 00:00	446.8	457.18	434.98	435.18	57273
17.10.2018 00:00	435.38	459.6	435.38	457.18	34497
18.10.2018 00:00	463.18	474.38	452.18	452.18	313451
19.10.2018 00:00	453.8	462.98	418.6	418.6	37381
22.10.2018 00:00	434.98	444.98	417.98	429.6	32691
23.10.2018 00:00	446.98	448.6	422.18	427.6	19205
24.10.2018 00:00	428.8	434.98	422.18	425.6	19004
25.10.2018 00:00	424.98	430.18	422.18	422.98	1065141
26.10.2018 00:00	422.98	427.18	419.38	422.98	19790
29.10.2018 00:00	420.8	439.18	420.6	433.98	24574
30.10.2018 00:00	425.6	438.8	425.6	430.8	17561
31.10.2018 00:00	438.98	441.38	432.38	435.6	21200
01.11.2018 00:00	426.18	430.8	424.98	428.6	20104
02.11.2018 00:00	424.98	448.98	423.38	444.38	18214
06.11.2018 00:00	441.18	459.98	425.8	425.8	27353
07.11.2018 00:00	431.38	439.98	425.6	436.6	28059
08.11.2018 00:00	431.18	436.38	429.6	432.98	26149
09.11.2018 00:00	435.98	435.98	421.98	424.8	115238
12.11.2018 00:00	432.98	432.98	420.98	421.98	27010
13.11.2018 00:00	427.8	427.8	421.18	426.38	23798
14.11.2018 00:00	439.18	439.18	420.38	422.18	29945
15.11.2018 00:00	424.18	427.38	419.98	424.6	24209
16.11.2018 00:00	423.98	427.18	421.98	424.8	329783
19.11.2018 00:00	426.98	429.98	419.98	423.98	15973
20.11.2018 00:00	422.38	431.8	420.38	429.98	13128
21.11.2018 00:00	425.38	432.18	424.98	427.98	25258
22.11.2018 00:00	435.6	435.6	425.38	425.38	24013
23.11.2018 00:00	425.98	425.98	414.6	414.8	25952
26.11.2018 00:00	414.98	417.98	400.18	406.8	24903
27.11.2018 00:00	424.6	424.6	406.18	407.98	15591
28.11.2018 00:00	423.38	423.38	400.8	413.98	21025
29.11.2018 00:00	421.98	426.38	409.98	410.98	15330
30.11.2018 00:00	408.38	414.38	403.8	411.18	16323
03.12.2018 00:00	409.18	415.18	403.8	411.98	15468
04.12.2018 00:00	419.8	419.98	405.38	406.18	24806
05.12.2018 00:00	404.98	408.8	402.38	402.6	27346
06.12.2018 00:00	408.98	408.98	395.98	397.98	77897
07.12.2018 00:00	400.18	405.6	396.18	396.18	25968
10.12.2018 00:00	398.18	408.98	396.6	399.18	25055
11.12.2018 00:00	401.6	407.6	383.98	389.8	26023
12.12.2018 00:00	394.98	394.98	379.98	384.8	16237
13.12.2018 00:00	377.98	381.38	362.98	362.98	21584
14.12.2018 00:00	371.38	375.98	354.18	375.6	21982
17.12.2018 00:00	375.98	394.98	371.38	390.98	2667
18.12.2018 00:00	388.18	406.98	383.38	406.98	342867
19.12.2018 00:00	406.8	414.38	392.98	409.98	25265
20.12.2018 00:00	403.38	419.98	381.6	381.6	26754
21.12.2018 00:00	392.8	417.8	384.98	417.8	20512
24.12.2018 00:00	413.8	419.98	403.18	406.98	18605
25.12.2018 00:00	401.6	401.8	387.6	391.98	15805
26.12.2018 00:00	392.18	417.98	386.8	401.8	15415
27.12.2018 00:00	407.18	412.6	398.18	399.38	25196
28.12.2018 00:00	400.6	414.38	395.8	401.6	15954
29.12.2018 00:00	399.18	408.8	395.8	396.98	9985
03.01.2019 00:00	404.98	407.6	395.18	400.6	10111
04.01.2019 00:00	404.6	404.6	393.98	398.6	10181
08.01.2019 00:00	399.6	404.8	394.38	398.8	10272
