datetime	open	high	low	close	volume
19.03.2018 00:00	19.0	19.5	19.0	19.5	20
20.03.2018 00:00	20.0	20.0	19.5	20.0	60
21.03.2018 00:00	19.5	19.5	18.5	19.0	150
22.03.2018 00:00	19.0	20.0	19.0	19.0	120
23.03.2018 00:00	18.5	18.5	18.0	18.0	270
27.03.2018 00:00	21.0	29.5	19.5	23.5	2400
28.03.2018 00:00	23.0	35.0	20.5	24.5	1170
29.03.2018 00:00	27.0	35.0	25.0	35.0	1870
30.03.2018 00:00	31.0	31.0	26.0	27.5	210
02.04.2018 00:00	28.0	28.0	24.0	25.0	190
03.04.2018 00:00	25.0	25.0	25.0	25.0	10
06.04.2018 00:00	23.0	25.0	23.0	25.0	40
10.04.2018 00:00	23.0	23.0	20.0	21.0	370
11.04.2018 00:00	21.0	23.0	20.5	21.0	280
12.04.2018 00:00	20.0	20.0	20.0	20.0	40
13.04.2018 00:00	20.0	20.0	20.0	20.0	10
17.04.2018 00:00	22.0	22.0	20.0	20.0	260
18.04.2018 00:00	20.5	20.5	20.5	20.5	10
24.04.2018 00:00	20.0	20.0	19.5	19.5	290
25.04.2018 00:00	19.5	19.5	19.5	19.5	100
27.04.2018 00:00	19.5	21.5	19.5	19.5	200
28.04.2018 00:00	19.5	21.5	19.5	19.5	540
07.05.2018 00:00	21.0	21.0	19.0	21.0	20
08.05.2018 00:00	19.5	19.5	19.0	19.0	2020
11.05.2018 00:00	19.5	19.5	19.5	19.5	20
14.05.2018 00:00	19.0	19.0	19.0	19.0	80
15.05.2018 00:00	19.5	19.5	19.5	19.5	10
06.06.2018 00:00	19.5	19.5	19.5	19.5	20
09.06.2018 00:00	20.0	20.5	20.0	20.0	120
13.06.2018 00:00	20.5	20.5	20.5	20.5	140
14.06.2018 00:00	21.0	22.5	21.0	22.5	750
15.06.2018 00:00	20.5	22.0	19.0	21.5	80
19.06.2018 00:00	20.5	20.5	20.5	20.5	40
22.06.2018 00:00	19.5	20.0	19.5	20.0	90
25.06.2018 00:00	19.0	19.0	19.0	19.0	150
28.06.2018 00:00	19.5	19.5	19.5	19.5	70
03.07.2018 00:00	20.0	20.0	20.0	20.0	60
05.07.2018 00:00	19.5	19.5	19.5	19.5	10
31.07.2018 00:00	17.5	19.0	17.5	19.0	30
02.08.2018 00:00	19.0	19.0	19.0	19.0	10
07.08.2018 00:00	20.5	20.5	20.5	20.5	50
10.08.2018 00:00	20.0	20.0	20.0	20.0	10
13.08.2018 00:00	20.0	20.0	20.0	20.0	290
