datetime	open	high	low	close	volume
14.12.2022 00:00	238.99	258.72	156.99	185.4	2824316
15.12.2022 00:00	184.99	188.3	182.63	182.8	1001160
16.12.2022 00:00	182.8	183.97	135.59	154.99	2727321
19.12.2022 00:00	154.99	174.99	145.0	159.12	1042544
20.12.2022 00:00	158.99	168.49	157.99	160.47	229501
21.12.2022 00:00	161.49	170.99	156.99	160.66	390665
22.12.2022 00:00	160.66	162.77	158.99	159.4	116264
23.12.2022 00:00	160.9	160.99	157.59	157.99	71591
26.12.2022 00:00	158.91	172.49	158.52	164.99	602990
27.12.2022 00:00	164.05	168.99	161.59	162.69	122167
28.12.2022 00:00	162.69	168.4	162.69	164.83	78662
29.12.2022 00:00	163.99	168.59	163.24	166.02	104047
30.12.2022 00:00	166.02	169.99	159.99	161.99	140478
03.01.2023 00:00	174.94	174.94	162.5	165.99	118869
04.01.2023 00:00	164.56	166.99	163.99	165.08	49568
05.01.2023 00:00	165.09	166.46	163.65	164.88	24883
06.01.2023 00:00	163.9	165.97	163.33	163.99	21539
09.01.2023 00:00	163.99	165.18	163.05	163.9	38663
10.01.2023 00:00	161.03	171.69	161.03	163.96	148854
11.01.2023 00:00	162.3	164.9	158.46	162.87	121047
12.01.2023 00:00	162.68	164.58	161.49	162.59	49430
13.01.2023 00:00	161.96	169.19	158.99	162.74	70949
16.01.2023 00:00	161.99	164.81	161.9	163.27	44475
17.01.2023 00:00	163.99	166.9	162.09	162.37	85639
18.01.2023 00:00	162.37	164.86	162.11	162.52	51663
19.01.2023 00:00	163.02	163.9	161.5	163.59	59467
20.01.2023 00:00	163.78	163.99	162.27	163.15	19087
23.01.2023 00:00	163.65	163.88	161.63	162.8	36101
24.01.2023 00:00	163.3	163.68	162.36	162.36	36134
25.01.2023 00:00	162.93	162.93	159.02	160.59	88539
26.01.2023 00:00	160.59	161.12	159.31	159.49	40990
27.01.2023 00:00	159.99	160.96	159.02	159.21	43912
30.01.2023 00:00	160.96	165.38	159.21	161.69	230538
31.01.2023 00:00	163.93	163.93	161.71	162.43	68084
01.02.2023 00:00	162.43	163.49	161.69	161.97	45371
02.02.2023 00:00	161.97	162.68	160.99	161.9	72221
03.02.2023 00:00	161.9	162.3	160.09	161.99	66342
06.02.2023 00:00	163.19	186.4	162.0	176.19	1294568
07.02.2023 00:00	183.4	183.4	168.36	171.46	347621
08.02.2023 00:00	172.97	175.74	166.11	171.12	233317
09.02.2023 00:00	171.12	173.75	167.06	168.34	80308
10.02.2023 00:00	168.34	174.99	167.9	169.93	184749
13.02.2023 00:00	172.49	174.99	170.02	172.9	132705
14.02.2023 00:00	174.05	174.33	168.4	170.96	95593
15.02.2023 00:00	170.99	171.97	162.55	164.09	89654
16.02.2023 00:00	162.05	168.65	162.05	164.94	94106
17.02.2023 00:00	171.91	174.19	165.19	166.12	292465
20.02.2023 00:00	166.81	169.49	165.59	166.38	66086
21.02.2023 00:00	166.38	171.84	165.0	168.68	225059
22.02.2023 00:00	168.18	184.99	167.5	171.27	2117165
24.02.2023 00:00	173.49	178.99	172.49	174.44	383175
27.02.2023 00:00	175.65	179.99	174.5	177.69	204136
28.02.2023 00:00	179.99	182.3	177.96	179.46	229332
01.03.2023 00:00	181.33	186.19	179.11	182.4	711806
02.03.2023 00:00	184.99	185.96	177.33	182.71	397208
03.03.2023 00:00	182.69	183.99	180.49	180.99	140377
06.03.2023 00:00	184.13	187.69	181.49	183.28	311641
07.03.2023 00:00	184.99	190.77	182.3	189.02	837425
09.03.2023 00:00	186.4	203.93	186.4	196.68	2444251
10.03.2023 00:00	189.99	202.99	189.99	197.49	947109
13.03.2023 00:00	203.99	203.99	190.99	196.08	408602
14.03.2023 00:00	196.99	198.99	195.99	196.99	226503
15.03.2023 00:00	197.49	198.46	192.49	193.49	181441
16.03.2023 00:00	193.49	196.99	189.99	192.61	281289
17.03.2023 00:00	191.99	195.99	184.99	189.87	347164
20.03.2023 00:00	190.9	197.99	188.69	193.99	374755
21.03.2023 00:00	194.8	195.59	191.49	194.21	237888
22.03.2023 00:00	196.15	196.15	190.99	192.52	193648
23.03.2023 00:00	193.49	198.99	191.97	197.56	421548
24.03.2023 00:00	198.15	199.49	195.59	196.22	263606
27.03.2023 00:00	197.49	206.97	197.03	203.3	1051443
28.03.2023 00:00	203.49	205.99	201.69	202.59	283306
29.03.2023 00:00	204.47	204.99	201.99	202.8	314722
30.03.2023 00:00	204.96	204.96	201.99	202.94	160972
31.03.2023 00:00	203.97	203.97	196.19	201.58	303637
03.04.2023 00:00	201.99	204.49	201.4	202.71	177047
04.04.2023 00:00	199.99	202.71	199.99	201.33	169072
05.04.2023 00:00	199.9	202.09	197.99	200.99	194152
06.04.2023 00:00	200.43	212.78	200.43	211.93	1615601
07.04.2023 00:00	213.99	219.99	207.11	216.5	1445364
10.04.2023 00:00	218.05	238.59	218.05	236.77	2584524
11.04.2023 00:00	238.86	265.31	238.19	260.19	5666330
12.04.2023 00:00	265.0	274.99	251.49	257.69	2560883
13.04.2023 00:00	258.39	260.79	240.3	242.99	1161921
14.04.2023 00:00	247.49	257.99	247.0	253.55	1445234
17.04.2023 00:00	258.99	261.99	250.99	254.78	994319
18.04.2023 00:00	256.49	256.49	248.15	251.99	476920
19.04.2023 00:00	251.99	252.99	242.99	246.84	673007
20.04.2023 00:00	247.0	247.99	238.43	242.94	543111
21.04.2023 00:00	242.49	246.93	236.99	241.99	509448
24.04.2023 00:00	240.49	245.24	238.5	244.59	329740
25.04.2023 00:00	246.41	246.41	242.99	244.24	183681
26.04.2023 00:00	246.8	252.99	243.13	245.02	977235
27.04.2023 00:00	243.99	245.86	239.99	240.86	399299
28.04.2023 00:00	240.9	241.58	231.77	234.08	543465
02.05.2023 00:00	234.15	235.63	210.0	224.49	857411
03.05.2023 00:00	224.99	225.99	214.59	218.08	718625
04.05.2023 00:00	209.3	223.61	205.99	213.47	474879
05.05.2023 00:00	213.84	217.99	213.53	216.21	251711
08.05.2023 00:00	216.49	217.53	208.55	210.59	214832
10.05.2023 00:00	210.59	223.49	209.99	218.52	416811
11.05.2023 00:00	226.49	229.99	218.99	224.43	554165
12.05.2023 00:00	225.19	225.19	218.77	222.18	192580
15.05.2023 00:00	222.18	233.49	217.08	226.9	755235
