datetime	open	high	low	close	volume
07.03.2018 00:00	0.23900000000000002	0.23900000000000002	0.23600000000000002	0.23600000000000002	2
09.03.2018 00:00	0.234	0.234	0.234	0.234	16
12.03.2018 00:00	0.234	0.23700000000000002	0.234	0.23500000000000001	33
14.03.2018 00:00	0.234	0.23500000000000001	0.234	0.23500000000000001	19
15.03.2018 00:00	0.23500000000000001	0.23500000000000001	0.231	0.231	14
16.03.2018 00:00	0.23	0.234	0.23	0.234	2
19.03.2018 00:00	0.229	0.231	0.221	0.221	38
21.03.2018 00:00	0.225	0.228	0.224	0.227	44
22.03.2018 00:00	0.225	0.225	0.224	0.224	13
23.03.2018 00:00	0.225	0.228	0.219	0.22	35
26.03.2018 00:00	0.212	0.222	0.21	0.22	39
27.03.2018 00:00	0.222	0.222	0.216	0.221	4
28.03.2018 00:00	0.211	0.219	0.209	0.219	36
29.03.2018 00:00	0.216	0.225	0.211	0.218	9
30.03.2018 00:00	0.216	0.222	0.214	0.222	15
02.04.2018 00:00	0.22	0.22	0.219	0.219	3
03.04.2018 00:00	0.218	0.22	0.214	0.214	29
04.04.2018 00:00	0.217	0.229	0.212	0.219	22
05.04.2018 00:00	0.218	0.22	0.217	0.22	93
06.04.2018 00:00	0.217	0.217	0.214	0.214	26
09.04.2018 00:00	0.214	0.214	0.193	0.198	147
10.04.2018 00:00	0.195	0.197	0.178	0.186	148
11.04.2018 00:00	0.194	0.194	0.185	0.19	116
12.04.2018 00:00	0.194	0.194	0.184	0.187	122
13.04.2018 00:00	0.192	0.192	0.184	0.187	24
16.04.2018 00:00	0.188	0.196	0.188	0.194	6
17.04.2018 00:00	0.19	0.198	0.188	0.189	18
18.04.2018 00:00	0.194	0.2	0.183	0.189	62
19.04.2018 00:00	0.186	0.196	0.186	0.195	53
20.04.2018 00:00	0.2	0.2	0.197	0.197	18
23.04.2018 00:00	0.195	0.2	0.195	0.196	4
24.04.2018 00:00	0.197	0.2	0.195	0.197	56
25.04.2018 00:00	0.197	0.197	0.192	0.194	18
26.04.2018 00:00	0.196	0.199	0.196	0.196	48
27.04.2018 00:00	0.196	0.20500000000000002	0.194	0.198	78
28.04.2018 00:00	0.196	0.2	0.196	0.2	62
02.05.2018 00:00	0.201	0.20700000000000002	0.2	0.2	7
03.05.2018 00:00	0.198	0.20700000000000002	0.197	0.197	17
