datetime	open	high	low	close	volume
23.03.2018 00:00	85.0	85.0	84.0	84.0	2
02.04.2018 00:00	77.0	97.0	77.0	95.0	3
05.04.2018 00:00	77.5	85.5	77.5	82.0	14
06.04.2018 00:00	81.0	85.5	81.0	85.5	2
09.04.2018 00:00	78.5	78.5	78.5	78.5	1
10.04.2018 00:00	83.0	83.0	83.0	83.0	1
24.04.2018 00:00	77.0	78.0	77.0	78.0	5
25.04.2018 00:00	78.0	78.0	78.0	78.0	1
28.04.2018 00:00	77.0	80.0	67.0	79.5	19
08.05.2018 00:00	70.0	76.0	70.0	76.0	9
10.05.2018 00:00	77.5	77.5	77.5	77.5	1
25.05.2018 00:00	64.0	68.0	64.0	68.0	3
29.05.2018 00:00	70.0	70.0	70.0	70.0	2
19.06.2018 00:00	97.0	97.0	77.0	93.0	33
20.06.2018 00:00	90.0	127.5	90.0	124.0	23
21.06.2018 00:00	124.0	161.0	100.5	122.5	70
22.06.2018 00:00	105.5	110.0	104.0	106.5	24
25.06.2018 00:00	111.0	111.0	111.0	111.0	1
26.06.2018 00:00	111.0	111.0	111.0	111.0	7
27.06.2018 00:00	112.5	113.5	112.5	113.5	5
05.07.2018 00:00	94.0	94.0	94.0	94.0	2
16.07.2018 00:00	97.5	97.5	97.5	97.5	1
18.07.2018 00:00	95.0	95.0	95.0	95.0	3
23.07.2018 00:00	94.0	94.0	94.0	94.0	2
04.09.2018 00:00	88.0	94.0	88.0	90.0	6
13.09.2018 00:00	87.0	88.0	87.0	88.0	2
24.09.2018 00:00	81.0	84.0	75.0	80.0	8
23.10.2018 00:00	80.0	80.0	80.0	80.0	1
24.10.2018 00:00	87.0	87.0	87.0	87.0	1
26.10.2018 00:00	74.0	74.0	74.0	74.0	1
06.11.2018 00:00	77.0	78.0	77.0	78.0	3
09.11.2018 00:00	70.0	74.0	70.0	74.0	2
14.11.2018 00:00	65.0	74.0	65.0	74.0	2
26.11.2018 00:00	67.0	72.0	67.0	72.0	2
06.12.2018 00:00	67.0	70.0	67.0	68.0	3
07.12.2018 00:00	69.0	69.0	69.0	69.0	1
25.12.2018 00:00	57.0	66.0	57.0	66.0	9
27.12.2018 00:00	62.0	64.0	62.0	64.0	2
28.12.2018 00:00	70.0	81.0	66.0	74.0	25
29.12.2018 00:00	66.0	68.0	55.0	67.0	47
08.01.2019 00:00	67.0	70.0	67.0	70.0	8
18.01.2019 00:00	64.0	68.0	64.0	67.0	11
21.01.2019 00:00	63.0	63.0	63.0	63.0	1
22.01.2019 00:00	62.0	68.0	62.0	68.0	8
23.01.2019 00:00	68.0	68.0	68.0	68.0	5
24.01.2019 00:00	73.0	73.0	69.0	69.0	5
25.01.2019 00:00	68.0	68.0	68.0	68.0	2
28.01.2019 00:00	68.0	69.0	68.0	69.0	8
31.01.2019 00:00	61.0	66.0	61.0	66.0	3
06.02.2019 00:00	69.0	69.0	68.0	68.0	2
07.02.2019 00:00	66.0	66.0	66.0	66.0	2
11.02.2019 00:00	72.0	74.0	70.0	74.0	9
12.02.2019 00:00	75.0	75.0	69.0	72.0	8
18.02.2019 00:00	71.0	96.0	71.0	88.0	117
19.02.2019 00:00	91.0	107.0	78.0	80.0	147
20.02.2019 00:00	76.0	86.0	76.0	79.0	32
21.02.2019 00:00	75.0	78.0	72.0	78.0	16
22.02.2019 00:00	74.0	80.0	73.0	76.0	6
26.02.2019 00:00	74.0	78.0	74.0	76.0	4
04.03.2019 00:00	74.0	74.0	71.0	73.0	11
05.03.2019 00:00	72.0	73.0	72.0	73.0	3
06.03.2019 00:00	69.0	75.0	69.0	74.0	5
21.03.2019 00:00	78.0	78.0	76.0	78.0	3
22.03.2019 00:00	80.0	101.0	77.0	84.0	95
25.03.2019 00:00	86.0	135.0	86.0	98.0	74
26.03.2019 00:00	140.0	151.0	102.0	128.0	93
27.03.2019 00:00	130.0	140.0	104.0	115.0	25
28.03.2019 00:00	101.0	101.0	96.0	96.0	3
01.04.2019 00:00	98.0	101.0	98.0	101.0	2
02.04.2019 00:00	96.0	97.0	96.0	96.0	3
03.04.2019 00:00	95.0	95.0	95.0	95.0	1
04.04.2019 00:00	94.0	94.0	88.0	92.0	4
17.04.2019 00:00	110.0	117.0	94.0	112.0	72
18.04.2019 00:00	115.0	115.0	100.0	101.0	34
