ticker;timestamp;Open;High;Low;Close;Volume
SiH5;2025-03-10 08:59:00;88729;88739;88739;88729;81
SiH5;2025-03-10 09:00:00;88739;88935;88939;88720;2559
SiH5;2025-03-10 09:01:00;88935;88955;88979;88935;989
SiH5;2025-03-10 09:02:00;88956;88877;88977;88872;1047
SiH5;2025-03-10 09:03:00;88871;88930;88950;88871;511
SiH5;2025-03-10 09:04:00;88943;88957;88965;88915;309
SiH5;2025-03-10 09:05:00;88955;89022;89033;88955;1265
SiH5;2025-03-10 09:06:00;89026;89007;89033;88976;477
SiH5;2025-03-10 09:07:00;88998;88988;88999;88980;156
SiH5;2025-03-10 09:08:00;88985;88962;89001;88962;285
SiH5;2025-03-10 09:09:00;88967;88880;88968;88877;747
SiH5;2025-03-10 09:10:00;88880;88868;88894;88868;659
SiH5;2025-03-10 09:11:00;88865;88927;88952;88750;1510
SiH5;2025-03-10 09:12:00;88938;88921;88943;88876;375
SiH5;2025-03-10 09:13:00;88918;88897;88934;88897;116
SiH5;2025-03-10 09:14:00;88908;88953;88954;88895;776
SiH5;2025-03-10 09:15:00;88953;88989;88993;88941;457
SiH5;2025-03-10 09:16:00;88990;88950;88998;88945;400
SiH5;2025-03-10 09:17:00;88962;88956;88966;88951;48
SiH5;2025-03-10 09:18:00;88956;88945;88958;88933;126
SiH5;2025-03-10 09:19:00;88934;88937;88948;88925;108
SiH5;2025-03-10 09:20:00;88938;88967;88967;88926;141
SiH5;2025-03-10 09:21:00;88967;88970;88978;88951;72
SiH5;2025-03-10 09:22:00;88970;88962;88970;88962;109
SiH5;2025-03-10 09:23:00;88962;89005;89005;88962;616
SiH5;2025-03-10 09:24:00;88993;89009;89019;88993;376
SiH5;2025-03-10 09:25:00;89009;88983;89009;88950;657
SiH5;2025-03-10 09:26:00;88968;88963;88968;88950;112
SiH5;2025-03-10 09:27:00;88963;88967;88973;88963;54
SiH5;2025-03-10 09:28:00;88968;88963;88970;88957;26
SiH5;2025-03-10 09:29:00;88960;88958;88960;88950;136
SiH5;2025-03-10 09:30:00;88961;88951;88969;88950;348
SiH5;2025-03-10 09:31:00;88951;88908;88951;88908;512
SiH5;2025-03-10 09:32:00;88908;88863;88909;88861;845
SiH5;2025-03-10 09:33:00;88863;88851;88863;88851;412
SiH5;2025-03-10 09:34:00;88850;88839;88851;88786;933
SiH5;2025-03-10 09:35:00;88839;88626;88839;88596;3086
SiH5;2025-03-10 09:36:00;88628;88708;88737;88627;1254
SiH5;2025-03-10 09:37:00;88722;88632;88733;88587;1394
SiH5;2025-03-10 09:38:00;88632;88670;88685;88565;899
SiH5;2025-03-10 09:39:00;88661;88656;88682;88636;289
SiH5;2025-03-10 09:40:00;88637;88687;88690;88626;540
SiH5;2025-03-10 09:41:00;88687;88707;88709;88678;357
SiH5;2025-03-10 09:42:00;88707;88699;88755;88698;943
SiH5;2025-03-10 09:43:00;88699;88737;88755;88697;993
SiH5;2025-03-10 09:44:00;88736;88739;88745;88717;460
SiH5;2025-03-10 09:45:00;88740;88710;88740;88706;526
SiH5;2025-03-10 09:46:00;88709;88737;88739;88708;399
SiH5;2025-03-10 09:47:00;88737;88744;88744;88729;336
SiH5;2025-03-10 09:48:00;88743;88744;88757;88706;927
SiH5;2025-03-10 09:49:00;88746;88804;88823;88746;828
SiH5;2025-03-10 09:50:00;88803;88817;88827;88784;578
SiH5;2025-03-10 09:51:00;88814;88851;88859;88814;548
SiH5;2025-03-10 09:52:00;88837;88852;88858;88837;114
SiH5;2025-03-10 09:53:00;88851;88826;88854;88819;182
