ticker;timestamp;Open;High;Low;Close;Volume
SGZH;2024-10-01 04:00:00;1.535;1.549;1.532;1.539;5299
SGZH;2024-10-01 05:00:00;1.538;1.544;1.535;1.535;3998
SGZH;2024-10-01 06:00:00;1.538;1.548;1.525;1.525;6393
SGZH;2024-10-01 07:00:00;1.53;1.558;1.532;1.535;457920
SGZH;2024-10-01 08:00:00;1.535;1.532;1.488;1.487;960553
SGZH;2024-10-01 09:00:00;1.491;1.526;1.491;1.522;257193
SGZH;2024-10-01 10:00:00;1.521;1.528;1.51;1.513;167664
SGZH;2024-10-01 11:00:00;1.513;1.517;1.494;1.514;226484
SGZH;2024-10-01 12:00:00;1.516;1.515;1.504;1.503;78051
SGZH;2024-10-01 13:00:00;1.502;1.522;1.496;1.513;195619
SGZH;2024-10-01 14:00:00;1.515;1.516;1.507;1.515;76332
SGZH;2024-10-01 15:00:00;1.516;1.523;1.508;1.511;86849
SGZH;2024-10-01 16:00:00;1.509;1.518;1.5;1.505;95271
SGZH;2024-10-01 17:00:00;1.505;1.517;1.503;1.503;135301
SGZH;2024-10-01 18:00:00;1.505;1.513;1.501;1.511;49496
SGZH;2024-10-01 19:00:00;1.511;1.515;1.51;1.511;26288
SGZH;2024-10-01 20:00:00;1.512;1.516;1.511;1.512;31949
SGZH;2024-10-02 04:00:00;1.517;1.518;1.503;1.507;3476
SGZH;2024-10-02 05:00:00;1.507;1.511;1.507;1.51;2555
SGZH;2024-10-02 06:00:00;1.508;1.514;1.508;1.513;1447
SGZH;2024-10-02 07:00:00;1.514;1.519;1.493;1.514;391580
SGZH;2024-10-02 08:00:00;1.515;1.525;1.517;1.516;255526
SGZH;2024-10-02 09:00:00;1.516;1.517;1.5;1.504;159247
SGZH;2024-10-02 10:00:00;1.506;1.509;1.504;1.506;63602
SGZH;2024-10-02 11:00:00;1.506;1.517;1.506;1.499;133363
SGZH;2024-10-02 12:00:00;1.501;1.508;1.493;1.492;159587
SGZH;2024-10-02 13:00:00;1.493;1.499;1.49;1.494;122506
SGZH;2024-10-02 14:00:00;1.494;1.496;1.47;1.475;292676
SGZH;2024-10-02 15:00:00;1.476;1.49;1.472;1.49;406284
SGZH;2024-10-02 16:00:00;1.487;1.487;1.463;1.47;290374
SGZH;2024-10-02 17:00:00;1.472;1.475;1.47;1.472;163801
SGZH;2024-10-02 18:00:00;1.473;1.473;1.469;1.472;53905
SGZH;2024-10-02 19:00:00;1.472;1.484;1.472;1.478;105593
SGZH;2024-10-02 20:00:00;1.477;1.482;1.477;1.479;33073
SGZH;2024-10-03 04:00:00;1.47;1.479;1.47;1.471;2313
SGZH;2024-10-03 05:00:00;1.475;1.479;1.462;1.47;8761
SGZH;2024-10-03 06:00:00;1.47;1.479;1.466;1.477;13495
SGZH;2024-10-03 07:00:00;1.476;1.486;1.455;1.464;640023
SGZH;2024-10-03 08:00:00;1.464;1.47;1.461;1.461;209940
SGZH;2024-10-03 09:00:00;1.462;1.466;1.44;1.44;462308
SGZH;2024-10-03 10:00:00;1.442;1.449;1.438;1.436;165958
SGZH;2024-10-03 11:00:00;1.437;1.447;1.432;1.442;159584
SGZH;2024-10-03 12:00:00;1.444;1.471;1.447;1.463;621380
SGZH;2024-10-03 13:00:00;1.466;1.476;1.46;1.474;153622
SGZH;2024-10-03 14:00:00;1.473;1.479;1.467;1.471;133147
SGZH;2024-10-03 15:00:00;1.473;1.472;1.466;1.466;69786
SGZH;2024-10-03 16:00:00;1.466;1.49;1.466;1.483;194891
SGZH;2024-10-03 17:00:00;1.483;1.509;1.484;1.5;335582
SGZH;2024-10-03 18:00:00;1.499;1.507;1.493;1.491;153200
SGZH;2024-10-03 19:00:00;1.493;1.497;1.489;1.497;29086
