ticker;timestamp;Open;High;Low;Close;Volume
VTBR;2024-10-01 04:00:00;89.3;89.44;89.26;89.08;10512
VTBR;2024-10-01 04:05:00;89.42;89.4;89.4;89.4;374
VTBR;2024-10-01 04:10:00;89.29;89.42;89.41;89.41;17680
VTBR;2024-10-01 04:15:00;89.41;89.41;89.4;89.38;7622
VTBR;2024-10-01 04:20:00;89.33;89.38;89.37;89.29;2309
VTBR;2024-10-01 04:25:00;89.38;89.38;89.32;89.3;746
VTBR;2024-10-01 04:30:00;89.31;89.38;89.31;89.38;119
VTBR;2024-10-01 04:35:00;89.38;89.38;89.31;89.36;141
VTBR;2024-10-01 04:40:00;89.33;89.37;89.37;89.21;2185
VTBR;2024-10-01 04:45:00;89.35;89.4;89.32;89.39;8847
VTBR;2024-10-01 04:50:00;89.4;89.4;89.39;89.39;403
VTBR;2024-10-01 04:55:00;89.39;89.38;89.32;89.24;1253
VTBR;2024-10-01 05:00:00;89.35;89.37;89.34;89.21;1589
VTBR;2024-10-01 05:05:00;89.22;89.34;89.22;89.29;194
VTBR;2024-10-01 05:10:00;89.28;89.29;89.29;89.29;528
VTBR;2024-10-01 05:15:00;89.3;89.34;89.34;89.29;1221
VTBR;2024-10-01 05:20:00;89.29;89.33;89.33;89.29;441
VTBR;2024-10-01 05:25:00;89.29;89.33;89.32;89.3;6101
VTBR;2024-10-01 05:30:00;89.33;89.33;89.33;89.29;519
VTBR;2024-10-01 05:35:00;89.33;89.33;89.29;89.25;702
VTBR;2024-10-01 05:40:00;89.28;89.29;89.28;89.27;573
VTBR;2024-10-01 05:45:00;89.29;89.33;89.3;89.29;5521
VTBR;2024-10-01 05:50:00;89.29;89.29;89.28;89.28;318
VTBR;2024-10-01 05:55:00;89.28;89.29;89.22;89.2;6454
VTBR;2024-10-01 06:00:00;89.22;89.22;89.21;89.05;8127
VTBR;2024-10-01 06:05:00;89.2;89.03;89.02;88.96;38359
VTBR;2024-10-01 06:10:00;88.96;89.18;89.0;89.04;13790
VTBR;2024-10-01 06:15:00;89.04;89.06;89.04;89.06;1424
VTBR;2024-10-01 06:20:00;89.06;89.16;89.13;89.13;313
VTBR;2024-10-01 06:25:00;89.16;89.2;89.19;89.11;4656
VTBR;2024-10-01 06:30:00;89.24;89.24;89.23;89.16;2857
VTBR;2024-10-01 06:35:00;89.12;89.25;89.24;89.12;4033
VTBR;2024-10-01 06:55:00;89.05;89.05;89.05;89.05;53344
VTBR;2024-10-01 07:00:00;89.08;88.8;88.64;88.58;1743632
VTBR;2024-10-01 07:05:00;88.79;89.01;88.95;88.89;704841
VTBR;2024-10-01 07:10:00;88.9;88.85;88.54;88.47;879285
VTBR;2024-10-01 07:15:00;88.53;88.6;88.49;88.4;501019
VTBR;2024-10-01 07:20:00;88.41;88.45;88.37;88.1;1145750
VTBR;2024-10-01 07:25:00;88.2;88.49;88.29;88.39;660597
VTBR;2024-10-01 07:30:00;88.42;88.49;88.43;88.35;398349
VTBR;2024-10-01 07:35:00;88.37;88.51;88.45;88.38;258921
VTBR;2024-10-01 07:40:00;88.42;88.35;88.16;88.04;648411
VTBR;2024-10-01 07:45:00;88.06;88.22;88.2;88.12;304566
VTBR;2024-10-01 07:50:00;88.19;88.32;88.18;88.21;154435
VTBR;2024-10-01 07:55:00;88.32;88.12;88.07;87.83;1136360
VTBR;2024-10-01 08:00:00;87.95;88.06;87.95;87.98;610224
VTBR;2024-10-01 08:05:00;88.06;88.13;88.04;87.98;319770
VTBR;2024-10-01 08:10:00;88.02;88.15;88.08;88.06;463169
VTBR;2024-10-01 08:15:00;88.14;88.29;88.15;88.17;485596
VTBR;2024-10-01 08:20:00;88.18;88.15;88.11;88.04;177503
VTBR;2024-10-01 08:25:00;88.1;88.11;88.06;88.03;223337
VTBR;2024-10-01 08:30:00;88.05;88.02;87.94;87.91;299199
VTBR;2024-10-01 08:35:00;87.92;87.98;87.77;87.7;792411
VTBR;2024-10-01 08:40:00;87.72;87.81;87.73;87.73;436555
VTBR;2024-10-01 08:45:00;87.75;87.72;87.6;87.35;1066539
VTBR;2024-10-01 08:50:00;87.39;87.35;87.29;87.26;734679
VTBR;2024-10-01 08:55:00;87.28;87.23;87.19;87.03;814346
VTBR;2024-10-01 09:00:00;87.08;87.11;87.06;86.91;1095543
VTBR;2024-10-01 09:05:00;87.0;87.01;86.97;86.92;478052
VTBR;2024-10-01 09:10:00;86.93;87.05;86.88;86.85;1215774
VTBR;2024-10-01 09:15:00;87.07;87.37;87.2;87.3;839400
VTBR;2024-10-01 09:20:00;87.36;87.29;87.26;87.18;247633
VTBR;2024-10-01 09:25:00;87.19;87.4;87.29;87.38;228881
VTBR;2024-10-01 09:30:00;87.39;87.4;87.41;87.27;223140
VTBR;2024-10-01 09:35:00;87.39;87.29;87.29;87.26;56989
VTBR;2024-10-01 09:40:00;87.28;87.5;87.29;87.37;269008
VTBR;2024-10-01 09:45:00;87.49;87.51;87.46;87.36;482522
VTBR;2024-10-01 09:50:00;87.47;87.52;87.51;87.46;377146
VTBR;2024-10-01 09:55:00;87.54;87.76;87.64;87.62;438847
VTBR;2024-10-01 10:00:00;87.76;87.78;87.63;87.51;248470
VTBR;2024-10-01 10:05:00;87.52;87.53;87.45;87.5;168097
VTBR;2024-10-01 10:10:00;87.55;87.68;87.55;87.58;128548
VTBR;2024-10-01 10:15:00;87.68;87.81;87.7;87.75;110815
VTBR;2024-10-01 10:20:00;87.83;87.91;87.85;87.83;230875
VTBR;2024-10-01 10:25:00;87.86;87.86;87.84;87.72;77724
VTBR;2024-10-01 10:30:00;87.77;87.72;87.65;87.61;174051
VTBR;2024-10-01 10:35:00;87.67;87.73;87.64;87.61;74317
VTBR;2024-10-01 10:40:00;87.62;87.59;87.56;87.52;146830
VTBR;2024-10-01 10:45:00;87.56;87.55;87.48;87.36;210003
VTBR;2024-10-01 10:50:00;87.51;87.6;87.51;87.58;40091
VTBR;2024-10-01 10:55:00;87.6;87.65;87.61;87.62;46538
VTBR;2024-10-01 11:00:00;87.67;87.71;87.68;87.63;36605
VTBR;2024-10-01 11:05:00;87.68;87.63;87.44;87.36;92034
VTBR;2024-10-01 11:10:00;87.44;87.49;87.39;87.32;159042
VTBR;2024-10-01 11:15:00;87.35;87.32;87.12;87.0;566872
VTBR;2024-10-01 11:20:00;87.01;87.33;87.18;87.3;209257
VTBR;2024-10-01 11:25:00;87.33;87.23;87.17;87.12;122239
VTBR;2024-10-01 11:30:00;87.15;87.1;86.95;86.98;864730
VTBR;2024-10-01 11:35:00;87.09;87.11;87.08;87.07;163331
VTBR;2024-10-01 11:40:00;87.08;87.16;87.1;86.98;469545
VTBR;2024-10-01 11:45:00;86.98;87.14;87.07;86.91;553003
VTBR;2024-10-01 11:50:00;87.02;87.26;87.08;87.12;246183
VTBR;2024-10-01 11:55:00;87.26;87.26;87.24;87.17;105132
VTBR;2024-10-01 12:00:00;87.18;87.17;87.07;87.02;164411
VTBR;2024-10-01 12:05:00;87.01;87.02;87.01;86.96;130132
VTBR;2024-10-01 12:10:00;86.96;87.07;86.96;87.0;100047
VTBR;2024-10-01 12:15:00;87.05;87.09;86.99;86.95;99647
VTBR;2024-10-01 12:20:00;86.95;87.1;86.97;87.04;80065
VTBR;2024-10-01 12:25:00;87.09;87.13;87.05;87.0;70618
VTBR;2024-10-01 12:30:00;87.03;87.17;87.07;87.13;93379
VTBR;2024-10-01 12:35:00;87.16;87.2;87.18;87.07;135870
VTBR;2024-10-01 12:40:00;87.08;87.24;87.21;87.22;132338
VTBR;2024-10-01 12:45:00;87.25;87.19;87.1;87.01;140689
VTBR;2024-10-01 12:50:00;87.12;87.18;87.1;87.03;86905
VTBR;2024-10-01 12:55:00;87.09;87.08;87.05;86.97;105064
VTBR;2024-10-01 13:00:00;86.98;87.06;86.95;86.92;118428
VTBR;2024-10-01 13:05:00;87.06;87.06;86.93;86.8;168049
VTBR;2024-10-01 13:10:00;86.81;86.93;86.8;86.7;324171
VTBR;2024-10-01 13:15:00;86.73;86.82;86.73;86.53;385819
VTBR;2024-10-01 13:20:00;86.65;86.83;86.71;86.68;92865
VTBR;2024-10-01 13:25:00;86.71;86.79;86.57;86.71;527064
VTBR;2024-10-01 13:30:00;86.81;86.83;86.74;86.68;85724
VTBR;2024-10-01 13:35:00;86.83;87.13;87.0;87.01;422350
VTBR;2024-10-01 13:40:00;87.05;87.35;87.05;87.19;435730
VTBR;2024-10-01 13:45:00;87.36;87.29;87.19;87.15;201222
VTBR;2024-10-01 13:50:00;87.17;87.39;87.27;87.26;286670
VTBR;2024-10-01 13:55:00;87.35;87.34;87.29;87.21;220127
VTBR;2024-10-01 14:00:00;87.27;87.51;87.33;87.47;191028
VTBR;2024-10-01 14:05:00;87.48;87.55;87.41;87.3;264467
VTBR;2024-10-01 14:10:00;87.31;87.24;87.14;87.05;123715
VTBR;2024-10-01 14:15:00;87.07;87.2;87.14;87.16;34968
VTBR;2024-10-01 14:20:00;87.21;87.31;87.18;87.26;14074
VTBR;2024-10-01 14:25:00;87.31;87.24;87.14;87.1;77224
VTBR;2024-10-01 14:30:00;87.15;87.21;87.19;87.1;179543
VTBR;2024-10-01 14:35:00;87.19;87.29;87.26;87.21;456141
VTBR;2024-10-01 14:40:00;87.26;87.2;87.19;87.18;268893
VTBR;2024-10-01 14:45:00;87.18;87.34;87.19;87.31;253830
VTBR;2024-10-01 14:50:00;87.34;87.38;87.36;87.33;81155
