===============================================================================
Id,SBER_5min,len,datetime,open,high,low,close,volume,openinterest,SBER_hourly,len,datetime,open,high,low,close,volume,openinterest,MovingAveragesOnDifferentTimeIntervalsStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,SBER_5min,SBER_hourly
1,SBER_5min,1,2024-10-01 04:00:00,269.34,269.34,269.28,268.42,220.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,1,739160.1666666666,Broker,1,100000.0,100000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,SBER_5min,2,2024-10-01 04:05:00,268.56,269.16,268.99,268.69,459.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,2,739160.1701388889,Broker,2,100000.0,100000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,SBER_5min,3,2024-10-01 04:10:00,268.73,269.1,268.82,268.81,600.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,3,739160.1736111111,Broker,3,100000.0,100000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,SBER_5min,4,2024-10-01 04:15:00,268.74,268.75,268.75,268.74,495.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,4,739160.1770833334,Broker,4,100000.0,100000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,SBER_5min,5,2024-10-01 04:20:00,268.66,268.74,268.61,268.61,330.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,5,739160.1805555555,Broker,5,100000.0,100000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,SBER_5min,6,2024-10-01 04:25:00,268.75,268.75,268.74,268.74,83.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,6,739160.1840277778,Broker,6,100000.0,100000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,SBER_5min,7,2024-10-01 04:30:00,268.74,268.74,268.73,268.72,124.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,7,739160.1875,Broker,7,100000.0,100000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,SBER_5min,8,2024-10-01 04:35:00,268.74,268.73,268.37,267.88,507.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,8,739160.1909722222,Broker,8,100000.0,100000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,SBER_5min,9,2024-10-01 04:40:00,267.89,268.1,268.11,268.1,760.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,9,739160.1944444445,Broker,9,100000.0,100000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,SBER_5min,10,2024-10-01 04:45:00,268.12,268.75,268.12,268.19,157.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,10,739160.1979166666,Broker,10,100000.0,100000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,SBER_5min,11,2024-10-01 04:50:00,268.2,268.75,268.62,268.36,132.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,11,739160.2013888889,Broker,11,100000.0,100000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,SBER_5min,12,2024-10-01 04:55:00,268.75,269.22,268.75,268.78,474.0,,SBER_hourly,1,2024-10-01 04:00:00,269.34,269.34,268.11,268.78,4341.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,12,739160.2048611111,Broker,12,100000.0,100000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,SBER_5min,13,2024-10-01 05:00:00,269.15,269.16,269.09,268.79,69.0,,SBER_hourly,2,2024-10-01 05:00:00,269.15,269.26,268.9,269.0,2209.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,13,739160.2083333334,Broker,13,100000.0,100000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,SBER_5min,14,2024-10-01 05:05:00,268.79,269.13,269.13,268.8,109.0,,SBER_hourly,2,2024-10-01 05:00:00,269.15,269.26,268.9,269.0,2209.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,14,739160.2118055555,Broker,14,100000.0,100000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,SBER_5min,15,2024-10-01 05:10:00,268.82,269.13,269.13,268.83,47.0,,SBER_hourly,2,2024-10-01 05:00:00,269.15,269.26,268.9,269.0,2209.0,,MovingAveragesOnDifferentTimeIntervalsStrategy,15,739160.2152777778,Broker,15,100000.0,100000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
