ma_period_5min,ma_period_hourly,trailing_stop,pnl net,return,drawdown,total closed,won total,lost total,sharpe,sqn
10,15,0.03,-6462.9163275879855,-0.0010882284931599449,7.079260009503482,120,26,94,-2.0693063876971074,-4.705581523571652
10,17,0.03,-6831.712425373031,-0.0011405911433021044,7.289411456223916,121,26,95,-2.1068400224153243,-4.902354246734755
10,19,0.03,-6690.529547588814,-0.0011247164779876538,6.959097478696434,118,26,92,-2.1070136251811897,-4.865686983322788
10,21,0.03,-6581.226242240726,-0.001123299698054789,6.770523579699453,116,25,91,-2.080508757021104,-4.623650200974304
10,23,0.03,-5826.012998224623,-0.0009839205322055152,6.253991298394873,108,24,84,-2.3800058990192556,-4.1622183703336
10,25,0.03,-5841.156049772434,-0.0009810542612361237,6.281204364888272,105,22,83,-2.385152618713692,-4.081170231146822
10,27,0.03,-5647.272488615983,-0.0009446841610760521,6.408120494343667,104,22,82,-2.474468981523758,-4.1014128167395905
10,29,0.03,-5297.816564748651,-0.0008837047985856044,6.1674428909491645,101,22,79,-2.514819979206968,-3.9524768843696574
10,31,0.03,-4905.9569400148675,-0.0008052961924188462,5.738507757616796,98,21,77,-2.571329559239682,-3.6463181211409945
10,33,0.03,-4486.308081816368,-0.0007470573551579497,5.480802502724194,95,21,74,-2.591837610049728,-3.299309969829112
10,35,0.03,-4436.456391083351,-0.000737420385970689,5.3876650150874665,94,22,72,-2.6202830489190774,-3.2589242325960246
10,37,0.03,-4685.252965046869,-0.0007894943240928892,5.865991623634666,94,22,72,-2.4990542245467755,-3.474415431079793
10,39,0.03,-4684.455201984451,-0.0007986860065585942,5.885083214070847,93,22,71,-2.5234718155056908,-3.466191091725344
10,41,0.03,-4924.60792605571,-0.0008373763495331606,5.951369627585737,93,21,72,-2.5469751174148847,-3.679644195264544
10,43,0.03,-4916.849750203879,-0.0008364940231415956,5.941556307485438,94,21,73,-2.5621079526702664,-3.666120583969769
10,45,0.03,-4946.059796035787,-0.0008314541251861193,5.939263100434385,93,21,72,-2.568194739273581,-3.6388945728004214
10,47,0.03,-4844.7061291718455,-0.000817486258591501,5.82634800400828,92,21,71,-2.4848035857537023,-3.56674028794985
10,49,0.03,-4619.908601509865,-0.0007788613307302809,5.627793783544539,89,21,68,-2.5076783003840926,-3.407915374004829
10,51,0.03,-4675.516146819348,-0.0007883829192708374,5.680180185337944,89,21,68,-2.519825302988481,-3.4318784983327038
10,53,0.03,-4523.527589229717,-0.0007644236618870227,5.553934964390487,87,21,66,-2.406468352880621,-3.2161529146503476
10,55,0.03,-4444.552157937731,-0.0007503700298763089,5.359397260529928,86,21,65,-2.518176411221222,-3.15866294820363
10,57,0.03,-4421.164457887542,-0.0007457408931975237,5.439722516046294,84,20,64,-2.5525215659151406,-3.1930548745163683
10,59,0.03,-4214.044482376922,-0.0007078560036071684,5.30665030109674,83,20,63,-2.5467284679789355,-3.0286026003207893
15,15,0.03,-6592.7457176931575,-0.0011136151137803461,7.143725499971359,120,27,93,-2.0963471672743874,-4.9215007263452435
15,17,0.03,-7038.4671103195315,-0.0011817565041253777,7.4820395861711555,121,26,95,-2.1346268199484535,-5.182838374009646
15,19,0.03,-6934.021133848394,-0.0011694175221506138,7.106458773583451,118,26,92,-2.1193276706687345,-5.158362389951139
15,21,0.03,-6709.933081121917,-0.0011484863823614322,6.916168160703745,116,25,91,-2.096893402297679,-4.740337025609299
15,23,0.03,-5966.764313253222,-0.0010110447876703651,6.387843249852177,108,24,84,-2.3644966649327555,-4.260371148417864
15,25,0.03,-5698.120262062991,-0.0009592244082802694,6.207679207065223,104,23,81,-2.4056002825796674,-3.9888443613537223
15,27,0.03,-5559.82957285296,-0.0009325482635111951,6.327462683249018,103,23,80,-2.475264460011723,-4.023292471032428
15,29,0.03,-5176.557256141776,-0.000866022788855018,6.100661155780628,100,23,77,-2.5094473626531757,-3.852302443362093
15,31,0.03,-4859.56095481189,-0.0008001835645163315,5.706271392057491,97,22,75,-2.5668614720726817,-3.6002673219081416
15,33,0.03,-4410.428769583141,-0.00073570045127789,5.4381672941287995,94,22,72,-2.5845294766011198,-3.2336710131915916
15,35,0.03,-4400.050806177952,-0.0007339390256901612,5.336366627003945,93,23,70,-2.622837968322605,-3.2318294712203794
15,37,0.03,-4880.41767852814,-0.0008224812259535741,6.034405316490683,94,23,71,-2.468546516263352,-3.6079882010994426
15,39,0.03,-4876.276058731085,-0.000831048028942756,6.04584314881287,93,23,70,-2.4891540207274883,-3.604421336346403
15,41,0.03,-5126.969876545633,-0.0008729007478113656,6.1185403872689985,93,22,71,-2.5101453103555333,-3.826187134917358
15,43,0.03,-5125.220599337394,-0.0008731674669289543,6.115438882657004,94,22,72,-2.511449908127471,-3.8204764226702745
15,45,0.03,-5161.020729325641,-0.0008693847096694681,6.088884998768831,93,22,71,-2.5256961746841546,-3.8011917091619063
15,47,0.03,-5075.272904268531,-0.0008580350562181922,6.002947205567851,92,22,70,-2.4518003481299218,-3.737012596382455
15,49,0.03,-4780.25472984223,-0.000807270851631561,5.791549048916114,89,22,67,-2.4703862008456823,-3.526768399000978
15,51,0.03,-4890.610459940778,-0.00082619859520435,5.856752157315321,89,22,67,-2.483369437357975,-3.5876356416549138
15,53,0.03,-4662.260608801868,-0.0007890983263329217,5.711558259265302,87,22,65,-2.3726671479247057,-3.317534688216212
15,55,0.03,-4680.810491448549,-0.0007918896536021181,5.507440400307068,86,22,64,-2.5280525389566764,-3.3996862944899378
15,57,0.03,-4524.084594161159,-0.0007644306333369456,5.596706781602568,84,21,63,-2.523302420030405,-3.2876248182529704
15,59,0.03,-4359.2249367030245,-0.0007363589585433288,5.457651069511794,83,21,62,-2.513949999487954,-3.132396102659846
20,15,0.03,-6611.274681892592,-0.0011170744258697514,7.179580973041217,120,26,94,-2.1104174897953425,-4.988915165843031
20,17,0.03,-7128.170293450787,-0.0011977911295733708,7.567780552142972,121,25,96,-2.14515729653464,-5.303939277478723
20,19,0.03,-7040.200763150082,-0.0011880494480991937,7.19763615987818,118,25,93,-2.131928878859818,-5.28548763891782
20,21,0.03,-6889.113834738027,-0.0011798736257352582,7.094974906483985,116,24,92,-2.1022196737046497,-4.989863119030156
20,23,0.03,-6089.920952678637,-0.0010324372822037985,6.3983749720411955,108,23,85,-2.3918145055171722,-4.489052339193294
20,25,0.03,-5600.723683455454,-0.0009423618507812455,6.22093949437934,103,22,81,-2.4683197548919704,-4.062283426606547
20,27,0.03,-5627.189214409676,-0.0009441929104254205,6.370149006542599,103,22,81,-2.4885876380435215,-4.171727572405837
20,29,0.03,-5213.539602666731,-0.0008723879155822108,6.133147214427737,100,22,78,-2.522612985032839,-4.0125444665625105
20,31,0.03,-4940.022200784018,-0.0008139984782409293,5.771671490357233,97,21,76,-2.5890006809738266,-3.81984347111503
20,33,0.03,-4538.4316143189,-0.0007575854873848444,5.545347419809501,94,21,73,-2.618470651108999,-3.4788843383678634
20,35,0.03,-4517.065435969922,-0.0007539424254651388,5.432466393732941,93,22,71,-2.662270284469362,-3.4728736478212294
20,37,0.03,-4622.837700158228,-0.000778326638066794,5.759984931749996,92,22,70,-2.5946944836642025,-3.61783757685372
